region,okato,year,AIusage_r
Центральный федеральный округ,030,2021,5986
Центральный федеральный округ,030,2022,7283
Центральный федеральный округ,030,2023,5362
Центральный федеральный округ,030,2024,5294
Северо-Западный федеральный округ,031,2021,1775
Северо-Западный федеральный округ,031,2022,2257
Северо-Западный федеральный округ,031,2023,1472
Северо-Западный федеральный округ,031,2024,1485
Приволжский федеральный округ,033,2021,3012
Приволжский федеральный округ,033,2022,3636
Приволжский федеральный округ,033,2023,2853
Приволжский федеральный округ,033,2024,2960
Уральский федеральный округ,034,2021,1559
Уральский федеральный округ,034,2022,1429
Уральский федеральный округ,034,2023,1167
Уральский федеральный округ,034,2024,1136
Северо-Кавказский федеральный округ,038,2021,641
Северо-Кавказский федеральный округ,038,2022,934
Северо-Кавказский федеральный округ,038,2023,772
Северо-Кавказский федеральный округ,038,2024,782
Южный федеральный округ,040,2021,1685
Южный федеральный округ,040,2022,2164
Южный федеральный округ,040,2023,1568
Южный федеральный округ,040,2024,1324
Сибирский федеральный округ,041,2021,1649
Сибирский федеральный округ,041,2022,1814
Сибирский федеральный округ,041,2023,1323
Сибирский федеральный округ,041,2024,1419
Дальневосточный федеральный округ,042,2021,835
Дальневосточный федеральный округ,042,2022,1082
Дальневосточный федеральный округ,042,2023,803
Дальневосточный федеральный округ,042,2024,774
Алтайский край,1,2021,190
Алтайский край,1,2022,182
Алтайский край,1,2023,142
Алтайский край,1,2024,194
Амурская область,10,2021,96
Амурская область,10,2022,142
Амурская область,10,2023,104
Амурская область,10,2024,92
Архангельская область,11,2021,150
Архангельская область,11,2022,158
Архангельская область,11,2023,129
Архангельская область,11,2024,98
Архангельская область (кроме Ненецкого автономного округа),11001,2021,141
Архангельская область (кроме Ненецкого автономного округа),11001,2022,149
Архангельская область (кроме Ненецкого автономного округа),11001,2023,122
Архангельская область (кроме Ненецкого автономного округа),11001,2024,83
Ненецкий автономный округ (Архангельская область),111,2021,9
Ненецкий автономный округ (Архангельская область),111,2022,9
Ненецкий автономный округ (Архангельская область),111,2023,7
Ненецкий автономный округ (Архангельская область),111,2024,15
Астраханская область,12,2021,92
Астраханская область,12,2022,145
Астраханская область,12,2023,126
Астраханская область,12,2024,112
Белгородская область,14,2021,238
Белгородская область,14,2022,254
Белгородская область,14,2023,178
Белгородская область,14,2024,194
Брянская область,15,2021,147
Брянская область,15,2022,87
Брянская область,15,2023,82
Брянская область,15,2024,101
Владимирская область,17,2021,268
Владимирская область,17,2022,373
Владимирская область,17,2023,200
Владимирская область,17,2024,226
Волгоградская область,18,2021,227
Волгоградская область,18,2022,425
Волгоградская область,18,2023,205
Волгоградская область,18,2024,212
Вологодская область,19,2021,184
Вологодская область,19,2022,281
Вологодская область,19,2023,120
Вологодская область,19,2024,158
Воронежская область,20,2021,281
Воронежская область,20,2022,507
Воронежская область,20,2023,336
Воронежская область,20,2024,374
Нижегородская область,22,2021,321
Нижегородская область,22,2022,418
Нижегородская область,22,2023,329
Нижегородская область,22,2024,381
Ивановская область,24,2021,142
Ивановская область,24,2022,195
Ивановская область,24,2023,113
Ивановская область,24,2024,141
Иркутская область,25,2021,206
Иркутская область,25,2022,104
Иркутская область,25,2023,108
Иркутская область,25,2024,105
Республика Ингушетия,26,2021,20
Республика Ингушетия,26,2022,38
Республика Ингушетия,26,2023,40
Республика Ингушетия,26,2024,39
Калининградская область,27,2021,106
Калининградская область,27,2022,186
Калининградская область,27,2023,145
Калининградская область,27,2024,127
Тверская область,28,2021,187
Тверская область,28,2022,160
Тверская область,28,2023,145
Тверская область,28,2024,185
Калужская область,29,2021,240
Калужская область,29,2022,289
Калужская область,29,2023,169
Калужская область,29,2024,147
Краснодарский край,3,2021,707
Краснодарский край,3,2022,820
Краснодарский край,3,2023,644
Краснодарский край,3,2024,420
Камчатский край,30,2021,41
Камчатский край,30,2022,81
Камчатский край,30,2023,54
Камчатский край,30,2024,40
Кемеровская область - Кузбасс,32,2021,274
Кемеровская область - Кузбасс,32,2022,312
Кемеровская область - Кузбасс,32,2023,203
Кемеровская область - Кузбасс,32,2024,256
Кировская область,33,2021,147
Кировская область,33,2022,201
Кировская область,33,2023,164
Кировская область,33,2024,130
Костромская область,34,2021,139
