sector,okved2,year,AIusage_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021.0,180.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022.0,268.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023.0,128.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024.0,106.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2025.0,100.0
Выращивание однолетних культур,01.1,2021.0,62.0
Выращивание однолетних культур,01.1,2022.0,96.0
Выращивание однолетних культур,01.1,2023.0,49.0
Выращивание однолетних культур,01.1,2024.0,41.0
Выращивание однолетних культур,01.1,2025.0,38.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021.0,51.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2022.0,72.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023.0,38.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024.0,27.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2025.0,23.0
Выращивание зерновых культур,01.11.1,2021.0,43.0
Выращивание зерновых культур,01.11.1,2022.0,52.0
Выращивание зерновых культур,01.11.1,2023.0,25.0
Выращивание зерновых культур,01.11.1,2024.0,19.0
Выращивание зерновых культур,01.11.1,2025.0,13.0
Выращивание пшеницы,01.11.11,2021.0,3.0
Выращивание пшеницы,01.11.11,2022.0,1.0
Выращивание прочих зерновых культур,01.11.19,2021.0,1.0
Выращивание зернобобовых культур,01.11.2,2021.0,3.0
Выращивание зернобобовых культур,01.11.2,2022.0,2.0
Выращивание зернобобовых культур,01.11.2,2023.0,1.0
Выращивание зернобобовых культур,01.11.2,2024.0,1.0
Выращивание зернобобовых культур,01.11.2,2025.0,1.0
Выращивание семян масличных культур,01.11.3,2021.0,3.0
Выращивание семян масличных культур,01.11.3,2022.0,13.0
Выращивание семян масличных культур,01.11.3,2023.0,12.0
Выращивание семян масличных культур,01.11.3,2024.0,5.0
Выращивание семян масличных культур,01.11.3,2025.0,5.0
Выращивание семян соевых бобов,01.11.33,2021.0,1.0
Выращивание семян соевых бобов,01.11.33,2022.0,2.0
Выращивание риса,01.12,2023.0,1.0
Выращивание риса,01.12,2024.0,1.0
Выращивание риса,01.12,2025.0,1.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021.0,11.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2022.0,21.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023.0,10.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024.0,12.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2025.0,13.0
Выращивание овощей,01.13.1,2021.0,10.0
Выращивание овощей,01.13.1,2022.0,13.0
Выращивание овощей,01.13.1,2023.0,8.0
Выращивание овощей,01.13.1,2024.0,9.0
Выращивание овощей,01.13.1,2025.0,8.0
Выращивание овощей открытого грунта,01.13.11,2021.0,2.0
Выращивание овощей защищенного грунта,01.13.12,2021.0,1.0
Выращивание овощей защищенного грунта,01.13.12,2022.0,3.0
Выращивание овощей защищенного грунта,01.13.12,2025.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2021.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2022.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2023.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2025.0,1.0
Выращивание картофеля,01.13.31,2024.0,1.0
Выращивание картофеля,01.13.31,2025.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2022.0,2.0
