region,okato,year,BDusage_r
Центральный федеральный округ,030,2021,22580
Центральный федеральный округ,030,2022,30351
Центральный федеральный округ,030,2023,15198
Центральный федеральный округ,030,2024,9158
Северо-Западный федеральный округ,031,2021,8362
Северо-Западный федеральный округ,031,2022,9798
Северо-Западный федеральный округ,031,2023,4812
Северо-Западный федеральный округ,031,2024,2833
Приволжский федеральный округ,033,2021,13021
Приволжский федеральный округ,033,2022,15518
Приволжский федеральный округ,033,2023,7663
Приволжский федеральный округ,033,2024,4784
Уральский федеральный округ,034,2021,7708
Уральский федеральный округ,034,2022,8220
Уральский федеральный округ,034,2023,4065
Уральский федеральный округ,034,2024,2224
Северо-Кавказский федеральный округ,038,2021,3478
Северо-Кавказский федеральный округ,038,2022,4185
Северо-Кавказский федеральный округ,038,2023,2255
Северо-Кавказский федеральный округ,038,2024,1544
Южный федеральный округ,040,2021,8105
Южный федеральный округ,040,2022,10615
Южный федеральный округ,040,2023,5272
Южный федеральный округ,040,2024,2659
Сибирский федеральный округ,041,2021,8883
Сибирский федеральный округ,041,2022,9539
Сибирский федеральный округ,041,2023,4705
Сибирский федеральный округ,041,2024,2534
Дальневосточный федеральный округ,042,2021,6035
Дальневосточный федеральный округ,042,2022,6311
Дальневосточный федеральный округ,042,2023,3344
Дальневосточный федеральный округ,042,2024,1507
Алтайский край,1,2021,973
Алтайский край,1,2022,1046
Алтайский край,1,2023,568
Алтайский край,1,2024,366
Амурская область,10,2021,638
Амурская область,10,2022,678
Амурская область,10,2023,319
Амурская область,10,2024,213
Архангельская область,11,2021,678
Архангельская область,11,2022,694
Архангельская область,11,2023,311
Архангельская область,11,2024,101
Архангельская область (кроме Ненецкого автономного округа),11001,2021,611
Архангельская область (кроме Ненецкого автономного округа),11001,2022,637
Архангельская область (кроме Ненецкого автономного округа),11001,2023,283
Архангельская область (кроме Ненецкого автономного округа),11001,2024,93
Ненецкий автономный округ (Архангельская область),111,2021,67
Ненецкий автономный округ (Архангельская область),111,2022,57
Ненецкий автономный округ (Архангельская область),111,2023,28
Ненецкий автономный округ (Архангельская область),111,2024,8
Астраханская область,12,2021,359
Астраханская область,12,2022,497
Астраханская область,12,2023,268
Астраханская область,12,2024,189
Белгородская область,14,2021,796
Белгородская область,14,2022,1138
Белгородская область,14,2023,517
Белгородская область,14,2024,360
Брянская область,15,2021,478
Брянская область,15,2022,462
Брянская область,15,2023,200
Брянская область,15,2024,98
Владимирская область,17,2021,776
Владимирская область,17,2022,1146
Владимирская область,17,2023,542
Владимирская область,17,2024,331
Волгоградская область,18,2021,1209
Волгоградская область,18,2022,1603
Волгоградская область,18,2023,758
Волгоградская область,18,2024,460
Вологодская область,19,2021,646
Вологодская область,19,2022,809
Вологодская область,19,2023,366
Вологодская область,19,2024,271
Воронежская область,20,2021,980
Воронежская область,20,2022,1450
Воронежская область,20,2023,665
Воронежская область,20,2024,583
Нижегородская область,22,2021,1518
Нижегородская область,22,2022,1743
Нижегородская область,22,2023,908
Нижегородская область,22,2024,630
Ивановская область,24,2021,471
Ивановская область,24,2022,632
Ивановская область,24,2023,299
Ивановская область,24,2024,198
Иркутская область,25,2021,1804
Иркутская область,25,2022,2055
Иркутская область,25,2023,880
Иркутская область,25,2024,415
Республика Ингушетия,26,2021,140
Республика Ингушетия,26,2022,204
Республика Ингушетия,26,2023,111
Республика Ингушетия,26,2024,62
Калининградская область,27,2021,646
Калининградская область,27,2022,753
Калининградская область,27,2023,379
Калининградская область,27,2024,255
Тверская область,28,2021,680
Тверская область,28,2022,903
Тверская область,28,2023,486
Тверская область,28,2024,299
Калужская область,29,2021,654
Калужская область,29,2022,976
Калужская область,29,2023,489
Калужская область,29,2024,281
Краснодарский край,3,2021,3246
Краснодарский край,3,2022,4445
Краснодарский край,3,2023,2171
Краснодарский край,3,2024,766
Камчатский край,30,2021,288
Камчатский край,30,2022,319
Камчатский край,30,2023,164
Камчатский край,30,2024,49
Кемеровская область - Кузбасс,32,2021,1482
Кемеровская область - Кузбасс,32,2022,1711
Кемеровская область - Кузбасс,32,2023,828
Кемеровская область - Кузбасс,32,2024,444
Кировская область,33,2021,440
Кировская область,33,2022,591
Кировская область,33,2023,301
Кировская область,33,2024,168
Костромская область,34,2021,525
Костромская область,34,2022,624
Костромская область,34,2023,285
Костромская область,34,2024,179
Самарская область,36,2021,1596
Самарская область,36,2022,1916
Самарская область,36,2023,975
Самарская область,36,2024,686
Курганская область,37,2021,399
Курганская область,37,2022,433
Курганская область,37,2023,194
Курганская область,37,2024,73
Курская область,38,2021,542
Курская область,38,2022,648
Курская область,38,2023,322
Курская область,38,2024,165
Красноярский край,4,2021,1467
Красноярский край,4,2022,1116
Красноярский край,4,2023,567
Красноярский край,4,2024,253
Город Санкт-Петербург город федерального значения,40,2021,3007
Город Санкт-Петербург город федерального значения,40,2022,3615
Город Санкт-Петербург город федерального значения,40,2023,1827
Город Санкт-Петербург город федерального значения,40,2024,1125
Ленинградская область,41,2021,1237
Ленинградская область,41,2022,1358
Ленинградская область,41,2023,716
Ленинградская область,41,2024,399
Липецкая область,42,2021,608
Липецкая область,42,2022,632
