sector,okved2,year,BDusage_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021.0,1328.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023.0,684.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024.0,401.0
Выращивание однолетних культур,01.1,2021.0,479.0
Выращивание однолетних культур,01.1,2023.0,287.0
Выращивание однолетних культур,01.1,2024.0,168.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021.0,377.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023.0,213.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024.0,129.0
Выращивание зерновых культур,01.11.1,2021.0,313.0
Выращивание зерновых культур,01.11.1,2023.0,173.0
Выращивание зерновых культур,01.11.1,2024.0,101.0
Выращивание пшеницы,01.11.11,2021.0,35.0
Выращивание пшеницы,01.11.11,2023.0,3.0
Выращивание пшеницы,01.11.11,2024.0,2.0
Выращивание ячменя,01.11.12,2023.0,
Выращивание кукурузы,01.11.14,2021.0,
Выращивание кукурузы,01.11.14,2023.0,
Выращивание кукурузы,01.11.14,2024.0,
Выращивание овса,01.11.15,2023.0,
Выращивание овса,01.11.15,2024.0,
Выращивание прочих зерновых культур,01.11.19,2021.0,1.0
Выращивание прочих зерновых культур,01.11.19,2023.0,
Выращивание прочих зерновых культур,01.11.19,2024.0,
Выращивание зернобобовых культур,01.11.2,2021.0,16.0
Выращивание зернобобовых культур,01.11.2,2023.0,7.0
Выращивание зернобобовых культур,01.11.2,2024.0,5.0
Выращивание семян масличных культур,01.11.3,2021.0,25.0
Выращивание семян масличных культур,01.11.3,2023.0,19.0
Выращивание семян масличных культур,01.11.3,2024.0,12.0
Выращивание семян подсолнечника,01.11.31,2021.0,
Выращивание семян подсолнечника,01.11.31,2023.0,
Выращивание семян подсолнечника,01.11.31,2024.0,
Выращивание семян соевых бобов,01.11.33,2021.0,1.0
Выращивание семян соевых бобов,01.11.33,2023.0,2.0
Выращивание семян соевых бобов,01.11.33,2024.0,1.0
Выращивание риса,01.12,2021.0,3.0
Выращивание риса,01.12,2023.0,3.0
Выращивание риса,01.12,2024.0,2.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021.0,90.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023.0,67.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024.0,34.0
Выращивание овощей,01.13.1,2021.0,59.0
Выращивание овощей,01.13.1,2023.0,41.0
Выращивание овощей,01.13.1,2024.0,19.0
Выращивание овощей открытого грунта,01.13.11,2021.0,2.0
Выращивание овощей открытого грунта,01.13.11,2023.0,1.0
Выращивание овощей открытого грунта,01.13.11,2024.0,
Выращивание овощей защищенного грунта,01.13.12,2021.0,3.0
Выращивание овощей защищенного грунта,01.13.12,2023.0,4.0
Выращивание овощей защищенного грунта,01.13.12,2024.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2021.0,14.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2023.0,10.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024.0,5.0
Выращивание картофеля,01.13.31,2021.0,1.0
Выращивание картофеля,01.13.31,2023.0,
Выращивание картофеля,01.13.31,2024.0,1.0
Выращивание прочих столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.39,2024.0,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2021.0,1.0
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2023.0,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2024.0,
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2021.0,6.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2023.0,8.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2024.0,8.0
Выращивание сахарной свеклы,01.13.51,2021.0,
Выращивание сахарной свеклы,01.13.51,2023.0,1.0
Выращивание сахарной свеклы,01.13.51,2024.0,1.0
Выращивание семян сахарной свеклы,01.13.52,2023.0,
Выращивание грибов и трюфелей,01.13.6,2021.0,8.0
Выращивание грибов и трюфелей,01.13.6,2023.0,4.0
Выращивание грибов и трюфелей,01.13.6,2024.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2023.0,
"Выращивание овощей, не включенных в другие группировки",01.13.9,2024.0,
Выращивание волокнистых прядильных культур,01.16,2021.0,
Выращивание волокнистых прядильных культур,01.16,2023.0,
Выращивание волокнистых прядильных культур,01.16,2024.0,
Выращивание льна,01.16.2,2021.0,
Выращивание льна,01.16.2,2023.0,
Выращивание обыкновенной конопли,01.16.3,2023.0,
Выращивание обыкновенной конопли,01.16.3,2024.0,
Выращивание прочих однолетних культур,01.19,2021.0,9.0
Выращивание прочих однолетних культур,01.19,2023.0,4.0
Выращивание прочих однолетних культур,01.19,2024.0,3.0
Выращивание однолетних кормовых культур,01.19.1,2021.0,7.0
Выращивание однолетних кормовых культур,01.19.1,2023.0,
Выращивание однолетних кормовых культур,01.19.1,2024.0,
Цветоводство,01.19.2,2021.0,2.0
Цветоводство,01.19.2,2023.0,3.0
Цветоводство,01.19.2,2024.0,1.0
Выращивание цветов в открытом и защищенном грунте,01.19.21,2021.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2023.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2024.0,1.0
Выращивание семян свеклы (кроме семян сахарной свеклы) и семян кормовых культур,01.19.3,2023.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2021.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2023.0,1.0
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2024.0,1.0
Выращивание многолетних культур,01.2,2021.0,49.0
Выращивание многолетних культур,01.2,2023.0,26.0
Выращивание многолетних культур,01.2,2024.0,12.0
Выращивание винограда,01.21,2021.0,22.0
Выращивание винограда,01.21,2023.0,10.0
Выращивание винограда,01.21,2024.0,5.0
Выращивание тропических и субтропических культур,01.22,2021.0,
Выращивание цитрусовых культур,01.23,2023.0,
Выращивание семечковых и косточковых культур,01.24,2021.0,11.0
Выращивание семечковых и косточковых культур,01.24,2023.0,11.0
Выращивание семечковых и косточковых культур,01.24,2024.0,6.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2021.0,13.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2023.0,5.0
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2024.0,1.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2021.0,13.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2023.0,5.0
Выращивание прочих плодовых и ягодных культур,01.25.1,2024.0,1.0
Выращивание семян плодовых и ягодных культур,01.25.2,2021.0,
Выращивание семян плодовых и ягодных культур,01.25.2,2023.0,
Выращивание семян плодовых и ягодных культур,01.25.2,2024.0,
Выращивание орехоплодных культур,01.25.3,2021.0,
Выращивание орехоплодных культур,01.25.3,2023.0,
Выращивание плодов масличных культур,01.26,2021.0,
Выращивание плодов масличных культур,01.26,2024.0,
Выращивание культур для производства напитков,01.27,2021.0,1.0
Выращивание культур для производства напитков,01.27,2023.0,
Выращивание чая,01.27.1,2021.0,1.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2021.0,1.0
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2023.0,
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2024.0,
Выращивание хмеля,01.28.2,2024.0,
"Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",01.28.3,2023.0,
Выращивание прочих многолетних культур,01.29,2021.0,1.0
Выращивание прочих многолетних культур,01.29,2023.0,
Выращивание прочих многолетних культур,01.29,2024.0,
Выращивание рассады,01.30,2021.0,2.0
Выращивание рассады,01.30,2023.0,
Выращивание рассады,01.30,2024.0,
Животноводство,01.4,2021.0,587.0
Животноводство,01.4,2023.0,269.0
Животноводство,01.4,2024.0,154.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021.0,324.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023.0,146.0
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024.0,86.0
Разведение молочного крупного рогатого скота,01.41.1,2021.0,137.0
Разведение молочного крупного рогатого скота,01.41.1,2023.0,57.0
Разведение молочного крупного рогатого скота,01.41.1,2024.0,36.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021.0,93.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2023.0,34.0
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024.0,24.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2021.0,43.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2023.0,23.0
Разведение племенного молочного крупного рогатого скота,01.41.12,2024.0,12.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021.0,149.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023.0,73.0
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024.0,41.0
Производство сырого коровьего молока,01.41.21,2021.0,146.0
Производство сырого коровьего молока,01.41.21,2023.0,71.0
Производство сырого коровьего молока,01.41.21,2024.0,40.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2021.0,2.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2023.0,2.0
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024.0,1.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2021.0,39.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023.0,10.0
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024.0,7.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2021.0,29.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2023.0,4.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2024.0,4.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2021.0,17.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2023.0,3.0
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2024.0,3.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021.0,3.0
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2023.0,
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021.0,10.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023.0,6.0
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024.0,3.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021.0,7.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023.0,4.0
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024.0,
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021.0,6.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023.0,4.0
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2021.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2023.0,
Разведение овец и коз,01.45,2021.0,13.0
Разведение овец и коз,01.45.1,2021.0,11.0
Разведение овец и коз,01.45.1,2023.0,1.0
Разведение овец и коз,01.45.1,2024.0,1.0
Производство сырого овечьего и козьего молока,01.45.2,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2024.0,
Разведение племенных овец и коз,01.45.4,2021.0,
Разведение племенных овец и коз,01.45.4,2023.0,
Разведение племенных овец и коз,01.45.4,2024.0,
Разведение свиней,01.46,2021.0,67.0
Разведение свиней,01.46,2023.0,43.0
Разведение свиней,01.46,2024.0,31.0
Выращивание и разведение свиней,01.46.1,2021.0,53.0
Выращивание и разведение свиней,01.46.1,2023.0,35.0
Выращивание и разведение свиней,01.46.1,2024.0,28.0
Выращивание свиней на мясо,01.46.11,2021.0,52.0
Выращивание свиней на мясо,01.46.11,2023.0,34.0
Выращивание свиней на мясо,01.46.11,2024.0,28.0
Разведение племенного поголовья свиней,01.46.12,2021.0,1.0
Разведение племенного поголовья свиней,01.46.12,2023.0,1.0
Разведение племенного поголовья свиней,01.46.12,2024.0,
Разведение сельскохозяйственной птицы,01.47,2021.0,112.0
Разведение сельскохозяйственной птицы,01.47,2023.0,57.0
Разведение сельскохозяйственной птицы,01.47,2024.0,27.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021.0,44.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,19.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024.0,12.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,33.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023.0,16.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2024.0,8.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2021.0,8.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2023.0,3.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2024.0,4.0
Производство яиц сельскохозяйственной птицы,01.47.2,2021.0,47.0
Производство яиц сельскохозяйственной птицы,01.47.2,2023.0,29.0
Производство яиц сельскохозяйственной птицы,01.47.2,2024.0,8.0
Деятельность инкубаторов для птицеводства,01.47.3,2021.0,
Деятельность инкубаторов для птицеводства,01.47.3,2023.0,
Деятельность инкубаторов для птицеводства,01.47.3,2024.0,
Разведение прочих животных,01.49,2021.0,25.0
Разведение прочих животных,01.49,2023.0,8.0
Разведение прочих животных,01.49,2024.0,2.0
Пчеловодство,01.49.1,2021.0,
