region,okato,year,ITcosts_r
Центральный федеральный округ,030,2016,730328.4
Центральный федеральный округ,030,2017,961165.8
Центральный федеральный округ,030,2018,1124698.8
Центральный федеральный округ,030,2019,1717059.8
Центральный федеральный округ,030,2020,1707043.1
Центральный федеральный округ,030,2021,2505205.0
Центральный федеральный округ,030,2022,2621217.8
Центральный федеральный округ,030,2023,2781481.2
Центральный федеральный округ,030,2024,3730722.8
Северо-Западный федеральный округ,031,2016,118286.0
Северо-Западный федеральный округ,031,2017,107318.85
Северо-Западный федеральный округ,031,2018,111913.39
Северо-Западный федеральный округ,031,2019,127356.05
Северо-Западный федеральный округ,031,2020,175591.06
Северо-Западный федеральный округ,031,2021,318428.22
Северо-Западный федеральный округ,031,2022,341306.78
Северо-Западный федеральный округ,031,2023,353337.47
Северо-Западный федеральный округ,031,2024,419632.94
Приволжский федеральный округ,033,2016,128016.484
Приволжский федеральный округ,033,2017,125685.87
Приволжский федеральный округ,033,2018,148067.45
Приволжский федеральный округ,033,2019,176901.58
Приволжский федеральный округ,033,2020,196555.72
Приволжский федеральный округ,033,2021,231040.39
Приволжский федеральный округ,033,2022,261635.72
Приволжский федеральный округ,033,2023,329203.6
Приволжский федеральный округ,033,2024,398183.16
Уральский федеральный округ,034,2016,96577.34
Уральский федеральный округ,034,2017,98028.62
Уральский федеральный округ,034,2018,98292.06
Уральский федеральный округ,034,2019,106103.445
Уральский федеральный округ,034,2020,123926.52
Уральский федеральный округ,034,2021,143227.98
Уральский федеральный округ,034,2022,156395.39
Уральский федеральный округ,034,2023,188212.56
Уральский федеральный округ,034,2024,219904.89
Северо-Кавказский федеральный округ,038,2016,9899.937
Северо-Кавказский федеральный округ,038,2017,8832.653
Северо-Кавказский федеральный округ,038,2018,10635.923
Северо-Кавказский федеральный округ,038,2019,13802.299
Северо-Кавказский федеральный округ,038,2020,14912.575
Северо-Кавказский федеральный округ,038,2021,18526.068
Северо-Кавказский федеральный округ,038,2022,17954.127
Северо-Кавказский федеральный округ,038,2023,19814.947
Северо-Кавказский федеральный округ,038,2024,20325.992
Южный федеральный округ,040,2016,42381.445
Южный федеральный округ,040,2017,57414.574
Южный федеральный округ,040,2018,56322.176
Южный федеральный округ,040,2019,46606.973
Южный федеральный округ,040,2020,91213.36
Южный федеральный округ,040,2021,80865.12
Южный федеральный округ,040,2022,86825.99
Южный федеральный округ,040,2023,101225.64
Южный федеральный округ,040,2024,124272.16
Сибирский федеральный округ,041,2016,84230.4
Сибирский федеральный округ,041,2017,88480.14
Сибирский федеральный округ,041,2018,80123.48
Сибирский федеральный округ,041,2019,81955.78
Сибирский федеральный округ,041,2020,105544.57
Сибирский федеральный округ,041,2021,135483.56
Сибирский федеральный округ,041,2022,164920.19
Сибирский федеральный округ,041,2023,181853.42
Сибирский федеральный округ,041,2024,220065.19
Дальневосточный федеральный округ,042,2016,5173.501
Дальневосточный федеральный округ,042,2017,5144.517
Дальневосточный федеральный округ,042,2018,46107.996
Дальневосточный федеральный округ,042,2019,47045.62
Дальневосточный федеральный округ,042,2020,57811.65
Дальневосточный федеральный округ,042,2021,83010.984
Дальневосточный федеральный округ,042,2022,90172.58
Дальневосточный федеральный округ,042,2023,93875.65
Дальневосточный федеральный округ,042,2024,110945.805
Алтайский край,1,2016,3681.0115
Алтайский край,1,2017,2471.9573
Алтайский край,1,2018,4593.658
Алтайский край,1,2019,5291.049
Алтайский край,1,2020,7434.7485
Алтайский край,1,2021,7888.203
Алтайский край,1,2022,8892.226
Алтайский край,1,2023,8101.1743
Алтайский край,1,2024,10098.768
Амурская область,10,2016,2649.684
Амурская область,10,2017,3830.6904
Амурская область,10,2018,2780.3015
Амурская область,10,2019,3009.384
Амурская область,10,2020,4302.7544
Амурская область,10,2021,5807.9614
Амурская область,10,2022,5660.34
Амурская область,10,2023,8183.9907
Амурская область,10,2024,9983.215
Архангельская область,11,2016,9071.671
Архангельская область,11,2017,5460.4126
Архангельская область,11,2018,4940.589
Архангельская область,11,2019,3775.87
Архангельская область,11,2020,6768.046
Архангельская область,11,2021,7487.4346
Архангельская область,11,2022,8553.841
Архангельская область,11,2023,9443.888
Архангельская область,11,2024,9676.922
Архангельская область (кроме Ненецкого автономного округа),11001,2016,6292.454
Архангельская область (кроме Ненецкого автономного округа),11001,2017,3775.1382
Архангельская область (кроме Ненецкого автономного округа),11001,2018,3891.0977
Архангельская область (кроме Ненецкого автономного округа),11001,2019,3011.7925
Архангельская область (кроме Ненецкого автономного округа),11001,2020,4463.659
Архангельская область (кроме Ненецкого автономного округа),11001,2021,6227.4214
Архангельская область (кроме Ненецкого автономного округа),11001,2022,6998.951
Архангельская область (кроме Ненецкого автономного округа),11001,2023,7622.58
Архангельская область (кроме Ненецкого автономного округа),11001,2024,8243.936
Ненецкий автономный округ (Архангельская область),111,2016,2779.217
Ненецкий автономный округ (Архангельская область),111,2017,1685.2744
Ненецкий автономный округ (Архангельская область),111,2018,1049.4912
Ненецкий автономный округ (Архангельская область),111,2019,764.0775
Ненецкий автономный округ (Архангельская область),111,2020,2304.387
Ненецкий автономный округ (Архангельская область),111,2021,1260.0133
Ненецкий автономный округ (Архангельская область),111,2022,1554.8903
Ненецкий автономный округ (Архангельская область),111,2023,1821.308
Ненецкий автономный округ (Архангельская область),111,2024,1432.9862
Астраханская область,12,2016,2776.4485
Астраханская область,12,2017,3347.1445
Астраханская область,12,2018,3055.2273
Астраханская область,12,2019,3792.8853
Астраханская область,12,2020,36176.816
Астраханская область,12,2021,3531.6018
Астраханская область,12,2022,3896.9407
Астраханская область,12,2023,4339.047
Астраханская область,12,2024,4847.74
Белгородская область,14,2016,3360.9578
Белгородская область,14,2017,4208.914
Белгородская область,14,2018,4566.518
Белгородская область,14,2019,4732.9487
Белгородская область,14,2020,5467.691
Белгородская область,14,2021,8211.679
Белгородская область,14,2022,10635.407
Белгородская область,14,2023,14013.045
Белгородская область,14,2024,17874.152
Брянская область,15,2016,4427.9077
Брянская область,15,2017,4739.938
Брянская область,15,2018,5951.481
Брянская область,15,2019,6539.5454
Брянская область,15,2020,4692.6274
Брянская область,15,2021,7741.1445
Брянская область,15,2022,7167.293
Брянская область,15,2023,8181.379
Брянская область,15,2024,11600.842
Владимирская область,17,2016,3684.007
Владимирская область,17,2017,4023.733
Владимирская область,17,2018,4321.5396
Владимирская область,17,2019,4726.3403
Владимирская область,17,2020,7022.2534
Владимирская область,17,2021,7821.718
Владимирская область,17,2022,7671.1714
Владимирская область,17,2023,8734.259
Владимирская область,17,2024,14384.69
Волгоградская область,18,2016,5767.778
Волгоградская область,18,2017,8963.34
Волгоградская область,18,2018,7535.3213
Волгоградская область,18,2019,6303.7476
Волгоградская область,18,2020,10521.701
Волгоградская область,18,2021,10343.003
Волгоградская область,18,2022,12786.13
Волгоградская область,18,2023,12305.214
Волгоградская область,18,2024,14291.061
Вологодская область,19,2016,4582.914
Вологодская область,19,2017,6957.744
Вологодская область,19,2018,7665.3467
Вологодская область,19,2019,8674.592
Вологодская область,19,2020,7066.3726
Вологодская область,19,2021,8558.38
Вологодская область,19,2022,8835.981
Вологодская область,19,2023,10122.972
Вологодская область,19,2024,14391.73
Воронежская область,20,2016,4914.2144
Воронежская область,20,2017,4980.0854
Воронежская область,20,2018,5648.337
Воронежская область,20,2019,5754.4785
Воронежская область,20,2020,6145.664
Воронежская область,20,2021,10246.56
Воронежская область,20,2022,12286.802
Воронежская область,20,2023,12827.679
Воронежская область,20,2024,17196.1
Нижегородская область,22,2016,21403.203
Нижегородская область,22,2017,17402.389
Нижегородская область,22,2018,22678.504
Нижегородская область,22,2019,24009.258
Нижегородская область,22,2020,27844.287
Нижегородская область,22,2021,35187.105
Нижегородская область,22,2022,36963.883
Нижегородская область,22,2023,54140.62
Нижегородская область,22,2024,63658.61
Ивановская область,24,2016,2199.727
Ивановская область,24,2017,1783.7754
Ивановская область,24,2018,1707.8119
Ивановская область,24,2019,1910.1267
Ивановская область,24,2020,7255.8154
Ивановская область,24,2021,2972.4045
Ивановская область,24,2022,5321.278
Ивановская область,24,2023,3715.998
Ивановская область,24,2024,3878.3662
Иркутская область,25,2016,3639.1978
Иркутская область,25,2017,4043.8425
Иркутская область,25,2018,16843.04
Иркутская область,25,2019,13670.533
Иркутская область,25,2020,15566.374
Иркутская область,25,2021,15643.901
Иркутская область,25,2022,18932.63
Иркутская область,25,2023,20480.082
Иркутская область,25,2024,23157.576
Республика Ингушетия,26,2016,220.28041
Республика Ингушетия,26,2017,379.659
Республика Ингушетия,26,2018,521.5316
Республика Ингушетия,26,2019,306.9303
Республика Ингушетия,26,2020,1065.8815
Республика Ингушетия,26,2021,1065.1415
Республика Ингушетия,26,2022,1070.5873
Республика Ингушетия,26,2023,1088.7887
Республика Ингушетия,26,2024,343.0024
Калининградская область,27,2016,3100.028
Калининградская область,27,2017,2721.0083
Калининградская область,27,2018,3416.8494
Калининградская область,27,2019,4285.033
Калининградская область,27,2020,4513.5615
Калининградская область,27,2021,6353.7446
Калининградская область,27,2022,7270.0913
Калининградская область,27,2023,8286.089
Калининградская область,27,2024,33046.58
Тверская область,28,2016,3077.758
Тверская область,28,2017,3579.1765
Тверская область,28,2018,4361.384
Тверская область,28,2019,8398.472
Тверская область,28,2020,16358.576
Тверская область,28,2021,12051.423
Тверская область,28,2022,9393.164
Тверская область,28,2023,10388.24
Тверская область,28,2024,13444.63
Калужская область,29,2016,9294.889
Калужская область,29,2017,11472.345
Калужская область,29,2018,8965.906
Калужская область,29,2019,4818.1504
Калужская область,29,2020,6506.647
Калужская область,29,2021,9345.467
Калужская область,29,2022,8854.514
Калужская область,29,2023,8436.465
Калужская область,29,2024,10394.059
Краснодарский край,3,2016,15608.256
Краснодарский край,3,2017,23227.31
Краснодарский край,3,2018,22961.322
Краснодарский край,3,2019,17296.527
Краснодарский край,3,2020,20068.11
Краснодарский край,3,2021,35416.164
Краснодарский край,3,2022,37893.375
Краснодарский край,3,2023,41207.043
Краснодарский край,3,2024,52673.74
Камчатский край,30,2016,1721.3617
Камчатский край,30,2017,2179.107
Камчатский край,30,2018,2073.9883
Камчатский край,30,2019,3208.331
Камчатский край,30,2020,3353.1655
Камчатский край,30,2021,3608.6545
Камчатский край,30,2022,4267.7183
Камчатский край,30,2023,4995.1924
Камчатский край,30,2024,5540.8584
Кемеровская область - Кузбасс,32,2016,14940.796
Кемеровская область - Кузбасс,32,2017,15596.661
Кемеровская область - Кузбасс,32,2018,7130.96
Кемеровская область - Кузбасс,32,2019,7298.781
Кемеровская область - Кузбасс,32,2020,8953.775
Кемеровская область - Кузбасс,32,2021,12363.975
Кемеровская область - Кузбасс,32,2022,15151.65
Кемеровская область - Кузбасс,32,2023,15480.864
Кемеровская область - Кузбасс,32,2024,18962.203
Кировская область,33,2016,2242.4365
Кировская область,33,2017,3015.506
Кировская область,33,2018,2968.7432
Кировская область,33,2019,4822.9683
Кировская область,33,2020,4138.576
Кировская область,33,2021,6322.2866
Кировская область,33,2022,6604.3193
Кировская область,33,2023,8438.606
