sector,okved2,year,ITcosts_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019,9911.5618
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021,6841.7514
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022,6409.72
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023,7395.1001
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024,9395.8992
Выращивание однолетних культур,01.1,2019,2973.4207
Выращивание однолетних культур,01.1,2021,2382.5236
Выращивание однолетних культур,01.1,2022,2609.2371000000003
Выращивание однолетних культур,01.1,2023,2967.3976
Выращивание однолетних культур,01.1,2024,3686.8187
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021,1417.4341000000002
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2022,1983.4014
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023,2415.8595
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024,2353.2773
Выращивание зерновых культур,01.11.1,2021,1258.9214
Выращивание зерновых культур,01.11.1,2022,1778.3623
Выращивание зерновых культур,01.11.1,2023,2202.0804
Выращивание зерновых культур,01.11.1,2024,2005.0492
Выращивание пшеницы,01.11.11,2021,84.5439
Выращивание пшеницы,01.11.11,2022,71.5359
Выращивание пшеницы,01.11.11,2023,27.6405
Выращивание пшеницы,01.11.11,2024,32.7652
Выращивание зернобобовых культур,01.11.2,2021,18.8271
Выращивание зернобобовых культур,01.11.2,2022,32.7988
Выращивание зернобобовых культур,01.11.2,2023,27.1661
Выращивание зернобобовых культур,01.11.2,2024,16.4709
Выращивание семян масличных культур,01.11.3,2021,89.4489
Выращивание семян масличных культур,01.11.3,2022,128.6181
Выращивание семян масличных культур,01.11.3,2023,152.18460000000002
Выращивание семян масличных культур,01.11.3,2024,211.2449
Выращивание семян соевых бобов,01.11.33,2021,22.5334
Выращивание риса,01.12,2021,3.1614
Выращивание риса,01.12,2022,4.5835
Выращивание риса,01.12,2023,7.5703
Выращивание риса,01.12,2024,12.5838
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021,917.0124
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2022,582.8939
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023,496.1171
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024,1267.6015
Выращивание овощей,01.13.1,2021,808.4848000000001
Выращивание овощей,01.13.1,2022,355.3009
Выращивание овощей,01.13.1,2023,316.2302
Выращивание овощей,01.13.1,2024,381.363
Выращивание овощей защищенного грунта,01.13.12,2021,14.7808
Выращивание овощей защищенного грунта,01.13.12,2022,27.4352
Выращивание овощей защищенного грунта,01.13.12,2023,4.6843
Выращивание овощей защищенного грунта,01.13.12,2024,57.4198
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2021,40.1023
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2022,41.6645
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2023,45.1627
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024,47.7505
Выращивание картофеля,01.13.31,2021,1.9241
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2021,37.4404
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2022,39.0281
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2023,62.5406
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2024,722.6493
Выращивание грибов и трюфелей,01.13.6,2021,22.5811
Выращивание грибов и трюфелей,01.13.6,2022,32.1007
Выращивание грибов и трюфелей,01.13.6,2023,43.806
Выращивание грибов и трюфелей,01.13.6,2024,48.172
Выращивание прочих однолетних культур,01.19,2021,44.1007
Выращивание прочих однолетних культур,01.19,2022,38.3583
Выращивание прочих однолетних культур,01.19,2023,37.9279
Выращивание прочих однолетних культур,01.19,2024,45.3676
Выращивание однолетних кормовых культур,01.19.1,2021,19.5738
Выращивание однолетних кормовых культур,01.19.1,2022,3.3149
Цветоводство,01.19.2,2021,18.3475
Цветоводство,01.19.2,2022,28.596
Цветоводство,01.19.2,2023,34.1319
Цветоводство,01.19.2,2024,43.6058
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2023,1.996
Выращивание многолетних культур,01.2,2019,71.26769999999999
Выращивание многолетних культур,01.2,2021,104.3093
Выращивание многолетних культур,01.2,2022,106.6477
Выращивание многолетних культур,01.2,2023,115.8663
Выращивание многолетних культур,01.2,2024,456.033
Выращивание винограда,01.21,2021,33.1364
Выращивание винограда,01.21,2022,39.8876
Выращивание винограда,01.21,2023,65.0487
Выращивание винограда,01.21,2024,369.3361
Выращивание семечковых и косточковых культур,01.24,2021,40.3474
Выращивание семечковых и косточковых культур,01.24,2022,31.7969
Выращивание семечковых и косточковых культур,01.24,2023,36.436800000000005
Выращивание семечковых и косточковых культур,01.24,2024,39.0555
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2021,30.1408
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2022,34.908199999999994
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2023,13.4838
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2024,44.6684
Выращивание прочих плодовых и ягодных культур,01.25.1,2021,30.1238
Выращивание прочих плодовых и ягодных культур,01.25.1,2022,34.8912
Выращивание прочих плодовых и ягодных культур,01.25.1,2023,13.4838
Выращивание прочих плодовых и ягодных культур,01.25.1,2024,39.6274
Выращивание прочих многолетних культур,01.29,2023,0.05
Выращивание прочих многолетних культур,01.29,2024,2.897
Выращивание рассады,01.3,2021,14.2745
Выращивание рассады,01.3,2022,3.3524000000000003
Выращивание рассады,01.3,2023,3.7405
Выращивание рассады,01.3,2024,1.494
Выращивание рассады,01.30,2019,24.3571
Выращивание рассады,01.30,2021,14.2745
Выращивание рассады,01.30,2022,3.3524000000000003
Выращивание рассады,01.30,2023,3.7405
Выращивание рассады,01.30,2024,1.494
Животноводство,01.4,2019,5497.7852
Животноводство,01.4,2021,3012.2773
Животноводство,01.4,2022,3128.4956
Животноводство,01.4,2023,3888.3161
Животноводство,01.4,2024,4690.5053
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021,969.648
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2022,1090.3103
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023,1363.8147
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024,1169.2131000000002
Разведение молочного крупного рогатого скота,01.41.1,2021,191.2434
Разведение молочного крупного рогатого скота,01.41.1,2022,239.0414
Разведение молочного крупного рогатого скота,01.41.1,2023,286.7889
Разведение молочного крупного рогатого скота,01.41.1,2024,302.1316
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021,124.245
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2022,153.90460000000002
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2023,144.45520000000002
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024,158.749
Разведение племенного молочного крупного рогатого скота,01.41.12,2021,66.3514
Разведение племенного молочного крупного рогатого скота,01.41.12,2022,84.3338
Разведение племенного молочного крупного рогатого скота,01.41.12,2023,98.2147
Разведение племенного молочного крупного рогатого скота,01.41.12,2024,141.8736
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021,351.45059999999995
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2022,798.1726
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023,1035.5806
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024,826.8958
Производство сырого коровьего молока,01.41.21,2021,350.52259999999995
Производство сырого коровьего молока,01.41.21,2022,797.9016
Производство сырого коровьего молока,01.41.21,2023,1032.3706
Производство сырого коровьего молока,01.41.21,2024,823.1698
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2022,0.271
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2023,3.21
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024,3.726
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2021,91.7106
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2022,93.2334
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023,84.27189999999999
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024,88.5261
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2021,75.6838
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2022,71.9919
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2023,66.6424
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2024,71.0885
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2021,34.7585
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2022,37.8443
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2023,27.3313
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2024,29.9162
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021,2.8856
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2022,4.9509
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024,1.8333
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021,16.026799999999998
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2022,15.7901
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023,17.0645
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024,17.4376
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021,10.0191
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2022,0.7639
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023,0.4528
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024,0.5475
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021,10.0191
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2022,0.7525
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023,0.4413999999999999
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024,0.5475
Разведение овец и коз,01.45,2021,1.0644
Разведение овец и коз,01.45,2022,0.6728999999999999
Разведение овец и коз,01.45,2023,0.9653
Разведение овец и коз,01.45,2024,0.8552000000000001
Разведение овец и коз,01.45.1,2021,0.9684
Разведение овец и коз,01.45.1,2022,0.6728999999999999
Разведение овец и коз,01.45.1,2023,0.7733
Разведение овец и коз,01.45.1,2024,0.7052
Разведение свиней,01.46,2021,948.5552
Разведение свиней,01.46,2022,1019.1251
Разведение свиней,01.46,2023,1134.7007
Разведение свиней,01.46,2024,1254.5349
Выращивание и разведение свиней,01.46.1,2021,818.8975
Выращивание и разведение свиней,01.46.1,2022,860.9352
Выращивание и разведение свиней,01.46.1,2023,1005.7407
Выращивание и разведение свиней,01.46.1,2024,1069.2251
Выращивание свиней на мясо,01.46.11,2021,797.6554
Выращивание свиней на мясо,01.46.11,2022,839.717
Выращивание свиней на мясо,01.46.11,2023,985.8056
Выращивание свиней на мясо,01.46.11,2024,1047.1391
Разведение сельскохозяйственной птицы,01.47,2021,927.2708
Разведение сельскохозяйственной птицы,01.47,2022,909.7802
Разведение сельскохозяйственной птицы,01.47,2023,1286.1468
Разведение сельскохозяйственной птицы,01.47,2024,2162.4287000000004
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021,494.1658
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2022,464.8871
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023,670.0679
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024,761.3375
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021,403.1292
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2022,383.7667
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023,567.1206
