region,okato,year,ITusage_r
Центральный федеральный округ,030,2016,49403
Центральный федеральный округ,030,2017,53607
Центральный федеральный округ,030,2018,58264
Центральный федеральный округ,030,2019,58086
Центральный федеральный округ,030,2021,73009
Центральный федеральный округ,030,2022,73788
Центральный федеральный округ,030,2023,74396
Центральный федеральный округ,030,2024,79710
Северо-Западный федеральный округ,031,2016,21492
Северо-Западный федеральный округ,031,2017,22557
Северо-Западный федеральный округ,031,2018,24207
Северо-Западный федеральный округ,031,2019,24005
Северо-Западный федеральный округ,031,2021,27064
Северо-Западный федеральный округ,031,2022,26595
Северо-Западный федеральный округ,031,2023,26751
Северо-Западный федеральный округ,031,2024,28087
Приволжский федеральный округ,033,2016,45890
Приволжский федеральный округ,033,2017,49154
Приволжский федеральный округ,033,2018,52549
Приволжский федеральный округ,033,2019,46494
Приволжский федеральный округ,033,2021,44815
Приволжский федеральный округ,033,2022,44533
Приволжский федеральный округ,033,2023,44161
Приволжский федеральный округ,033,2024,46319
Уральский федеральный округ,034,2016,19701
Уральский федеральный округ,034,2017,20850
Уральский федеральный округ,034,2018,22968
Уральский федеральный округ,034,2019,21154
Уральский федеральный округ,034,2021,20910
Уральский федеральный округ,034,2022,20635
Уральский федеральный округ,034,2023,20567
Уральский федеральный округ,034,2024,21561
Северо-Кавказский федеральный округ,038,2016,7962
Северо-Кавказский федеральный округ,038,2017,8692
Северо-Кавказский федеральный округ,038,2018,9409
Северо-Кавказский федеральный округ,038,2019,10166
Северо-Кавказский федеральный округ,038,2021,9776
Северо-Кавказский федеральный округ,038,2022,10209
Северо-Кавказский федеральный округ,038,2023,10462
Северо-Кавказский федеральный округ,038,2024,10893
Южный федеральный округ,040,2016,22058
Южный федеральный округ,040,2017,23921
Южный федеральный округ,040,2018,24681
Южный федеральный округ,040,2019,23571
Южный федеральный округ,040,2021,24786
Южный федеральный округ,040,2022,24968
Южный федеральный округ,040,2023,25143
Южный федеральный округ,040,2024,26021
Сибирский федеральный округ,041,2016,32524
Сибирский федеральный округ,041,2017,35281
Сибирский федеральный округ,041,2018,32285
Сибирский федеральный округ,041,2019,29935
Сибирский федеральный округ,041,2021,29586
Сибирский федеральный округ,041,2022,29421
Сибирский федеральный округ,041,2023,29481
Сибирский федеральный округ,041,2024,30322
Дальневосточный федеральный округ,042,2016,3388
