region,okato,year,PCusage_r
Центральный федеральный округ,030,2016,49379
Центральный федеральный округ,030,2017,53549
Центральный федеральный округ,030,2018,58218
Центральный федеральный округ,030,2019,58037
Центральный федеральный округ,030,2021,72927
Центральный федеральный округ,030,2022,73664
Центральный федеральный округ,030,2023,71969
Центральный федеральный округ,030,2024,72278
Северо-Западный федеральный округ,031,2016,21485
Северо-Западный федеральный округ,031,2017,22551
Северо-Западный федеральный округ,031,2018,24190
Северо-Западный федеральный округ,031,2019,23993
Северо-Западный федеральный округ,031,2021,27047
Северо-Западный федеральный округ,031,2022,26549
Северо-Западный федеральный округ,031,2023,25949
Северо-Западный федеральный округ,031,2024,26070
Приволжский федеральный округ,033,2016,45886
Приволжский федеральный округ,033,2017,49145
Приволжский федеральный округ,033,2018,52537
Приволжский федеральный округ,033,2019,46476
Приволжский федеральный округ,033,2021,44793
Приволжский федеральный округ,033,2022,44504
Приволжский федеральный округ,033,2023,43506
Приволжский федеральный округ,033,2024,43788
Уральский федеральный округ,034,2016,19693
Уральский федеральный округ,034,2017,20838
Уральский федеральный округ,034,2018,22939
Уральский федеральный округ,034,2019,21128
Уральский федеральный округ,034,2021,20897
Уральский федеральный округ,034,2022,20614
Уральский федеральный округ,034,2023,20215
Уральский федеральный округ,034,2024,20352
Северо-Кавказский федеральный округ,038,2016,7960
Северо-Кавказский федеральный округ,038,2017,8687
Северо-Кавказский федеральный округ,038,2018,9403
Северо-Кавказский федеральный округ,038,2019,10164
Северо-Кавказский федеральный округ,038,2021,9770
Северо-Кавказский федеральный округ,038,2022,10196
Северо-Кавказский федеральный округ,038,2023,10351
Северо-Кавказский федеральный округ,038,2024,10492
Южный федеральный округ,040,2016,22047
Южный федеральный округ,040,2017,23909
Южный федеральный округ,040,2018,24672
Южный федеральный округ,040,2019,23563
Южный федеральный округ,040,2021,24775
Южный федеральный округ,040,2022,24939
Южный федеральный округ,040,2023,24794
Южный федеральный округ,040,2024,24584
Сибирский федеральный округ,041,2016,32524
Сибирский федеральный округ,041,2017,35271
Сибирский федеральный округ,041,2018,32266
Сибирский федеральный округ,041,2019,29926
Сибирский федеральный округ,041,2021,29572
Сибирский федеральный округ,041,2022,29398
Сибирский федеральный округ,041,2023,29138
Сибирский федеральный округ,041,2024,28921
Дальневосточный федеральный округ,042,2016,3388
Дальневосточный федеральный округ,042,2017,3295
Дальневосточный федеральный округ,042,2018,17740
Дальневосточный федеральный округ,042,2019,17327
Дальневосточный федеральный округ,042,2021,17851
Дальневосточный федеральный округ,042,2022,17715
Дальневосточный федеральный округ,042,2023,17385
Дальневосточный федеральный округ,042,2024,17330
Алтайский край,1,2016,1064
Алтайский край,1,2017,1203
Алтайский край,1,2018,3462
Алтайский край,1,2019,3359
Алтайский край,1,2021,3400
Алтайский край,1,2022,3370
Алтайский край,1,2023,3345
Алтайский край,1,2024,3297
Амурская область,10,2016,1843
Амурская область,10,2017,1947
Амурская область,10,2018,2040
Амурская область,10,2019,2016
Амурская область,10,2021,1862
Амурская область,10,2022,1777
Амурская область,10,2023,1754
Амурская область,10,2024,1758
Архангельская область,11,2016,2433
Архангельская область,11,2017,2548
Архангельская область,11,2018,2821
Архангельская область,11,2019,2894
Архангельская область,11,2021,2775
Архангельская область,11,2022,2582
Архангельская область,11,2023,2427
Архангельская область,11,2024,2416
Архангельская область (кроме Ненецкого автономного округа),11001,2016,2203
