sector,okved2,year,PCusage_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019.0,4475.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021.0,4213.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022.0,4021.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023.0,4026.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024.0,3955.0
Выращивание однолетних культур,01.1,2019.0,1649.0
Выращивание однолетних культур,01.1,2021.0,1513.0
Выращивание однолетних культур,01.1,2022.0,1460.0
Выращивание однолетних культур,01.1,2023.0,1564.0
Выращивание однолетних культур,01.1,2024.0,1585.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021.0,1234.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2022.0,1190.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023.0,1256.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024.0,1273.0
Выращивание зерновых культур,01.11.1,2021.0,990.0
Выращивание зерновых культур,01.11.1,2022.0,940.0
Выращивание зерновых культур,01.11.1,2023.0,969.0
Выращивание зерновых культур,01.11.1,2024.0,1002.0
Выращивание пшеницы,01.11.11,2021.0,95.0
Выращивание пшеницы,01.11.11,2022.0,79.0
Выращивание пшеницы,01.11.11,2023.0,14.0
Выращивание пшеницы,01.11.11,2024.0,13.0
Выращивание ячменя,01.11.12,2023.0,
Выращивание кукурузы,01.11.14,2021.0,1.0
Выращивание кукурузы,01.11.14,2022.0,
Выращивание кукурузы,01.11.14,2023.0,
Выращивание кукурузы,01.11.14,2024.0,2.0
Выращивание овса,01.11.15,2023.0,1.0
Выращивание овса,01.11.15,2024.0,
Выращивание прочих зерновых культур,01.11.19,2021.0,3.0
Выращивание прочих зерновых культур,01.11.19,2022.0,
Выращивание прочих зерновых культур,01.11.19,2023.0,
Выращивание прочих зерновых культур,01.11.19,2024.0,4.0
Выращивание зернобобовых культур,01.11.2,2021.0,42.0
Выращивание зернобобовых культур,01.11.2,2022.0,33.0
Выращивание зернобобовых культур,01.11.2,2023.0,29.0
Выращивание зернобобовых культур,01.11.2,2024.0,22.0
Выращивание семян масличных культур,01.11.3,2021.0,106.0
Выращивание семян масличных культур,01.11.3,2022.0,136.0
Выращивание семян масличных культур,01.11.3,2023.0,159.0
Выращивание семян масличных культур,01.11.3,2024.0,143.0
Выращивание семян подсолнечника,01.11.31,2021.0,2.0
Выращивание семян подсолнечника,01.11.31,2023.0,
Выращивание семян подсолнечника,01.11.31,2024.0,1.0
Выращивание семян соевых бобов,01.11.33,2021.0,5.0
Выращивание семян соевых бобов,01.11.33,2022.0,6.0
Выращивание семян соевых бобов,01.11.33,2023.0,5.0
Выращивание семян соевых бобов,01.11.33,2024.0,2.0
Выращивание риса,01.12,2021.0,15.0
Выращивание риса,01.12,2022.0,17.0
Выращивание риса,01.12,2023.0,12.0
Выращивание риса,01.12,2024.0,11.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021.0,221.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2022.0,217.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023.0,248.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024.0,258.0
Выращивание овощей,01.13.1,2021.0,137.0
Выращивание овощей,01.13.1,2022.0,129.0
Выращивание овощей,01.13.1,2023.0,145.0
Выращивание овощей,01.13.1,2024.0,138.0
Выращивание овощей открытого грунта,01.13.11,2021.0,2.0
Выращивание овощей открытого грунта,01.13.11,2022.0,2.0
Выращивание овощей открытого грунта,01.13.11,2023.0,3.0
Выращивание овощей открытого грунта,01.13.11,2024.0,2.0
Выращивание овощей защищенного грунта,01.13.12,2021.0,11.0
Выращивание овощей защищенного грунта,01.13.12,2022.0,11.0
Выращивание овощей защищенного грунта,01.13.12,2023.0,11.0
Выращивание овощей защищенного грунта,01.13.12,2024.0,11.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2021.0,42.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2022.0,36.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2023.0,32.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024.0,40.0
Выращивание картофеля,01.13.31,2021.0,6.0
Выращивание картофеля,01.13.31,2022.0,5.0
Выращивание картофеля,01.13.31,2023.0,
Выращивание картофеля,01.13.31,2024.0,3.0
Выращивание прочих столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.39,2024.0,1.0
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2021.0,1.0
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2022.0,2.0
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2023.0,3.0
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2024.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2021.0,21.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2022.0,25.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2023.0,38.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2024.0,56.0
Выращивание сахарной свеклы,01.13.51,2021.0,1.0
Выращивание сахарной свеклы,01.13.51,2022.0,1.0
Выращивание сахарной свеклы,01.13.51,2023.0,3.0
Выращивание сахарной свеклы,01.13.51,2024.0,3.0
Выращивание семян сахарной свеклы,01.13.52,2023.0,
Выращивание грибов и трюфелей,01.13.6,2021.0,12.0
Выращивание грибов и трюфелей,01.13.6,2022.0,12.0
Выращивание грибов и трюфелей,01.13.6,2023.0,12.0
Выращивание грибов и трюфелей,01.13.6,2024.0,11.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2022.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2023.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2024.0,1.0
Выращивание волокнистых прядильных культур,01.16,2021.0,2.0
Выращивание волокнистых прядильных культур,01.16,2022.0,
Выращивание волокнистых прядильных культур,01.16,2023.0,5.0
