region,okato,year,RDcosts_r
Центральный федеральный округ,030,2016,681843.9548
Центральный федеральный округ,030,2017,733549.8618
Центральный федеральный округ,030,2018,731384.7054
Центральный федеральный округ,030,2019,762115.4377
Центральный федеральный округ,030,2020,821758.1735
Центральный федеральный округ,030,2021,887804.0085
Центральный федеральный округ,030,2022,966514.7688
Центральный федеральный округ,030,2023,1116827.1459
Центральный федеральный округ,030,2024,1284353.7761
Северо-Западный федеральный округ,031,2016,188128.5745
Северо-Западный федеральный округ,031,2017,208531.7786
Северо-Западный федеральный округ,031,2018,221518.6338
Северо-Западный федеральный округ,031,2019,225008.4734
Северо-Западный федеральный округ,031,2020,233952.9683
Северо-Западный федеральный округ,031,2021,221726.3272
Северо-Западный федеральный округ,031,2022,239395.4441
Северо-Западный федеральный округ,031,2023,272049.62460000004
Северо-Западный федеральный округ,031,2024,280007.0053
Приволжский федеральный округ,033,2016,180420.3112
Приволжский федеральный округ,033,2017,196189.4615
Приволжский федеральный округ,033,2018,200420.3346
Приволжский федеральный округ,033,2019,240819.0148
Приволжский федеральный округ,033,2020,233745.6387
Приволжский федеральный округ,033,2021,267071.5827
Приволжский федеральный округ,033,2022,280819.5009
Приволжский федеральный округ,033,2023,326949.4679
Приволжский федеральный округ,033,2024,378428.4763
Уральский федеральный округ,034,2016,77619.7169
Уральский федеральный округ,034,2017,85004.32179999999
Уральский федеральный округ,034,2018,89738.6183
Уральский федеральный округ,034,2019,82206.68909999999
Уральский федеральный округ,034,2020,91353.2776
Уральский федеральный округ,034,2021,103234.4792
Уральский федеральный округ,034,2022,117417.1518
Уральский федеральный округ,034,2023,122358.8204
Уральский федеральный округ,034,2024,156533.21719999998
Северо-Кавказский федеральный округ,038,2016,4479.1771
Северо-Кавказский федеральный округ,038,2017,4662.321900000001
Северо-Кавказский федеральный округ,038,2018,5320.6098
Северо-Кавказский федеральный округ,038,2019,5354.9743
Северо-Кавказский федеральный округ,038,2020,5824.4889
Северо-Кавказский федеральный округ,038,2021,6521.6033
Северо-Кавказский федеральный округ,038,2022,7388.5045
Северо-Кавказский федеральный округ,038,2023,8760.218
Северо-Кавказский федеральный округ,038,2024,8633.6405
Южный федеральный округ,040,2016,29474.8452
Южный федеральный округ,040,2017,27777.567
Южный федеральный округ,040,2018,28477.5382
Южный федеральный округ,040,2019,30881.8885
Южный федеральный округ,040,2020,32187.8648
Южный федеральный округ,040,2021,36115.2941
Южный федеральный округ,040,2022,36341.4756
Южный федеральный округ,040,2023,43045.1192
Южный федеральный округ,040,2024,46588.3214
Сибирский федеральный округ,041,2016,80452.04190000001
Сибирский федеральный округ,041,2017,80885.2031
Сибирский федеральный округ,041,2018,99706.6401
Сибирский федеральный округ,041,2019,99526.644
Сибирский федеральный округ,041,2020,111999.3588
Сибирский федеральный округ,041,2021,114776.8435
Сибирский федеральный округ,041,2022,124852.0117
Сибирский федеральный округ,041,2023,149768.3646
Сибирский федеральный округ,041,2024,167242.893
Дальневосточный федеральный округ,042,2016,
Дальневосточный федеральный округ,042,2017,19646.9141
Дальневосточный федеральный округ,042,2018,19326.6769
Дальневосточный федеральный округ,042,2019,18328.0365
Дальневосточный федеральный округ,042,2020,19915.3898
Дальневосточный федеральный округ,042,2021,21597.2584
Дальневосточный федеральный округ,042,2022,22856.2708
Дальневосточный федеральный округ,042,2023,24714.9138
Дальневосточный федеральный округ,042,2024,26298.9509
Алтайский край,1,2016,1849.7136
Алтайский край,1,2017,2010.5865
Алтайский край,1,2018,1981.9785
Алтайский край,1,2019,2273.7655
Алтайский край,1,2020,2133.3042
Алтайский край,1,2021,2412.6609
Алтайский край,1,2022,3032.7023
Алтайский край,1,2023,2808.0816
Алтайский край,1,2024,3318.8404
Амурская область,10,2016,478.2589
Амурская область,10,2017,479.0595
Амурская область,10,2018,575.2786
Амурская область,10,2019,679.3281
Амурская область,10,2020,679.1805
Амурская область,10,2021,754.8915999999999
Амурская область,10,2022,994.7815
Амурская область,10,2023,975.1651
Амурская область,10,2024,1669.501
Архангельская область,11,2016,1808.7534
Архангельская область,11,2017,4989.2635
Архангельская область,11,2018,1672.7351999999998
Архангельская область,11,2019,1579.5609
Архангельская область,11,2020,1879.9233
Архангельская область,11,2021,2107.426
Архангельская область,11,2022,2150.2672
Архангельская область,11,2023,2414.7715
Архангельская область,11,2024,3100.4163
Архангельская область (кроме Ненецкого автономного округа),11001,2016,1767.5531
Архангельская область (кроме Ненецкого автономного округа),11001,2017,4967.7478
Архангельская область (кроме Ненецкого автономного округа),11001,2018,1642.2691
Архангельская область (кроме Ненецкого автономного округа),11001,2019,1547.0072
Архангельская область (кроме Ненецкого автономного округа),11001,2020,1846.834
Архангельская область (кроме Ненецкого автономного округа),11001,2021,2073.9615
Архангельская область (кроме Ненецкого автономного округа),11001,2022,2111.0568
Архангельская область (кроме Ненецкого автономного округа),11001,2023,2376.0012
Архангельская область (кроме Ненецкого автономного округа),11001,2024,3065.5681
Ненецкий автономный округ (Архангельская область),111,2016,41.200300000000006
Ненецкий автономный округ (Архангельская область),111,2017,21.5157
Ненецкий автономный округ (Архангельская область),111,2018,30.4661
Ненецкий автономный округ (Архангельская область),111,2019,32.5537
Ненецкий автономный округ (Архангельская область),111,2020,33.0893
Ненецкий автономный округ (Архангельская область),111,2021,33.4645
Ненецкий автономный округ (Архангельская область),111,2022,39.2104
Ненецкий автономный округ (Архангельская область),111,2023,38.770300000000006
Ненецкий автономный округ (Архангельская область),111,2024,34.8482
Астраханская область,12,2016,474.5862
Астраханская область,12,2017,551.0935
Астраханская область,12,2018,525.8883000000001
Астраханская область,12,2019,819.6684
Астраханская область,12,2020,670.1057
Астраханская область,12,2021,798.399
Астраханская область,12,2022,653.4396999999999
Астраханская область,12,2023,2657.9579
Астраханская область,12,2024,1408.2192
Белгородская область,14,2016,1916.7568
Белгородская область,14,2017,1982.1738
Белгородская область,14,2018,2279.3709
Белгородская область,14,2019,2831.0179
Белгородская область,14,2020,3027.9006
Белгородская область,14,2021,4209.7963
Белгородская область,14,2022,5143.721
Белгородская область,14,2023,4709.976
Белгородская область,14,2024,4112.3605
Брянская область,15,2016,811.5350999999999
Брянская область,15,2017,1077.0779
Брянская область,15,2018,1468.874
Брянская область,15,2019,762.4219
Брянская область,15,2020,579.4512
