region,okato,year,RDequip_r
Центральный федеральный округ,030,2016,11534.3076
Центральный федеральный округ,030,2017,9332.6414
Центральный федеральный округ,030,2018,10716.8584
Центральный федеральный округ,030,2019,13425.7557
Центральный федеральный округ,030,2020,15547.8112
Центральный федеральный округ,030,2021,18747.0927
Центральный федеральный округ,030,2022,18226.6053
Центральный федеральный округ,030,2023,22612.7299
Центральный федеральный округ,030,2024,22814.043
Северо-Западный федеральный округ,031,2016,5885.8697
Северо-Западный федеральный округ,031,2017,4380.3662
Северо-Западный федеральный округ,031,2018,3323.021
Северо-Западный федеральный округ,031,2019,13717.1958
Северо-Западный федеральный округ,031,2020,7580.5027
Северо-Западный федеральный округ,031,2021,6049.8831
Северо-Западный федеральный округ,031,2022,3384.6911
Северо-Западный федеральный округ,031,2023,3701.5461
Северо-Западный федеральный округ,031,2024,5267.6539
Приволжский федеральный округ,033,2016,2765.3356
Приволжский федеральный округ,033,2017,4098.092
Приволжский федеральный округ,033,2018,2729.5679
Приволжский федеральный округ,033,2019,2418.8524
Приволжский федеральный округ,033,2020,5238.763099999999
Приволжский федеральный округ,033,2021,6217.2928
Приволжский федеральный округ,033,2022,4847.5595
Приволжский федеральный округ,033,2023,8777.7541
Приволжский федеральный округ,033,2024,10596.1981
Уральский федеральный округ,034,2016,2071.1238
Уральский федеральный округ,034,2017,1947.605
Уральский федеральный округ,034,2018,655.0948000000001
Уральский федеральный округ,034,2019,861.6651999999999
Уральский федеральный округ,034,2020,2003.3196
Уральский федеральный округ,034,2021,2539.4813
Уральский федеральный округ,034,2022,2474.1682
Уральский федеральный округ,034,2023,3081.3906
Уральский федеральный округ,034,2024,6041.9274000000005
Северо-Кавказский федеральный округ,038,2016,93.2082
Северо-Кавказский федеральный округ,038,2017,122.2886
Северо-Кавказский федеральный округ,038,2018,147.0879
Северо-Кавказский федеральный округ,038,2019,229.0073
Северо-Кавказский федеральный округ,038,2020,277.8767
Северо-Кавказский федеральный округ,038,2021,337.1301
Северо-Кавказский федеральный округ,038,2022,426.1522
Северо-Кавказский федеральный округ,038,2023,211.5282
Северо-Кавказский федеральный округ,038,2024,179.6539
Южный федеральный округ,040,2016,836.4775
Южный федеральный округ,040,2017,440.7577
Южный федеральный округ,040,2018,566.7761999999999
Южный федеральный округ,040,2019,425.6853
Южный федеральный округ,040,2020,745.1890999999999
Южный федеральный округ,040,2021,1086.3612
Южный федеральный округ,040,2022,1636.0302
Южный федеральный округ,040,2023,2648.7198
Южный федеральный округ,040,2024,4975.2725
Сибирский федеральный округ,041,2016,995.4891
Сибирский федеральный округ,041,2017,1257.9895
Сибирский федеральный округ,041,2018,1294.1487
Сибирский федеральный округ,041,2019,2986.5427
Сибирский федеральный округ,041,2020,3575.6802
Сибирский федеральный округ,041,2021,2734.8594
Сибирский федеральный округ,041,2022,2599.845
Сибирский федеральный округ,041,2023,2983.1524
Сибирский федеральный округ,041,2024,3794.1869
Дальневосточный федеральный округ,042,2016,
Дальневосточный федеральный округ,042,2017,170.87720000000002
Дальневосточный федеральный округ,042,2018,177.9269
Дальневосточный федеральный округ,042,2019,134.8648
Дальневосточный федеральный округ,042,2020,265.1152
Дальневосточный федеральный округ,042,2021,279.3548
Дальневосточный федеральный округ,042,2022,344.0826
Дальневосточный федеральный округ,042,2023,477.8932
Дальневосточный федеральный округ,042,2024,896.1061
Алтайский край,1,2016,25.4918
Алтайский край,1,2017,36.4124
Алтайский край,1,2018,58.6562
Алтайский край,1,2019,24.249
Алтайский край,1,2020,10.5971
Алтайский край,1,2021,17.8125
Алтайский край,1,2022,16.1459
Алтайский край,1,2023,61.1877
Алтайский край,1,2024,118.0911
Амурская область,10,2016,5.5926
Амурская область,10,2017,6.612
Амурская область,10,2018,18.9332
Амурская область,10,2019,15.4406
Амурская область,10,2020,12.8924
Амурская область,10,2021,36.3612
Амурская область,10,2022,79.7898
Амурская область,10,2023,108.2645
Амурская область,10,2024,527.6834
Архангельская область,11,2016,35.578199999999995
Архангельская область,11,2017,45.699
Архангельская область,11,2018,4.0874
Архангельская область,11,2019,13.7597
Архангельская область,11,2020,18.5462
Архангельская область,11,2021,78.4411
Архангельская область,11,2022,58.1734
Архангельская область,11,2023,58.7599
Архангельская область,11,2024,6.5811
Архангельская область (кроме Ненецкого автономного округа),11001,2016,35.3933
Архангельская область (кроме Ненецкого автономного округа),11001,2017,45.699
Архангельская область (кроме Ненецкого автономного округа),11001,2018,4.0874
