region,okato,year,RDsalary_r
Центральный федеральный округ,030,2016,209433.6148
Центральный федеральный округ,030,2017,233719.4454
Центральный федеральный округ,030,2018,241855.0654
Центральный федеральный округ,030,2019,268915.4357
Центральный федеральный округ,030,2020,281540.94180000003
Центральный федеральный округ,030,2021,306828.87930000003
Центральный федеральный округ,030,2022,338450.6631
Центральный федеральный округ,030,2023,377697.1129
Центральный федеральный округ,030,2024,428839.9562
Северо-Западный федеральный округ,031,2016,60451.1383
Северо-Западный федеральный округ,031,2017,65801.4997
Северо-Западный федеральный округ,031,2018,66604.8823
Северо-Западный федеральный округ,031,2019,71400.7116
Северо-Западный федеральный округ,031,2020,69716.5348
Северо-Западный федеральный округ,031,2021,76008.93
Северо-Западный федеральный округ,031,2022,84656.486
Северо-Западный федеральный округ,031,2023,91519.4725
Северо-Западный федеральный округ,031,2024,106851.009
Приволжский федеральный округ,033,2016,57994.7442
Приволжский федеральный округ,033,2017,58878.6854
Приволжский федеральный округ,033,2018,62613.805100000005
Приволжский федеральный округ,033,2019,71000.383
Приволжский федеральный округ,033,2020,68452.7808
Приволжский федеральный округ,033,2021,76814.73329999999
Приволжский федеральный округ,033,2022,82824.5475
Приволжский федеральный округ,033,2023,96471.7065
Приволжский федеральный округ,033,2024,113154.8306
Уральский федеральный округ,034,2016,24465.2995
Уральский федеральный округ,034,2017,27370.835
Уральский федеральный округ,034,2018,28571.9555
Уральский федеральный округ,034,2019,30475.9012
Уральский федеральный округ,034,2020,33172.376
Уральский федеральный округ,034,2021,36171.239
Уральский федеральный округ,034,2022,43828.2199
Уральский федеральный округ,034,2023,46824.6294
Уральский федеральный округ,034,2024,52802.1698
Северо-Кавказский федеральный округ,038,2016,2107.3509
Северо-Кавказский федеральный округ,038,2017,2238.3626
Северо-Кавказский федеральный округ,038,2018,2646.074
Северо-Кавказский федеральный округ,038,2019,2606.117
Северо-Кавказский федеральный округ,038,2020,2813.1126
Северо-Кавказский федеральный округ,038,2021,3159.0187
Северо-Кавказский федеральный округ,038,2022,3524.6761
Северо-Кавказский федеральный округ,038,2023,4029.9369
Северо-Кавказский федеральный округ,038,2024,4490.405900000001
Южный федеральный округ,040,2016,11202.572
Южный федеральный округ,040,2017,11482.4255
Южный федеральный округ,040,2018,12898.6871
Южный федеральный округ,040,2019,13140.143300000002
Южный федеральный округ,040,2020,13649.6057
Южный федеральный округ,040,2021,14781.0835
Южный федеральный округ,040,2022,15540.7615
Южный федеральный округ,040,2023,17932.7669
Южный федеральный округ,040,2024,20028.8761
Сибирский федеральный округ,041,2016,28964.0681
Сибирский федеральный округ,041,2017,29966.7309
Сибирский федеральный округ,041,2018,31831.3014
Сибирский федеральный округ,041,2019,33688.687399999995
Сибирский федеральный округ,041,2020,34239.4635
Сибирский федеральный округ,041,2021,38034.1568
Сибирский федеральный округ,041,2022,43128.336200000005
Сибирский федеральный округ,041,2023,50643.1365
Сибирский федеральный округ,041,2024,56848.1247
Дальневосточный федеральный округ,042,2016,
Дальневосточный федеральный округ,042,2017,8330.8529
Дальневосточный федеральный округ,042,2018,10245.3618
Дальневосточный федеральный округ,042,2019,10862.5766
Дальневосточный федеральный округ,042,2020,11370.3103
Дальневосточный федеральный округ,042,2021,12110.103
Дальневосточный федеральный округ,042,2022,13209.0815
Дальневосточный федеральный округ,042,2023,14039.5568
Дальневосточный федеральный округ,042,2024,14797.6495
Алтайский край,1,2016,852.092
Алтайский край,1,2017,828.0852
Алтайский край,1,2018,839.4213000000001
Алтайский край,1,2019,1013.9039
Алтайский край,1,2020,1107.1654
Алтайский край,1,2021,1161.6001
Алтайский край,1,2022,1490.6663999999998
Алтайский край,1,2023,1631.2486
Алтайский край,1,2024,1852.2758
Амурская область,10,2016,262.1365
Амурская область,10,2017,260.87510000000003
Амурская область,10,2018,317.7865
Амурская область,10,2019,342.8163
Амурская область,10,2020,382.8695
Амурская область,10,2021,427.4375
Амурская область,10,2022,505.1165
Амурская область,10,2023,541.3407
Амурская область,10,2024,609.99
Архангельская область,11,2016,966.8305
Архангельская область,11,2017,968.1856
Архангельская область,11,2018,1048.9667
Архангельская область,11,2019,953.1726
Архангельская область,11,2020,1035.7711
Архангельская область,11,2021,1170.8013999999998
Архангельская область,11,2022,1264.1457
Архангельская область,11,2023,1460.1583999999998
Архангельская область,11,2024,1586.5893999999998
Архангельская область (кроме Ненецкого автономного округа),11001,2016,929.1256
Архангельская область (кроме Ненецкого автономного округа),11001,2017,952.3228
Архангельская область (кроме Ненецкого автономного округа),11001,2018,1025.9733
Архангельская область (кроме Ненецкого автономного округа),11001,2019,928.7869
Архангельская область (кроме Ненецкого автономного округа),11001,2020,1011.0741
Архангельская область (кроме Ненецкого автономного округа),11001,2021,1145.9931
Архангельская область (кроме Ненецкого автономного округа),11001,2022,1239.2086000000002
Архангельская область (кроме Ненецкого автономного округа),11001,2023,1433.2733
Архангельская область (кроме Ненецкого автономного округа),11001,2024,1561.1109
Ненецкий автономный округ (Архангельская область),111,2016,37.7049
Ненецкий автономный округ (Архангельская область),111,2017,15.8628
Ненецкий автономный округ (Архангельская область),111,2018,22.9934
Ненецкий автономный округ (Архангельская область),111,2019,24.3857
Ненецкий автономный округ (Архангельская область),111,2020,24.697
Ненецкий автономный округ (Архангельская область),111,2021,24.8083
Ненецкий автономный округ (Архангельская область),111,2022,24.9371
Ненецкий автономный округ (Архангельская область),111,2023,26.8851
Ненецкий автономный округ (Архангельская область),111,2024,25.4785
Астраханская область,12,2016,227.066
Астраханская область,12,2017,260.2294
Астраханская область,12,2018,352.9073
Астраханская область,12,2019,517.9458
Астраханская область,12,2020,362.9374
Астраханская область,12,2021,393.6588
Астраханская область,12,2022,346.4097
Астраханская область,12,2023,1027.1656
Астраханская область,12,2024,647.4282
Белгородская область,14,2016,661.7765
Белгородская область,14,2017,666.7174
Белгородская область,14,2018,904.5089
Белгородская область,14,2019,1063.7758
Белгородская область,14,2020,1106.1424
