region,okato,year,factoriescap_r
Центральный федеральный округ,030,2017,16702989.0
Центральный федеральный округ,030,2018,19331484.0
Центральный федеральный округ,030,2019,20886340.0
Центральный федеральный округ,030,2020,22304960.0
Центральный федеральный округ,030,2021,27720544.0
Центральный федеральный округ,030,2022,28708568.0
Центральный федеральный округ,030,2023,30357364.0
Центральный федеральный округ,030,2024,35672084.0
Центральный федеральный округ,030,2025,40415800.0
Северо-Западный федеральный округ,031,2017,6721486.0
Северо-Западный федеральный округ,031,2018,7801978.0
Северо-Западный федеральный округ,031,2019,8222581.0
Северо-Западный федеральный округ,031,2020,8804788.0
Северо-Западный федеральный округ,031,2021,12428489.0
Северо-Западный федеральный округ,031,2022,13034309.0
Северо-Западный федеральный округ,031,2023,14119196.0
Северо-Западный федеральный округ,031,2024,15043707.0
Северо-Западный федеральный округ,031,2025,14764770.0
Приволжский федеральный округ,033,2017,11035337.0
Приволжский федеральный округ,033,2018,12987369.0
Приволжский федеральный округ,033,2019,13522465.0
Приволжский федеральный округ,033,2020,12804270.0
Приволжский федеральный округ,033,2021,16645958.0
Приволжский федеральный округ,033,2022,17888060.0
Приволжский федеральный округ,033,2023,20034564.0
Приволжский федеральный округ,033,2024,24077480.0
Приволжский федеральный округ,033,2025,24347400.0
Уральский федеральный округ,034,2017,10817283.0
Уральский федеральный округ,034,2018,13037702.0
Уральский федеральный округ,034,2019,13260027.0
Уральский федеральный округ,034,2020,11713162.0
Уральский федеральный округ,034,2021,17314364.0
Уральский федеральный округ,034,2022,20454058.0
Уральский федеральный округ,034,2023,23356040.0
Уральский федеральный округ,034,2024,26716040.0
Уральский федеральный округ,034,2025,23317638.0
Северо-Кавказский федеральный округ,038,2017,592426.0
Северо-Кавказский федеральный округ,038,2018,631331.0
Северо-Кавказский федеральный округ,038,2019,624381.0
Северо-Кавказский федеральный округ,038,2020,680341.0
Северо-Кавказский федеральный округ,038,2021,833561.0
Северо-Кавказский федеральный округ,038,2022,920219.0
Северо-Кавказский федеральный округ,038,2023,1017414.0
Северо-Кавказский федеральный округ,038,2024,1147721.0
Северо-Кавказский федеральный округ,038,2025,1263055.0
Южный федеральный округ,040,2017,3458438.0
Южный федеральный округ,040,2018,4093652.0
Южный федеральный округ,040,2019,4047217.0
Южный федеральный округ,040,2020,3886053.0
Южный федеральный округ,040,2021,4501401.0
Южный федеральный округ,040,2022,5155092.0
Южный федеральный округ,040,2023,5596133.0
Южный федеральный округ,040,2024,6283423.0
Южный федеральный округ,040,2025,6304660.0
Сибирский федеральный округ,041,2017,6774224.0
Сибирский федеральный округ,041,2018,8116347.0
Сибирский федеральный округ,041,2019,8416771.0
Сибирский федеральный округ,041,2020,8210317.0
Сибирский федеральный округ,041,2021,10476114.0
Сибирский федеральный округ,041,2022,11136696.0
Сибирский федеральный округ,041,2023,11533787.0
Сибирский федеральный округ,041,2024,13726610.0
Сибирский федеральный округ,041,2025,13373037.0
Дальневосточный федеральный округ,042,2017,2928626.0
Дальневосточный федеральный округ,042,2018,3621024.0
Дальневосточный федеральный округ,042,2019,3910136.0
Дальневосточный федеральный округ,042,2020,3946333.0
Дальневосточный федеральный округ,042,2021,4967805.0
Дальневосточный федеральный округ,042,2022,5362349.0
Дальневосточный федеральный округ,042,2023,6229706.0
Дальневосточный федеральный округ,042,2024,7395420.0
Дальневосточный федеральный округ,042,2025,7852628.0
Алтайский край,1,2017,367988.0
Алтайский край,1,2018,385596.0
Алтайский край,1,2019,419159.0
Алтайский край,1,2020,471582.0
Алтайский край,1,2021,581053.0
Алтайский край,1,2022,633952.0
Алтайский край,1,2023,676165.0
Алтайский край,1,2024,842772.0
Алтайский край,1,2025,865948.0
Амурская область,10,2017,134422.0
Амурская область,10,2018,134380.0
Амурская область,10,2019,170013.0
Амурская область,10,2020,217219.0
Амурская область,10,2021,219712.0
Амурская область,10,2022,213229.0
Амурская область,10,2023,358460.0
Амурская область,10,2024,523334.0
Амурская область,10,2025,636714.0
Архангельская область,11,2017,648108.0
Архангельская область,11,2018,673813.0
Архангельская область,11,2019,632307.0
Архангельская область,11,2020,598751.0
Архангельская область,11,2021,989566.0
Архангельская область,11,2022,963395.0
Архангельская область,11,2023,1070738.0
Архангельская область,11,2024,1108690.0
Архангельская область,11,2025,920919.0
Архангельская область (кроме Ненецкого автономного округа),11001,2017,354505.0
Архангельская область (кроме Ненецкого автономного округа),11001,2018,303236.0
Архангельская область (кроме Ненецкого автономного округа),11001,2019,266792.0
Архангельская область (кроме Ненецкого автономного округа),11001,2020,335389.0
Архангельская область (кроме Ненецкого автономного округа),11001,2021,511510.0
Архангельская область (кроме Ненецкого автономного округа),11001,2022,403630.0
Архангельская область (кроме Ненецкого автономного округа),11001,2023,505345.0
Архангельская область (кроме Ненецкого автономного округа),11001,2024,430727.0
Архангельская область (кроме Ненецкого автономного округа),11001,2025,437346.0
Ненецкий автономный округ (Архангельская область),111,2017,293603.0
Ненецкий автономный округ (Архангельская область),111,2018,370578.0
Ненецкий автономный округ (Архангельская область),111,2019,365515.0
Ненецкий автономный округ (Архангельская область),111,2020,263362.0
Ненецкий автономный округ (Архангельская область),111,2021,478056.0
Ненецкий автономный округ (Архангельская область),111,2022,559766.0
Ненецкий автономный округ (Архангельская область),111,2023,565393.0
Ненецкий автономный округ (Архангельская область),111,2024,677963.0
Ненецкий автономный округ (Архангельская область),111,2025,483573.0
Астраханская область,12,2017,313285.0
Астраханская область,12,2018,441883.0
Астраханская область,12,2019,450757.0
Астраханская область,12,2020,364472.0
Астраханская область,12,2021,501369.0
Астраханская область,12,2022,608048.0
Астраханская область,12,2023,596424.0
Астраханская область,12,2024,661028.0
Астраханская область,12,2025,533652.0
Белгородская область,14,2017,783326.0
Белгородская область,14,2018,895434.0
Белгородская область,14,2019,939036.0
Белгородская область,14,2020,1001401.0
Белгородская область,14,2021,1434608.0
Белгородская область,14,2022,1332212.0
Белгородская область,14,2023,1379348.0
Белгородская область,14,2024,1559163.0
Белгородская область,14,2025,1577766.0
Брянская область,15,2017,214708.0
Брянская область,15,2018,245437.0
Брянская область,15,2019,280967.0
Брянская область,15,2020,291324.0
Брянская область,15,2021,359288.0
Брянская область,15,2022,409029.0
Брянская область,15,2023,489517.0
Брянская область,15,2024,566879.0
Брянская область,15,2025,588027.0
Владимирская область,17,2017,453782.0
Владимирская область,17,2018,500985.0
Владимирская область,17,2019,546654.0
Владимирская область,17,2020,598052.0
Владимирская область,17,2021,807313.0
Владимирская область,17,2022,789051.0
Владимирская область,17,2023,934012.0
Владимирская область,17,2024,1069824.0
Владимирская область,17,2025,1123589.0
Волгоградская область,18,2017,853778.0
Волгоградская область,18,2018,1034747.0
Волгоградская область,18,2019,1057910.0
Волгоградская область,18,2020,904781.0
Волгоградская область,18,2021,756775.0
Волгоградская область,18,2022,904522.0
Волгоградская область,18,2023,966321.0
Волгоградская область,18,2024,1053496.0
Волгоградская область,18,2025,1023917.0
Вологодская область,19,2017,621395.0
Вологодская область,19,2018,741042.0
Вологодская область,19,2019,757287.0
Вологодская область,19,2020,790965.0
Вологодская область,19,2021,1299539.0
Вологодская область,19,2022,1265640.0
Вологодская область,19,2023,1255650.0
Вологодская область,19,2024,1389116.0
Вологодская область,19,2025,1363851.0
Воронежская область,20,2017,529550.0
Воронежская область,20,2018,569080.0
Воронежская область,20,2019,640981.0
Воронежская область,20,2020,771635.0
Воронежская область,20,2021,899078.0
Воронежская область,20,2022,983757.0
Воронежская область,20,2023,1056780.0
Воронежская область,20,2024,1248063.0
Воронежская область,20,2025,1364447.0
Нижегородская область,22,2017,1367185.0
Нижегородская область,22,2018,1531787.0
Нижегородская область,22,2019,1643353.0
Нижегородская область,22,2020,1584211.0
Нижегородская область,22,2021,1657676.0
Нижегородская область,22,2022,1837795.0
Нижегородская область,22,2023,2133105.0
Нижегородская область,22,2024,2551016.0
Нижегородская область,22,2025,2581664.0
Ивановская область,24,2017,170378.0
Ивановская область,24,2018,189527.0
Ивановская область,24,2019,194533.0
Ивановская область,24,2020,257144.0
Ивановская область,24,2021,263600.0
Ивановская область,24,2022,303854.0
Ивановская область,24,2023,363754.0
Ивановская область,24,2024,413169.0
Ивановская область,24,2025,421935.0
Иркутская область,25,2017,1063133.0
Иркутская область,25,2018,1255788.0
Иркутская область,25,2019,1259580.0
Иркутская область,25,2020,1238255.0
Иркутская область,25,2021,1658283.0
Иркутская область,25,2022,1902078.0
Иркутская область,25,2023,2007098.0
Иркутская область,25,2024,2363841.0
Иркутская область,25,2025,2452083.0
Республика Ингушетия,26,2017,5159.0
Республика Ингушетия,26,2018,5200.0
Республика Ингушетия,26,2019,5440.0
Республика Ингушетия,26,2020,4508.0
Республика Ингушетия,26,2021,6127.0
Республика Ингушетия,26,2022,10798.0
Республика Ингушетия,26,2023,9374.0
Республика Ингушетия,26,2024,14672.0
Республика Ингушетия,26,2025,13667.0
Калининградская область,27,2017,517165.0
Калининградская область,27,2018,639271.0
Калининградская область,27,2019,671900.0
Калининградская область,27,2020,676198.0
Калининградская область,27,2021,824109.0
