sector,okved2,year,factoriescap_s
Добыча угля,05,2017.0,1228407.0
Добыча угля,05,2018.0,1567151.0
Добыча угля,05,2019.0,1392654.0
Добыча угля,05,2020.0,1100427.0
Добыча угля,05,2021.0,2143580.0
Добыча угля,05,2022.0,2805100.0
Добыча угля,05,2023.0,2346977.0
Добыча угля,05,2024.0,2022430.0
Добыча угля,05,2025.0,1655144.0
Добыча и обогащение угля и антрацита,05.1,2017.0,1151523.0
Добыча и обогащение угля и антрацита,05.1,2018.0,1472893.0
Добыча и обогащение угля и антрацита,05.1,2019.0,1302804.0
Добыча и обогащение угля и антрацита,05.1,2020.0,1014842.0
Добыча и обогащение угля и антрацита,05.1,2021.0,2023172.0
Добыча и обогащение угля и антрацита,05.1,2022.0,2649450.0
Добыча и обогащение угля и антрацита,05.1,2023.0,2167900.0
Добыча и обогащение угля и антрацита,05.1,2024.0,1836889.0
Добыча и обогащение угля и антрацита,05.1,2025.0,1460307.0
Добыча и обогащение бурого угля (лигнита),05.2,2017.0,76884.0
Добыча и обогащение бурого угля (лигнита),05.2,2018.0,94257.0
Добыча и обогащение бурого угля (лигнита),05.2,2019.0,89850.0
Добыча и обогащение бурого угля (лигнита),05.2,2020.0,85585.0
Добыча и обогащение бурого угля (лигнита),05.2,2021.0,120408.0
Добыча и обогащение бурого угля (лигнита),05.2,2022.0,155649.0
Добыча и обогащение бурого угля (лигнита),05.2,2023.0,179077.0
Добыча и обогащение бурого угля (лигнита),05.2,2024.0,185541.0
Добыча и обогащение бурого угля (лигнита),05.2,2025.0,194840.0
Добыча нефти и природного газа,06,2017.0,9286030.0
Добыча нефти и природного газа,06,2018.0,12873615.0
Добыча нефти и природного газа,06,2019.0,12859341.0
Добыча нефти и природного газа,06,2020.0,8946130.0
Добыча нефти и природного газа,06,2021.0,16211460.0
Добыча нефти и природного газа,06,2022.0,19396690.0
Добыча нефти и природного газа,06,2023.0,19860021.0
Добыча нефти и природного газа,06,2024.0,23543276.0
Добыча нефти и природного газа,06,2025.0,17280133.0
Добыча нефти и нефтяного (попутного) газа,06.1,2017.0,7834484.0
Добыча нефти и нефтяного (попутного) газа,06.1,2018.0,11078753.0
Добыча нефти и нефтяного (попутного) газа,06.1,2019.0,11019125.0
Добыча нефти и нефтяного (попутного) газа,06.1,2020.0,7322715.0
Добыча нефти и нефтяного (попутного) газа,06.1,2021.0,13446075.0
Добыча нефти и нефтяного (попутного) газа,06.1,2022.0,15462920.0
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,16102035.0
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,19095274.0
Добыча нефти и нефтяного (попутного) газа,06.1,2025.0,13808243.0
Добыча природного газа и газового конденсата,06.2,2017.0,1451547.0
Добыча природного газа и газового конденсата,06.2,2018.0,1794862.0
Добыча природного газа и газового конденсата,06.2,2019.0,1840215.0
Добыча природного газа и газового конденсата,06.2,2020.0,1623415.0
Добыча природного газа и газового конденсата,06.2,2021.0,2765385.0
Добыча природного газа и газового конденсата,06.2,2022.0,3933770.0
Добыча природного газа и газового конденсата,06.2,2023.0,3757986.0
Добыча природного газа и газового конденсата,06.2,2024.0,4448002.0
Добыча природного газа и газового конденсата,06.2,2025.0,3471888.0
Добыча металлических руд,07,2017.0,1026605.0
Добыча металлических руд,07,2018.0,1198576.0
Добыча металлических руд,07,2019.0,1204020.0
Добыча металлических руд,07,2020.0,1611956.0
Добыча металлических руд,07,2021.0,2268091.0
Добыча металлических руд,07,2022.0,1709618.0
Добыча металлических руд,07,2023.0,2080519.0
Добыча металлических руд,07,2024.0,2472055.0
Добыча металлических руд,07,2025.0,2492094.0
Добыча и обогащение железных руд,07.1,2017.0,348487.0
Добыча и обогащение железных руд,07.1,2018.0,420883.0
Добыча и обогащение железных руд,07.1,2019.0,502392.0
Добыча и обогащение железных руд,07.1,2020.0,526318.0
Добыча и обогащение железных руд,07.1,2021.0,1037563.0
Добыча и обогащение железных руд,07.1,2022.0,595177.0
Добыча и обогащение железных руд,07.1,2023.0,590779.0
Добыча и обогащение железных руд,07.1,2024.0,732416.0
