region,okato,year,inetusage_r
Центральный федеральный округ,030,2016,47668
Центральный федеральный округ,030,2017,52117
Центральный федеральный округ,030,2018,56755
Центральный федеральный округ,030,2019,56791
Центральный федеральный округ,030,2021,69315
Центральный федеральный округ,030,2022,70365
Центральный федеральный округ,030,2023,72923
Центральный федеральный округ,030,2024,75542
Северо-Западный федеральный округ,031,2016,20936
Северо-Западный федеральный округ,031,2017,21991
Северо-Западный федеральный округ,031,2018,23526
Северо-Западный федеральный округ,031,2019,23404
Северо-Западный федеральный округ,031,2021,25586
Северо-Западный федеральный округ,031,2022,25274
Северо-Западный федеральный округ,031,2023,26263
Северо-Западный федеральный округ,031,2024,26911
Приволжский федеральный округ,033,2016,44090
Приволжский федеральный округ,033,2017,47598
Приволжский федеральный округ,033,2018,50835
Приволжский федеральный округ,033,2019,45464
Приволжский федеральный округ,033,2021,42972
Приволжский федеральный округ,033,2022,42896
Приволжский федеральный округ,033,2023,43608
Приволжский федеральный округ,033,2024,44723
Уральский федеральный округ,034,2016,18820
Уральский федеральный округ,034,2017,19980
Уральский федеральный округ,034,2018,22176
Уральский федеральный округ,034,2019,20549
Уральский федеральный округ,034,2021,19911
Уральский федеральный округ,034,2022,19722
Уральский федеральный округ,034,2023,20289
Уральский федеральный округ,034,2024,20761
Северо-Кавказский федеральный округ,038,2016,7553
Северо-Кавказский федеральный округ,038,2017,8346
Северо-Кавказский федеральный округ,038,2018,9099
Северо-Кавказский федеральный округ,038,2019,9925
Северо-Кавказский федеральный округ,038,2021,9351
Северо-Кавказский федеральный округ,038,2022,9765
Северо-Кавказский федеральный округ,038,2023,10358
Северо-Кавказский федеральный округ,038,2024,10546
Южный федеральный округ,040,2016,21203
Южный федеральный округ,040,2017,23218
Южный федеральный округ,040,2018,24181
Южный федеральный округ,040,2019,23082
Южный федеральный округ,040,2021,23670
Южный федеральный округ,040,2022,23989
Южный федеральный округ,040,2023,24744
Южный федеральный округ,040,2024,25056
Сибирский федеральный округ,041,2016,30940
Сибирский федеральный округ,041,2017,33509
Сибирский федеральный округ,041,2018,31104
Сибирский федеральный округ,041,2019,29115
Сибирский федеральный округ,041,2021,28071
Сибирский федеральный округ,041,2022,28207
Сибирский федеральный округ,041,2023,29083
Сибирский федеральный округ,041,2024,29494
Дальневосточный федеральный округ,042,2016,3245
Дальневосточный федеральный округ,042,2017,3150
Дальневосточный федеральный округ,042,2018,16776
Дальневосточный федеральный округ,042,2019,16812
Дальневосточный федеральный округ,042,2021,16857
Дальневосточный федеральный округ,042,2022,16772
Дальневосточный федеральный округ,042,2023,17306
Дальневосточный федеральный округ,042,2024,17684
Алтайский край,1,2016,1005
Алтайский край,1,2017,1126
Алтайский край,1,2018,3368
Алтайский край,1,2019,3287
Алтайский край,1,2021,3283
Алтайский край,1,2022,3291
Алтайский край,1,2023,3339
Алтайский край,1,2024,3370
Амурская область,10,2016,1694
Амурская область,10,2017,1794
Амурская область,10,2018,1896
Амурская область,10,2019,1944
Амурская область,10,2021,1755
Амурская область,10,2022,1689
Амурская область,10,2023,1753
Амурская область,10,2024,1806
Архангельская область,11,2016,2345
Архангельская область,11,2017,2456
Архангельская область,11,2018,2675
Архангельская область,11,2019,2720
Архангельская область,11,2021,2531
Архангельская область,11,2022,2380
Архангельская область,11,2023,2383
Архангельская область,11,2024,2406
Архангельская область (кроме Ненецкого автономного округа),11001,2016,2120
Архангельская область (кроме Ненецкого автономного округа),11001,2017,2217
Архангельская область (кроме Ненецкого автономного округа),11001,2018,2425
Архангельская область (кроме Ненецкого автономного округа),11001,2019,2434
Архангельская область (кроме Ненецкого автономного округа),11001,2021,2246
Архангельская область (кроме Ненецкого автономного округа),11001,2022,2103
Архангельская область (кроме Ненецкого автономного округа),11001,2023,2096
Архангельская область (кроме Ненецкого автономного округа),11001,2024,2108
Ненецкий автономный округ (Архангельская область),111,2016,225
Ненецкий автономный округ (Архангельская область),111,2017,239
Ненецкий автономный округ (Архангельская область),111,2018,250
Ненецкий автономный округ (Архангельская область),111,2019,286
Ненецкий автономный округ (Архангельская область),111,2021,285
Ненецкий автономный округ (Архангельская область),111,2022,277
Ненецкий автономный округ (Архангельская область),111,2023,287
Ненецкий автономный округ (Архангельская область),111,2024,298
Астраханская область,12,2016,1291
Астраханская область,12,2017,1325
Астраханская область,12,2018,1340
Астраханская область,12,2019,1366
Астраханская область,12,2021,1364
Астраханская область,12,2022,1415
Астраханская область,12,2023,1462
Астраханская область,12,2024,1432
Белгородская область,14,2016,1975
Белгородская область,14,2017,2198
Белгородская область,14,2018,2269
Белгородская область,14,2019,2381
Белгородская область,14,2021,2796
Белгородская область,14,2022,2810
Белгородская область,14,2023,2808
Белгородская область,14,2024,2892
Брянская область,15,2016,1923
Брянская область,15,2017,1995
Брянская область,15,2018,2287
Брянская область,15,2019,2063
Брянская область,15,2021,2067
Брянская область,15,2022,2102
Брянская область,15,2023,2044
Брянская область,15,2024,2038
Владимирская область,17,2016,2180
Владимирская область,17,2017,2450
Владимирская область,17,2018,2591
Владимирская область,17,2019,2511
Владимирская область,17,2021,2648
Владимирская область,17,2022,2679
Владимирская область,17,2023,2621
Владимирская область,17,2024,2562
Волгоградская область,18,2016,4255
Волгоградская область,18,2017,4595
Волгоградская область,18,2018,4604
Волгоградская область,18,2019,4297
Волгоградская область,18,2021,3934
Волгоградская область,18,2022,3941
Волгоградская область,18,2023,4034
Волгоградская область,18,2024,4009
Вологодская область,19,2016,2033
Вологодская область,19,2017,2056
Вологодская область,19,2018,2100
Вологодская область,19,2019,2203
Вологодская область,19,2021,2226
Вологодская область,19,2022,2086
Вологодская область,19,2023,2054
Вологодская область,19,2024,2094
Воронежская область,20,2016,2968
Воронежская область,20,2017,3067
Воронежская область,20,2018,3291
Воронежская область,20,2019,3488
Воронежская область,20,2021,3764
Воронежская область,20,2022,3930
Воронежская область,20,2023,3937
Воронежская область,20,2024,4073
Нижегородская область,22,2016,4237
Нижегородская область,22,2017,4558
Нижегородская область,22,2018,5311
Нижегородская область,22,2019,5214
Нижегородская область,22,2021,5205
Нижегородская область,22,2022,4958
Нижегородская область,22,2023,5087
Нижегородская область,22,2024,5268
Ивановская область,24,2016,1503
Ивановская область,24,2017,1546
Ивановская область,24,2018,1611
Ивановская область,24,2019,1622
Ивановская область,24,2021,1673
Ивановская область,24,2022,1694
Ивановская область,24,2023,1733
Ивановская область,24,2024,1766
Иркутская область,25,2016,1697
Иркутская область,25,2017,1686
Иркутская область,25,2018,4250
Иркутская область,25,2019,4046
Иркутская область,25,2021,4015
Иркутская область,25,2022,4102
Иркутская область,25,2023,4158
Иркутская область,25,2024,4257
Республика Ингушетия,26,2016,215
Республика Ингушетия,26,2017,275
Республика Ингушетия,26,2018,270
Республика Ингушетия,26,2019,339
Республика Ингушетия,26,2021,338
Республика Ингушетия,26,2022,375
Республика Ингушетия,26,2023,406
Республика Ингушетия,26,2024,398
Калининградская область,27,2016,1474
Калининградская область,27,2017,1523
Калининградская область,27,2018,1653
Калининградская область,27,2019,1717
Калининградская область,27,2021,1753
Калининградская область,27,2022,1762
Калининградская область,27,2023,1915
Калининградская область,27,2024,1940
Тверская область,28,2016,2622
Тверская область,28,2017,2687
Тверская область,28,2018,2610
Тверская область,28,2019,2552
Тверская область,28,2021,2556
Тверская область,28,2022,2629
Тверская область,28,2023,2615
Тверская область,28,2024,2588
Калужская область,29,2016,1902
Калужская область,29,2017,2047
Калужская область,29,2018,2323
Калужская область,29,2019,2221
Калужская область,29,2021,2269
Калужская область,29,2022,2312
Калужская область,29,2023,2338
Калужская область,29,2024,2318
Краснодарский край,3,2016,6825
Краснодарский край,3,2017,8175
Краснодарский край,3,2018,8485
Краснодарский край,3,2019,8069
Краснодарский край,3,2021,8510
Краснодарский край,3,2022,8756
Краснодарский край,3,2023,9010
Краснодарский край,3,2024,9055
Камчатский край,30,2016,811
Камчатский край,30,2017,880
Камчатский край,30,2018,1083
Камчатский край,30,2019,947
Камчатский край,30,2021,957
Камчатский край,30,2022,932
Камчатский край,30,2023,975
Камчатский край,30,2024,997
Кемеровская область - Кузбасс,32,2016,5062
Кемеровская область - Кузбасс,32,2017,5819
Кемеровская область - Кузбасс,32,2018,4866
Кемеровская область - Кузбасс,32,2019,3883
Кемеровская область - Кузбасс,32,2021,3547
Кемеровская область - Кузбасс,32,2022,3620
Кемеровская область - Кузбасс,32,2023,3714
Кемеровская область - Кузбасс,32,2024,3803
Кировская область,33,2016,2229
Кировская область,33,2017,2202
Кировская область,33,2018,2792
Кировская область,33,2019,2297
Кировская область,33,2021,2177
Кировская область,33,2022,2180
Кировская область,33,2023,2194
Кировская область,33,2024,2240
Костромская область,34,2016,1694
Костромская область,34,2017,1670
Костромская область,34,2018,1679
Костромская область,34,2019,1541
Костромская область,34,2021,1548
Костромская область,34,2022,1562
Костромская область,34,2023,1594
Костромская область,34,2024,1632
Самарская область,36,2016,6073
Самарская область,36,2017,6215
Самарская область,36,2018,6305
Самарская область,36,2019,4783
Самарская область,36,2021,4740
Самарская область,36,2022,4645
Самарская область,36,2023,4737
Самарская область,36,2024,4803
Курганская область,37,2016,2070
Курганская область,37,2017,2082
Курганская область,37,2018,2188
Курганская область,37,2019,1750
Курганская область,37,2021,1335
Курганская область,37,2022,1209
Курганская область,37,2023,1166
Курганская область,37,2024,1178
Курская область,38,2016,2247
Курская область,38,2017,2367
Курская область,38,2018,2457
Курская область,38,2019,2333
Курская область,38,2021,2310
Курская область,38,2022,2265
Курская область,38,2023,2098
Курская область,38,2024,2064
Красноярский край,4,2016,3151
Красноярский край,4,2017,3400
Красноярский край,4,2018,5788
Красноярский край,4,2019,5276
Красноярский край,4,2021,5067
Красноярский край,4,2022,5102
Красноярский край,4,2023,5237
Красноярский край,4,2024,5361
Город Санкт-Петербург город федерального значения,40,2016,4972
Город Санкт-Петербург город федерального значения,40,2017,5586
Город Санкт-Петербург город федерального значения,40,2018,6267
Город Санкт-Петербург город федерального значения,40,2019,6628
Город Санкт-Петербург город федерального значения,40,2021,8249
Город Санкт-Петербург город федерального значения,40,2022,8298
Город Санкт-Петербург город федерального значения,40,2023,9079
Город Санкт-Петербург город федерального значения,40,2024,9579
Ленинградская область,41,2016,2299
Ленинградская область,41,2017,2313
Ленинградская область,41,2018,2532
Ленинградская область,41,2019,2581
Ленинградская область,41,2021,3000
Ленинградская область,41,2022,3040
Ленинградская область,41,2023,3180
Ленинградская область,41,2024,3208
Липецкая область,42,2016,1787
Липецкая область,42,2017,1919
Липецкая область,42,2018,1938
Липецкая область,42,2019,2105
Липецкая область,42,2021,2215
Липецкая область,42,2022,2280
Липецкая область,42,2023,2265
Липецкая область,42,2024,2206
Магаданская область,44,2016,691
Магаданская область,44,2017,700
Магаданская область,44,2018,725
Магаданская область,44,2019,566
Магаданская область,44,2021,562
Магаданская область,44,2022,564
Магаданская область,44,2023,590
Магаданская область,44,2024,637
Город Москва столица Российской Федерации город федерального значения,45,2016,8042
Город Москва столица Российской Федерации город федерального значения,45,2017,9405
Город Москва столица Российской Федерации город федерального значения,45,2018,10844
Город Москва столица Российской Федерации город федерального значения,45,2019,12054
Город Москва столица Российской Федерации город федерального значения,45,2021,21334
Город Москва столица Российской Федерации город федерального значения,45,2022,22034
Город Москва столица Российской Федерации город федерального значения,45,2023,24694
Город Москва столица Российской Федерации город федерального значения,45,2024,26735
Московская область,46,2016,8475
Московская область,46,2017,10036
Московская область,46,2018,11031
Московская область,46,2019,10429
Московская область,46,2021,12222
Московская область,46,2022,12246
Московская область,46,2023,12366
Московская область,46,2024,13034
Мурманская область,47,2016,1865
Мурманская область,47,2017,1920
Мурманская область,47,2018,1973
Мурманская область,47,2019,1592
Мурманская область,47,2021,1713
Мурманская область,47,2022,1641
Мурманская область,47,2023,1685
Мурманская область,47,2024,1695
Новгородская область,49,2016,1412
Новгородская область,49,2017,1453
Новгородская область,49,2018,1434
Новгородская область,49,2019,1396
Новгородская область,49,2021,1386
Новгородская область,49,2022,1399
Новгородская область,49,2023,1341
Новгородская область,49,2024,1357
Приморский край,5,2016,2821
Приморский край,5,2017,2849
Приморский край,5,2018,2858
Приморский край,5,2019,2890
