sector,okved2,year,pBDusage_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021.0,0.31506524317912216
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023.0,0.16719628452701052
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024.0,0.0989146521953626
Выращивание однолетних культур,01.1,2021.0,0.31617161716171616
Выращивание однолетних культур,01.1,2023.0,0.1808443604284814
Выращивание однолетних культур,01.1,2024.0,0.10783055198973042
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021.0,0.30526315789473685
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023.0,0.16705882352941176
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024.0,0.10445344129554655
Выращивание зерновых культур,01.11.1,2021.0,0.31616161616161614
Выращивание зерновых культур,01.11.1,2023.0,0.1767109295199183
Выращивание зерновых культур,01.11.1,2024.0,0.10676532769556026
Выращивание пшеницы,01.11.11,2021.0,0.3684210526315789
Выращивание пшеницы,01.11.11,2023.0,0.1875
Выращивание пшеницы,01.11.11,2024.0,0.125
Выращивание ячменя,01.11.12,2023.0,
Выращивание кукурузы,01.11.14,2021.0,
Выращивание кукурузы,01.11.14,2023.0,
Выращивание кукурузы,01.11.14,2024.0,
Выращивание овса,01.11.15,2023.0,
Выращивание овса,01.11.15,2024.0,
Выращивание прочих зерновых культур,01.11.19,2021.0,0.3333333333333333
Выращивание прочих зерновых культур,01.11.19,2023.0,
Выращивание прочих зерновых культур,01.11.19,2024.0,
Выращивание зернобобовых культур,01.11.2,2021.0,0.38095238095238093
Выращивание зернобобовых культур,01.11.2,2023.0,0.2413793103448276
Выращивание зернобобовых культур,01.11.2,2024.0,0.21739130434782608
Выращивание семян масличных культур,01.11.3,2021.0,0.2336448598130841
Выращивание семян масличных культур,01.11.3,2023.0,0.11801242236024845
Выращивание семян масличных культур,01.11.3,2024.0,0.0784313725490196
Выращивание семян подсолнечника,01.11.31,2021.0,
Выращивание семян подсолнечника,01.11.31,2023.0,
Выращивание семян подсолнечника,01.11.31,2024.0,
Выращивание семян соевых бобов,01.11.33,2021.0,0.2
Выращивание семян соевых бобов,01.11.33,2023.0,0.4
Выращивание семян соевых бобов,01.11.33,2024.0,0.5
Выращивание риса,01.12,2021.0,0.2
Выращивание риса,01.12,2023.0,0.25
Выращивание риса,01.12,2024.0,0.18181818181818182
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021.0,0.40540540540540543
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023.0,0.268
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024.0,0.1259259259259259
Выращивание овощей,01.13.1,2021.0,0.4306569343065693
Выращивание овощей,01.13.1,2023.0,0.2827586206896552
Выращивание овощей,01.13.1,2024.0,0.13194444444444445
Выращивание овощей открытого грунта,01.13.11,2021.0,1.0
Выращивание овощей открытого грунта,01.13.11,2023.0,0.3333333333333333
Выращивание овощей открытого грунта,01.13.11,2024.0,
Выращивание овощей защищенного грунта,01.13.12,2021.0,0.2727272727272727
Выращивание овощей защищенного грунта,01.13.12,2023.0,0.36363636363636365
