sector,okved2,year,pPCusage_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019.0,0.9988839285714286
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021.0,0.9995255041518387
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022.0,0.9990062111801242
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023.0,0.9841114641896846
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024.0,0.9755796743956586
Выращивание однолетних культур,01.1,2019.0,1.0
Выращивание однолетних культур,01.1,2021.0,0.9986798679867986
Выращивание однолетних культур,01.1,2022.0,0.9986320109439124
Выращивание однолетних культур,01.1,2023.0,0.9855072463768116
Выращивание однолетних культур,01.1,2024.0,1.0173299101412068
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021.0,0.9991902834008097
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2022.0,0.9991603694374476
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023.0,0.9850980392156863
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024.0,1.0307692307692307
Выращивание зерновых культур,01.11.1,2021.0,1.0
Выращивание зерновых культур,01.11.1,2022.0,1.0
Выращивание зерновых культур,01.11.1,2023.0,0.9897854954034729
Выращивание зерновых культур,01.11.1,2024.0,1.0591966173361522
Выращивание пшеницы,01.11.11,2021.0,1.0
Выращивание пшеницы,01.11.11,2022.0,1.0
Выращивание пшеницы,01.11.11,2023.0,0.875
Выращивание пшеницы,01.11.11,2024.0,0.8125
Выращивание ячменя,01.11.12,2023.0,
Выращивание кукурузы,01.11.14,2021.0,1.0
Выращивание кукурузы,01.11.14,2022.0,
Выращивание кукурузы,01.11.14,2023.0,
Выращивание кукурузы,01.11.14,2024.0,1.0
Выращивание овса,01.11.15,2023.0,1.0
Выращивание овса,01.11.15,2024.0,
Выращивание прочих зерновых культур,01.11.19,2021.0,1.0
Выращивание прочих зерновых культур,01.11.19,2022.0,
Выращивание прочих зерновых культур,01.11.19,2023.0,
Выращивание прочих зерновых культур,01.11.19,2024.0,
Выращивание зернобобовых культур,01.11.2,2021.0,1.0
