sector,okved2,year,pinetusage_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019.0,0.9915178571428571
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021.0,0.9459074733096086
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022.0,0.9580124223602484
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023.0,0.9870447323392814
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024.0,0.9669462259496794
Выращивание однолетних культур,01.1,2019.0,0.989084293511219
Выращивание однолетних культур,01.1,2021.0,0.9498349834983498
Выращивание однолетних культур,01.1,2022.0,0.9562243502051984
Выращивание однолетних культур,01.1,2023.0,0.9905482041587902
Выращивание однолетних культур,01.1,2024.0,0.9672657252888318
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021.0,0.9465587044534413
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2022.0,0.9521410579345088
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023.0,0.9913725490196078
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024.0,0.9676113360323887
Выращивание зерновых культур,01.11.1,2021.0,0.9515151515151515
Выращивание зерновых культур,01.11.1,2022.0,0.9531914893617022
Выращивание зерновых культур,01.11.1,2023.0,0.992849846782431
Выращивание зерновых культур,01.11.1,2024.0,0.9746300211416491
Выращивание пшеницы,01.11.11,2021.0,0.9368421052631579
Выращивание пшеницы,01.11.11,2022.0,0.9367088607594937
Выращивание пшеницы,01.11.11,2023.0,0.875
Выращивание пшеницы,01.11.11,2024.0,1.0
Выращивание ячменя,01.11.12,2023.0,
Выращивание кукурузы,01.11.14,2021.0,1.0
Выращивание кукурузы,01.11.14,2022.0,
Выращивание кукурузы,01.11.14,2023.0,
Выращивание кукурузы,01.11.14,2024.0,0.5
Выращивание овса,01.11.15,2023.0,1.0
Выращивание овса,01.11.15,2024.0,
Выращивание прочих зерновых культур,01.11.19,2021.0,1.0
Выращивание прочих зерновых культур,01.11.19,2022.0,
Выращивание прочих зерновых культур,01.11.19,2023.0,
Выращивание прочих зерновых культур,01.11.19,2024.0,
Выращивание зернобобовых культур,01.11.2,2021.0,0.9761904761904762
Выращивание зернобобовых культур,01.11.2,2022.0,0.9696969696969697
Выращивание зернобобовых культур,01.11.2,2023.0,1.0
Выращивание зернобобовых культур,01.11.2,2024.0,0.9565217391304348
Выращивание семян масличных культур,01.11.3,2021.0,0.9626168224299065
Выращивание семян масличных культур,01.11.3,2022.0,0.9852941176470589
Выращивание семян масличных культур,01.11.3,2023.0,0.9937888198757764
Выращивание семян масличных культур,01.11.3,2024.0,0.9738562091503268
Выращивание семян подсолнечника,01.11.31,2021.0,1.0
Выращивание семян подсолнечника,01.11.31,2023.0,
Выращивание семян подсолнечника,01.11.31,2024.0,1.0
Выращивание семян соевых бобов,01.11.33,2021.0,1.0
Выращивание семян соевых бобов,01.11.33,2022.0,1.0
Выращивание семян соевых бобов,01.11.33,2023.0,1.0
Выращивание семян соевых бобов,01.11.33,2024.0,1.0
Выращивание риса,01.12,2021.0,1.0
Выращивание риса,01.12,2022.0,1.0
Выращивание риса,01.12,2023.0,1.0
Выращивание риса,01.12,2024.0,1.0
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021.0,0.9684684684684685
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2022.0,0.9724770642201835
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023.0,0.992
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024.0,0.9666666666666667
Выращивание овощей,01.13.1,2021.0,0.9781021897810219
Выращивание овощей,01.13.1,2022.0,0.9769230769230769
Выращивание овощей,01.13.1,2023.0,0.993103448275862
Выращивание овощей,01.13.1,2024.0,0.9652777777777778
Выращивание овощей открытого грунта,01.13.11,2021.0,1.0
Выращивание овощей открытого грунта,01.13.11,2022.0,0.5
Выращивание овощей открытого грунта,01.13.11,2023.0,1.0
Выращивание овощей открытого грунта,01.13.11,2024.0,1.0
Выращивание овощей защищенного грунта,01.13.12,2021.0,1.0
Выращивание овощей защищенного грунта,01.13.12,2022.0,1.0
Выращивание овощей защищенного грунта,01.13.12,2023.0,1.0
Выращивание овощей защищенного грунта,01.13.12,2024.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2021.0,0.9534883720930233
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2022.0,0.9444444444444444
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2023.0,1.0
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024.0,0.9545454545454546
Выращивание картофеля,01.13.31,2021.0,1.0
Выращивание картофеля,01.13.31,2022.0,1.0
Выращивание картофеля,01.13.31,2023.0,
Выращивание картофеля,01.13.31,2024.0,1.0
Выращивание прочих столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.39,2024.0,1.0
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2021.0,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2022.0,0.5
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2023.0,1.0
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2024.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2021.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2022.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2023.0,0.9743589743589743
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2024.0,0.9827586206896551
Выращивание сахарной свеклы,01.13.51,2021.0,1.0
Выращивание сахарной свеклы,01.13.51,2022.0,1.0
Выращивание сахарной свеклы,01.13.51,2023.0,0.75
Выращивание сахарной свеклы,01.13.51,2024.0,0.75
Выращивание семян сахарной свеклы,01.13.52,2023.0,
Выращивание грибов и трюфелей,01.13.6,2021.0,1.0
Выращивание грибов и трюфелей,01.13.6,2022.0,1.0
Выращивание грибов и трюфелей,01.13.6,2023.0,1.0
Выращивание грибов и трюфелей,01.13.6,2024.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2022.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2023.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2024.0,1.0
Выращивание волокнистых прядильных культур,01.16,2021.0,0.5
Выращивание волокнистых прядильных культур,01.16,2022.0,
Выращивание волокнистых прядильных культур,01.16,2023.0,1.0
Выращивание волокнистых прядильных культур,01.16,2024.0,1.0
Выращивание льна,01.16.2,2021.0,
Выращивание льна,01.16.2,2022.0,
Выращивание льна,01.16.2,2023.0,1.0
Выращивание обыкновенной конопли,01.16.3,2023.0,1.0
Выращивание обыкновенной конопли,01.16.3,2024.0,1.0
Выращивание прочих однолетних культур,01.19,2021.0,0.9512195121951219
Выращивание прочих однолетних культур,01.19,2022.0,0.9722222222222222
Выращивание прочих однолетних культур,01.19,2023.0,0.9555555555555556
Выращивание прочих однолетних культур,01.19,2024.0,0.9473684210526315
Выращивание однолетних кормовых культур,01.19.1,2021.0,0.9333333333333333
Выращивание однолетних кормовых культур,01.19.1,2022.0,0.9090909090909091
Выращивание однолетних кормовых культур,01.19.1,2023.0,0.9
Выращивание однолетних кормовых культур,01.19.1,2024.0,0.875
Цветоводство,01.19.2,2021.0,0.9565217391304348
Цветоводство,01.19.2,2022.0,1.0
Цветоводство,01.19.2,2023.0,0.9655172413793104
Цветоводство,01.19.2,2024.0,0.9583333333333334
Выращивание цветов в открытом и защищенном грунте,01.19.21,2021.0,1.0
Выращивание цветов в открытом и защищенном грунте,01.19.21,2022.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2023.0,0.5
Выращивание цветов в открытом и защищенном грунте,01.19.21,2024.0,1.0
Выращивание семян свеклы (кроме семян сахарной свеклы) и семян кормовых культур,01.19.3,2023.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2021.0,1.0
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2022.0,1.0
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2023.0,1.0
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2024.0,1.0
Выращивание многолетних культур,01.2,2019.0,1.0
Выращивание многолетних культур,01.2,2021.0,0.9310344827586207
Выращивание многолетних культур,01.2,2022.0,0.9357798165137615
Выращивание многолетних культур,01.2,2023.0,0.9801980198019802
Выращивание многолетних культур,01.2,2024.0,0.9487179487179487
Выращивание винограда,01.21,2021.0,0.9574468085106383
Выращивание винограда,01.21,2022.0,0.975
Выращивание винограда,01.21,2023.0,1.0
Выращивание винограда,01.21,2024.0,0.9387755102040817
Выращивание тропических и субтропических культур,01.22,2021.0,
Выращивание тропических и субтропических культур,01.22,2022.0,
Выращивание цитрусовых культур,01.23,2023.0,1.0
Выращивание семечковых и косточковых культур,01.24,2021.0,0.9166666666666666
Выращивание семечковых и косточковых культур,01.24,2022.0,0.8918918918918919
