region,okato,year,researchers_r
Центральный федеральный округ,030,2016,372293.0
Центральный федеральный округ,030,2017,362463.0
Центральный федеральный округ,030,2018,341909.0
Центральный федеральный округ,030,2019,342057.0
Центральный федеральный округ,030,2020,345756.0
Центральный федеральный округ,030,2021,335117.0
Центральный федеральный округ,030,2022,340001.0
Центральный федеральный округ,030,2023,337939.0
Центральный федеральный округ,030,2024,342423.0
Северо-Западный федеральный округ,031,2016,95118.0
Северо-Западный федеральный округ,031,2017,94525.0
Северо-Западный федеральный округ,031,2018,91658.0
Северо-Западный федеральный округ,031,2019,91422.0
Северо-Западный федеральный округ,031,2020,87411.0
Северо-Западный федеральный округ,031,2021,85448.0
Северо-Западный федеральный округ,031,2022,85082.0
Северо-Западный федеральный округ,031,2023,86493.0
Северо-Западный федеральный округ,031,2024,86107.0
Приволжский федеральный округ,033,2016,104304.0
Приволжский федеральный округ,033,2017,104885.0
Приволжский федеральный округ,033,2018,104916.0
Приволжский федеральный округ,033,2019,105145.0
Приволжский федеральный округ,033,2020,101929.0
Приволжский федеральный округ,033,2021,101015.0
Приволжский федеральный округ,033,2022,101439.0
Приволжский федеральный округ,033,2023,103041.0
Приволжский федеральный округ,033,2024,105632.0
Уральский федеральный округ,034,2016,46437.0
Уральский федеральный округ,034,2017,45268.0
Уральский федеральный округ,034,2018,44044.0
Уральский федеральный округ,034,2019,44920.0
Уральский федеральный округ,034,2020,44486.0
Уральский федеральный округ,034,2021,43195.0
Уральский федеральный округ,034,2022,45743.0
Уральский федеральный округ,034,2023,44375.0
Уральский федеральный округ,034,2024,44276.0
Северо-Кавказский федеральный округ,038,2016,7655.0
Северо-Кавказский федеральный округ,038,2017,7237.0
Северо-Кавказский федеральный округ,038,2018,7024.0
Северо-Кавказский федеральный округ,038,2019,6745.0
Северо-Кавказский федеральный округ,038,2020,6816.0
Северо-Кавказский федеральный округ,038,2021,6640.0
Северо-Кавказский федеральный округ,038,2022,6461.0
Северо-Кавказский федеральный округ,038,2023,6724.0
Северо-Кавказский федеральный округ,038,2024,6478.0
Южный федеральный округ,040,2016,28011.0
Южный федеральный округ,040,2017,26922.0
Южный федеральный округ,040,2018,26431.0
Южный федеральный округ,040,2019,26713.0
Южный федеральный округ,040,2020,26716.0
Южный федеральный округ,040,2021,26152.0
Южный федеральный округ,040,2022,26376.0
Южный федеральный округ,040,2023,26453.0
Южный федеральный округ,040,2024,26646.0
Сибирский федеральный округ,041,2016,55281.0
Сибирский федеральный округ,041,2017,53986.0
Сибирский федеральный округ,041,2018,52450.0
Сибирский федеральный округ,041,2019,51577.0
Сибирский федеральный округ,041,2020,52304.0
Сибирский федеральный округ,041,2021,51748.0
Сибирский федеральный округ,041,2022,51129.0
Сибирский федеральный округ,041,2023,52411.0
Сибирский федеральный округ,041,2024,51933.0
Дальневосточный федеральный округ,042,2016,4779.0
Дальневосточный федеральный округ,042,2017,4651.0
Дальневосточный федеральный округ,042,2018,14148.0
Дальневосточный федеральный округ,042,2019,13885.0
Дальневосточный федеральный округ,042,2020,13915.0
