sector,okved2,year,researchers_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2018,402.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019,360.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2020,520.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021,469.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022,434.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023,301.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024,420.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2025,371.0
Выращивание однолетних культур,01.1,2024,71.0
Выращивание однолетних культур,01.1,2025,48.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024,190.0
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2025,176.0
Предоставление услуг в области растениеводства,01.61,2024,145.0
Предоставление услуг в области растениеводства,01.61,2025,132.0
Добыча нефти и природного газа,06,2020,432.0
Предоставление услуг в области добычи полезных ископаемых,09,2019,39.0
Предоставление услуг в области добычи полезных ископаемых,09,2020,36.0
Предоставление услуг в области добычи полезных ископаемых,09,2021,116.0
Предоставление услуг в области добычи полезных ископаемых,09,2022,74.0
Предоставление услуг в области добычи полезных ископаемых,09,2023,100.0
Предоставление услуг в области добычи полезных ископаемых,09,2024,75.0
Предоставление услуг в области добычи полезных ископаемых,09,2025,104.0
Предоставление услуг в области добычи нефти и природного газа,09.10,2024,75.0
Предоставление услуг в области добычи нефти и природного газа,09.10,2025,104.0
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2025,93.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",1,2017,685.0
Производство пищевых продуктов,10,2017,187.0
Производство пищевых продуктов,10,2018,79.0
Производство пищевых продуктов,10,2019,201.0
Производство пищевых продуктов,10,2020,194.0
Производство пищевых продуктов,10,2021,226.0
Производство пищевых продуктов,10,2022,279.0
Производство пищевых продуктов,10,2023,186.0
Производство пищевых продуктов,10,2024,281.0
Производство пищевых продуктов,10,2025,184.0
Производство прочих пищевых продуктов,10.8,2024,226.0
Производство прочих пищевых продуктов,10.8,2025,155.0
"Производство прочих пищевых продуктов, не включенных в другие группировки",10.89,2024,226.0
"Производство прочих пищевых продуктов, не включенных в другие группировки",10.89,2025,133.0
Производство биологически активных добавок к пище,10.89.8,2020,49.0
Производство биологически активных добавок к пище,10.89.8,2021,53.0
"Производство прочих продуктов питания, не включенных в другие группировки",10.89.9,2024,6.0
"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов",10.91.3,2021,32.0
Всего по обследуемым видам экономической деятельности,101.АГ,2017,707887.0
Всего по обследуемым видам экономической деятельности,101.АГ,2018,682580.0
Всего по обследуемым видам экономической деятельности,101.АГ,2019,682464.0
Всего по обследуемым видам экономической деятельности,101.АГ,2020,679333.0
Всего по обследуемым видам экономической деятельности,101.АГ,2021,662702.0
Всего по обследуемым видам экономической деятельности,101.АГ,2022,669870.0
Всего по обследуемым видам экономической деятельности,101.АГ,2023,670614.0
Всего по обследуемым видам экономической деятельности,101.АГ,2024,675696.0
Всего по обследуемым видам экономической деятельности,101.АГ,2025,673639.0
Промышленное производство (промышленность),102.АГ,2017,71342.0
Промышленное производство (промышленность),102.АГ,2018,70268.0
Производство напитков,11,2017,5.0
Производство напитков,11,2020,2.0
"Перегонка, очистка и смешивание спиртов",11.01,2018,5.0
"Перегонка, очистка и смешивание спиртов",11.01,2020,2.0
Производство текстильных изделий,13,2017,15.0
Производство текстильных изделий,13,2018,59.0
Производство текстильных изделий,13,2019,60.0
Производство текстильных изделий,13,2020,84.0
Производство текстильных изделий,13,2021,268.0
Производство текстильных изделий,13,2022,263.0
Производство текстильных изделий,13,2023,230.0
Производство текстильных изделий,13,2024,193.0
Производство текстильных изделий,13,2025,36.0
Производство текстильных тканей,13.20,2020,5.0
Производство прочих текстильных изделий,13.9,2024,151.0
