region,okato,year,researchersavg_r
Центральный федеральный округ,030,2018,309344.0
Центральный федеральный округ,030,2019,314347.0
Центральный федеральный округ,030,2020,316198.6
Центральный федеральный округ,030,2021,307673.9
Центральный федеральный округ,030,2022,311646.9
Центральный федеральный округ,030,2023,308126.2
Центральный федеральный округ,030,2024,309233.5
Северо-Западный федеральный округ,031,2018,81489.0
Северо-Западный федеральный округ,031,2019,80060.0
Северо-Западный федеральный округ,031,2020,79143.1
Северо-Западный федеральный округ,031,2021,77525.1
Северо-Западный федеральный округ,031,2022,72854.9
Северо-Западный федеральный округ,031,2023,71776.4
Северо-Западный федеральный округ,031,2024,73498.8
Приволжский федеральный округ,033,2018,94339.0
Приволжский федеральный округ,033,2019,95155.0
Приволжский федеральный округ,033,2020,90857.7
Приволжский федеральный округ,033,2021,89924.3
Приволжский федеральный округ,033,2022,89260.5
Приволжский федеральный округ,033,2023,91658.4
Приволжский федеральный округ,033,2024,94401.0
Уральский федеральный округ,034,2018,37600.0
Уральский федеральный округ,034,2019,42053.0
Уральский федеральный округ,034,2020,40066.4
Уральский федеральный округ,034,2021,38851.1
Уральский федеральный округ,034,2022,40316.2
Уральский федеральный округ,034,2023,39531.0
Уральский федеральный округ,034,2024,39233.4
Северо-Кавказский федеральный округ,038,2018,6162.0
Северо-Кавказский федеральный округ,038,2019,6015.0
Северо-Кавказский федеральный округ,038,2020,6065.9
Северо-Кавказский федеральный округ,038,2021,5944.4
Северо-Кавказский федеральный округ,038,2022,5831.7
Северо-Кавказский федеральный округ,038,2023,6156.1
Северо-Кавказский федеральный округ,038,2024,5888.5
Южный федеральный округ,040,2018,24509.0
Южный федеральный округ,040,2019,24547.0
Южный федеральный округ,040,2020,24031.4
Южный федеральный округ,040,2021,22783.7
Южный федеральный округ,040,2022,21800.0
Южный федеральный округ,040,2023,22169.7
Южный федеральный округ,040,2024,23006.5
Сибирский федеральный округ,041,2018,45170.0
Сибирский федеральный округ,041,2019,44719.0
Сибирский федеральный округ,041,2020,44626.8
Сибирский федеральный округ,041,2021,44673.4
Сибирский федеральный округ,041,2022,44090.8
Сибирский федеральный округ,041,2023,44524.7
Сибирский федеральный округ,041,2024,44377.5
Дальневосточный федеральный округ,042,2018,11609.0
Дальневосточный федеральный округ,042,2019,11962.0
Дальневосточный федеральный округ,042,2020,11845.1
Дальневосточный федеральный округ,042,2021,11869.4
Дальневосточный федеральный округ,042,2022,11433.6
Дальневосточный федеральный округ,042,2023,10994.3
Дальневосточный федеральный округ,042,2024,10115.0
Алтайский край,1,2018,1820.0
Алтайский край,1,2019,1763.0
Алтайский край,1,2020,2141.1
Алтайский край,1,2021,1999.1
Алтайский край,1,2022,2304.9
Алтайский край,1,2023,2119.4
Алтайский край,1,2024,1918.7
Амурская область,10,2018,488.0
Амурская область,10,2019,489.0
Амурская область,10,2020,475.2
Амурская область,10,2021,514.9
Амурская область,10,2022,572.9
Амурская область,10,2023,571.4
Амурская область,10,2024,604.7
Архангельская область,11,2018,917.0
Архангельская область,11,2019,909.0
Архангельская область,11,2020,919.3
Архангельская область,11,2021,921.4
Архангельская область,11,2022,928.2
Архангельская область,11,2023,935.4
Архангельская область,11,2024,912.3
Архангельская область (кроме Ненецкого автономного округа),11001,2018,895.0
Архангельская область (кроме Ненецкого автономного округа),11001,2019,890.0
Архангельская область (кроме Ненецкого автономного округа),11001,2020,26.3
Архангельская область (кроме Ненецкого автономного округа),11001,2021,896.3
Архангельская область (кроме Ненецкого автономного округа),11001,2022,902.9
Архангельская область (кроме Ненецкого автономного округа),11001,2023,907.7
Архангельская область (кроме Ненецкого автономного округа),11001,2024,890.6
Ненецкий автономный округ (Архангельская область),111,2018,22.0
Ненецкий автономный округ (Архангельская область),111,2019,19.0
Ненецкий автономный округ (Архангельская область),111,2020,893.0
Ненецкий автономный округ (Архангельская область),111,2021,25.1
Ненецкий автономный округ (Архангельская область),111,2022,25.3
Ненецкий автономный округ (Архангельская область),111,2023,27.7
Ненецкий автономный округ (Архангельская область),111,2024,21.7
Астраханская область,12,2018,591.0
Астраханская область,12,2019,794.0
Астраханская область,12,2020,642.1
Астраханская область,12,2021,709.5
Астраханская область,12,2022,652.9
Астраханская область,12,2023,673.5
Астраханская область,12,2024,761.6
Белгородская область,14,2018,1374.0
Белгородская область,14,2019,1456.0
Белгородская область,14,2020,1366.2
Белгородская область,14,2021,1354.8
Белгородская область,14,2022,1327.6
Белгородская область,14,2023,1218.5
Белгородская область,14,2024,1038.2
Брянская область,15,2018,639.0
