region,okato,year,researchorg_r
Центральный федеральный округ,030,2018,1440
Центральный федеральный округ,030,2019,1465
Центральный федеральный округ,030,2020,1579
Центральный федеральный округ,030,2021,1583
Центральный федеральный округ,030,2022,1558
Центральный федеральный округ,030,2023,1543
Центральный федеральный округ,030,2024,1571
Северо-Западный федеральный округ,031,2018,483
Северо-Западный федеральный округ,031,2019,521
Северо-Западный федеральный округ,031,2020,514
Северо-Западный федеральный округ,031,2021,541
Северо-Западный федеральный округ,031,2022,556
Северо-Западный федеральный округ,031,2023,550
Северо-Западный федеральный округ,031,2024,551
Приволжский федеральный округ,033,2018,665
Приволжский федеральный округ,033,2019,690
Приволжский федеральный округ,033,2020,690
Приволжский федеральный округ,033,2021,678
Приволжский федеральный округ,033,2022,680
Приволжский федеральный округ,033,2023,661
Приволжский федеральный округ,033,2024,664
Уральский федеральный округ,034,2018,248
Уральский федеральный округ,034,2019,255
Уральский федеральный округ,034,2020,262
Уральский федеральный округ,034,2021,254
Уральский федеральный округ,034,2022,274
Уральский федеральный округ,034,2023,267
Уральский федеральный округ,034,2024,276
Северо-Кавказский федеральный округ,038,2018,153
Северо-Кавказский федеральный округ,038,2019,149
Северо-Кавказский федеральный округ,038,2020,147
Северо-Кавказский федеральный округ,038,2021,143
Северо-Кавказский федеральный округ,038,2022,138
Северо-Кавказский федеральный округ,038,2023,136
Северо-Кавказский федеральный округ,038,2024,137
Южный федеральный округ,040,2018,297
Южный федеральный округ,040,2019,317
Южный федеральный округ,040,2020,329
Южный федеральный округ,040,2021,319
Южный федеральный округ,040,2022,333
Южный федеральный округ,040,2023,323
Южный федеральный округ,040,2024,322
Сибирский федеральный округ,041,2018,448
Сибирский федеральный округ,041,2019,430
Сибирский федеральный округ,041,2020,419
Сибирский федеральный округ,041,2021,423
Сибирский федеральный округ,041,2022,428
Сибирский федеральный округ,041,2023,418
Сибирский федеральный округ,041,2024,409
Дальневосточный федеральный округ,042,2018,216
Дальневосточный федеральный округ,042,2019,224
Дальневосточный федеральный округ,042,2020,235
Дальневосточный федеральный округ,042,2021,234
Дальневосточный федеральный округ,042,2022,228
Дальневосточный федеральный округ,042,2023,227
Дальневосточный федеральный округ,042,2024,227
Алтайский край,1,2018,35
Алтайский край,1,2019,37
Алтайский край,1,2020,36
Алтайский край,1,2021,40
Алтайский край,1,2022,42
Алтайский край,1,2023,41
Алтайский край,1,2024,39
Амурская область,10,2018,18
Амурская область,10,2019,17
Амурская область,10,2020,15
Амурская область,10,2021,16
Амурская область,10,2022,15
Амурская область,10,2023,16
Амурская область,10,2024,15
Архангельская область,11,2018,36
Архангельская область,11,2019,36
Архангельская область,11,2020,34
Архангельская область,11,2021,32
Архангельская область,11,2022,31
Архангельская область,11,2023,33
Архангельская область,11,2024,29
Архангельская область (кроме Ненецкого автономного округа),11001,2018,32
Архангельская область (кроме Ненецкого автономного округа),11001,2019,32
Архангельская область (кроме Ненецкого автономного округа),11001,2020,3
Архангельская область (кроме Ненецкого автономного округа),11001,2021,29
Архангельская область (кроме Ненецкого автономного округа),11001,2022,28
Архангельская область (кроме Ненецкого автономного округа),11001,2023,30
Архангельская область (кроме Ненецкого автономного округа),11001,2024,26
Ненецкий автономный округ (Архангельская область),111,2018,4
Ненецкий автономный округ (Архангельская область),111,2019,4
Ненецкий автономный округ (Архангельская область),111,2020,31
Ненецкий автономный округ (Архангельская область),111,2021,3
Ненецкий автономный округ (Архангельская область),111,2022,3
Ненецкий автономный округ (Архангельская область),111,2023,3
Ненецкий автономный округ (Архангельская область),111,2024,3
Астраханская область,12,2018,23
Астраханская область,12,2019,25
Астраханская область,12,2020,25
Астраханская область,12,2021,24
Астраханская область,12,2022,23
Астраханская область,12,2023,23
Астраханская область,12,2024,25
Белгородская область,14,2018,24
Белгородская область,14,2019,27
Белгородская область,14,2020,28
Белгородская область,14,2021,31
Белгородская область,14,2022,31
Белгородская область,14,2023,29
Белгородская область,14,2024,28
Брянская область,15,2018,19
Брянская область,15,2019,19
Брянская область,15,2020,19
Брянская область,15,2021,18
Брянская область,15,2022,18
Брянская область,15,2023,19
Брянская область,15,2024,18
Владимирская область,17,2018,27
Владимирская область,17,2019,31
Владимирская область,17,2020,32
Владимирская область,17,2021,29
Владимирская область,17,2022,30
Владимирская область,17,2023,31
Владимирская область,17,2024,28
Волгоградская область,18,2018,43
Волгоградская область,18,2019,43
Волгоградская область,18,2020,50
Волгоградская область,18,2021,48
Волгоградская область,18,2022,53
Волгоградская область,18,2023,52
Волгоградская область,18,2024,51
Вологодская область,19,2018,19
Вологодская область,19,2019,20
Вологодская область,19,2020,18
Вологодская область,19,2021,18
Вологодская область,19,2022,18
Вологодская область,19,2023,17
Вологодская область,19,2024,16
Воронежская область,20,2018,69
Воронежская область,20,2019,70
Воронежская область,20,2020,71
Воронежская область,20,2021,74
Воронежская область,20,2022,66
Воронежская область,20,2023,63
Воронежская область,20,2024,63
Нижегородская область,22,2018,90
Нижегородская область,22,2019,96
Нижегородская область,22,2020,102
Нижегородская область,22,2021,94
Нижегородская область,22,2022,99
Нижегородская область,22,2023,90
Нижегородская область,22,2024,90
Ивановская область,24,2018,24
Ивановская область,24,2019,24
Ивановская область,24,2020,25
Ивановская область,24,2021,22
Ивановская область,24,2022,20
Ивановская область,24,2023,21
Ивановская область,24,2024,21
Иркутская область,25,2018,46
Иркутская область,25,2019,44
Иркутская область,25,2020,43
Иркутская область,25,2021,43
Иркутская область,25,2022,47
Иркутская область,25,2023,44
Иркутская область,25,2024,42
Республика Ингушетия,26,2018,6
Республика Ингушетия,26,2019,6
Республика Ингушетия,26,2020,5
Республика Ингушетия,26,2021,6
Республика Ингушетия,26,2022,7
Республика Ингушетия,26,2023,6
Республика Ингушетия,26,2024,6
Калининградская область,27,2018,13
Калининградская область,27,2019,15
Калининградская область,27,2020,18
Калининградская область,27,2021,17
Калининградская область,27,2022,18
Калининградская область,27,2023,18
Калининградская область,27,2024,17
Тверская область,28,2018,33
Тверская область,28,2019,32
Тверская область,28,2020,36
Тверская область,28,2021,33
Тверская область,28,2022,30
Тверская область,28,2023,29
Тверская область,28,2024,30
Калужская область,29,2018,43
Калужская область,29,2019,44
Калужская область,29,2020,46
Калужская область,29,2021,45
Калужская область,29,2022,51
Калужская область,29,2023,46
Калужская область,29,2024,46
Краснодарский край,3,2018,100
Краснодарский край,3,2019,106
Краснодарский край,3,2020,107
Краснодарский край,3,2021,105
Краснодарский край,3,2022,107
Краснодарский край,3,2023,105
Краснодарский край,3,2024,103
Камчатский край,30,2018,17
Камчатский край,30,2019,17
Камчатский край,30,2020,16
Камчатский край,30,2021,16
Камчатский край,30,2022,15
Камчатский край,30,2023,15
Камчатский край,30,2024,15
Кемеровская область - Кузбасс,32,2018,30
Кемеровская область - Кузбасс,32,2019,30
Кемеровская область - Кузбасс,32,2020,28
Кемеровская область - Кузбасс,32,2021,29
Кемеровская область - Кузбасс,32,2022,31
Кемеровская область - Кузбасс,32,2023,30
Кемеровская область - Кузбасс,32,2024,29
Кировская область,33,2018,24
Кировская область,33,2019,25
Кировская область,33,2020,25
Кировская область,33,2021,25
Кировская область,33,2022,23
Кировская область,33,2023,23
Кировская область,33,2024,23
Костромская область,34,2018,8
Костромская область,34,2019,7
Костромская область,34,2020,6
Костромская область,34,2021,7
Костромская область,34,2022,9
Костромская область,34,2023,8
Костромская область,34,2024,8
Самарская область,36,2018,60
Самарская область,36,2019,62
Самарская область,36,2020,57
Самарская область,36,2021,55
Самарская область,36,2022,60
Самарская область,36,2023,55
Самарская область,36,2024,51
Курганская область,37,2018,11
Курганская область,37,2019,10
Курганская область,37,2020,11
Курганская область,37,2021,11
Курганская область,37,2022,12
Курганская область,37,2023,10
Курганская область,37,2024,10
Курская область,38,2018,17
Курская область,38,2019,18
Курская область,38,2020,19
Курская область,38,2021,21
Курская область,38,2022,20
Курская область,38,2023,20
Курская область,38,2024,19
Красноярский край,4,2018,78
Красноярский край,4,2019,70
Красноярский край,4,2020,71
Красноярский край,4,2021,70
Красноярский край,4,2022,71
Красноярский край,4,2023,70
Красноярский край,4,2024,71
Город Санкт-Петербург город федерального значения,40,2018,294
Город Санкт-Петербург город федерального значения,40,2019,317
Город Санкт-Петербург город федерального значения,40,2020,320
Город Санкт-Петербург город федерального значения,40,2021,343
Город Санкт-Петербург город федерального значения,40,2022,363
Город Санкт-Петербург город федерального значения,40,2023,358
Город Санкт-Петербург город федерального значения,40,2024,366
Ленинградская область,41,2018,11
Ленинградская область,41,2019,16
Ленинградская область,41,2020,15
Ленинградская область,41,2021,23
Ленинградская область,41,2022,19
Ленинградская область,41,2023,20
Ленинградская область,41,2024,18
Липецкая область,42,2018,21
Липецкая область,42,2019,23
Липецкая область,42,2020,22
Липецкая область,42,2021,19
Липецкая область,42,2022,17
Липецкая область,42,2023,17
Липецкая область,42,2024,17
Магаданская область,44,2018,11
Магаданская область,44,2019,10
Магаданская область,44,2020,10
Магаданская область,44,2021,10
Магаданская область,44,2022,10
Магаданская область,44,2023,10
Магаданская область,44,2024,10
Город Москва столица Российской Федерации город федерального значения,45,2018,715
Город Москва столица Российской Федерации город федерального значения,45,2019,738
Город Москва столица Российской Федерации город федерального значения,45,2020,834
Город Москва столица Российской Федерации город федерального значения,45,2021,851
Город Москва столица Российской Федерации город федерального значения,45,2022,825
Город Москва столица Российской Федерации город федерального значения,45,2023,840
Город Москва столица Российской Федерации город федерального значения,45,2024,880
Московская область,46,2018,266
Московская область,46,2019,252
Московская область,46,2020,265
Московская область,46,2021,259
Московская область,46,2022,268
Московская область,46,2023,259
Московская область,46,2024,261
Мурманская область,47,2018,29
Мурманская область,47,2019,34
Мурманская область,47,2020,35
Мурманская область,47,2021,36
Мурманская область,47,2022,37
Мурманская область,47,2023,33
Мурманская область,47,2024,32
Новгородская область,49,2018,19
Новгородская область,49,2019,19
Новгородская область,49,2020,17
Новгородская область,49,2021,14
Новгородская область,49,2022,15
Новгородская область,49,2023,15
Новгородская область,49,2024,16
Приморский край,5,2018,43
Приморский край,5,2019,43
Приморский край,5,2020,48
Приморский край,5,2021,45
Приморский край,5,2022,47
Приморский край,5,2023,42
Приморский край,5,2024,43
Новосибирская область,50,2018,121
Новосибирская область,50,2019,116
Новосибирская область,50,2020,113
Новосибирская область,50,2021,116
Новосибирская область,50,2022,112
Новосибирская область,50,2023,109
Новосибирская область,50,2024,110
Омская область,52,2018,43
Омская область,52,2019,42
Омская область,52,2020,41
Омская область,52,2021,39
Омская область,52,2022,40
Омская область,52,2023,42
Омская область,52,2024,40
Оренбургская область,53,2018,28
Оренбургская область,53,2019,27
Оренбургская область,53,2020,26
Оренбургская область,53,2021,25
Оренбургская область,53,2022,27
Оренбургская область,53,2023,27
Оренбургская область,53,2024,27
Орловская область,54,2018,18
Орловская область,54,2019,19
Орловская область,54,2020,20
Орловская область,54,2021,19
Орловская область,54,2022,18
Орловская область,54,2023,18
Орловская область,54,2024,17
Пензенская область,56,2018,26
Пензенская область,56,2019,30
Пензенская область,56,2020,30
Пензенская область,56,2021,29
Пензенская область,56,2022,26
Пензенская область,56,2023,26
Пензенская область,56,2024,25
Пермский край,57,2018,66
Пермский край,57,2019,67
Пермский край,57,2020,69
Пермский край,57,2021,68
Пермский край,57,2022,66
Пермский край,57,2023,66
Пермский край,57,2024,62
Псковская область,58,2018,12
Псковская область,58,2019,16
Псковская область,58,2020,13
Псковская область,58,2021,13
Псковская область,58,2022,13
Псковская область,58,2023,13
Псковская область,58,2024,13
Ростовская область,60,2018,86
Ростовская область,60,2019,94
Ростовская область,60,2020,94
Ростовская область,60,2021,90
Ростовская область,60,2022,96
Ростовская область,60,2023,90
Ростовская область,60,2024,86
Рязанская область,61,2018,27
