sector,okved2,year,researchorg_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2018,21
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019,23
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2020,25
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021,25
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022,25
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023,18
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024,16
Выращивание однолетних культур,01.1,2024,4
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024,2
Выращивание зерновых культур,01.11.1,2024,2
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024,2
Выращивание овощей,01.13.1,2024,1
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024,1
Животноводство,01.4,2024,2
Разведение свиней,01.46,2024,1
Разведение сельскохозяйственной птицы,01.47,2024,1
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024,1
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024,10
Предоставление услуг в области растениеводства,01.61,2024,8
Деятельность сельскохозяйственная после сбора урожая,01.63,2024,2
Лесоводство и лесозаготовки,02,2018,2
Лесоводство и лесозаготовки,02,2019,2
Лесоводство и лесозаготовки,02,2024,1
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2024,1
Предоставление услуг в области лесоводства,02.40.1,2024,1
Рыболовство и рыбоводство,03,2022,1
Добыча сырой нефти и природного газа,06,2018,2
Добыча нефти и природного газа,06,2019,2
Добыча нефти и природного газа,06,2020,2
Добыча нефти и природного газа,06,2021,1
Добыча прочих полезных ископаемых,08,2023,1
Добыча прочих полезных ископаемых,08,2024,1
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2024,1
"Добыча прочих полезных ископаемых, не включенных в другие группировки",08.99,2024,1
"Добыча драгоценных камней, кварца, слюды, мусковита и т. д.",08.99.3,2024,1
Добыча алмазов,08.99.32,2024,1
Предоставление услуг в области добычи полезных ископаемых,09,2018,1
Предоставление услуг в области добычи полезных ископаемых,09,2019,4
