region,okato,year,trainingcosts_r
Центральный федеральный округ,030,2016,4464.6523
Центральный федеральный округ,030,2017,4519.7065
Центральный федеральный округ,030,2018,3211.2896
Центральный федеральный округ,030,2019,1985.0427
Центральный федеральный округ,030,2020,16705.01
Центральный федеральный округ,030,2021,4731.0405
Центральный федеральный округ,030,2022,10429.625
Центральный федеральный округ,030,2023,6144.6655
Центральный федеральный округ,030,2024,6952.6743
Северо-Западный федеральный округ,031,2016,315.6354
Северо-Западный федеральный округ,031,2017,276.2841
Северо-Западный федеральный округ,031,2018,272.22342
Северо-Западный федеральный округ,031,2019,283.7771
Северо-Западный федеральный округ,031,2020,302.33975
Северо-Западный федеральный округ,031,2021,696.5731
Северо-Западный федеральный округ,031,2022,399.9364
Северо-Западный федеральный округ,031,2023,311.10608
Северо-Западный федеральный округ,031,2024,710.1559
Приволжский федеральный округ,033,2016,706.7857
Приволжский федеральный округ,033,2017,369.6509
Приволжский федеральный округ,033,2018,260.4719
Приволжский федеральный округ,033,2019,317.55582
Приволжский федеральный округ,033,2020,2447.3694
Приволжский федеральный округ,033,2021,661.889
Приволжский федеральный округ,033,2022,358.5146
Приволжский федеральный округ,033,2023,1332.8063
Приволжский федеральный округ,033,2024,574.4848
Уральский федеральный округ,034,2016,472.2957
Уральский федеральный округ,034,2017,776.6196
Уральский федеральный округ,034,2018,191.21829
Уральский федеральный округ,034,2019,140.0616
Уральский федеральный округ,034,2020,139.77487
Уральский федеральный округ,034,2021,259.0459
Уральский федеральный округ,034,2022,249.16641
Уральский федеральный округ,034,2023,361.59442
Уральский федеральный округ,034,2024,295.59958
Северо-Кавказский федеральный округ,038,2016,20.3033
Северо-Кавказский федеральный округ,038,2017,38.432602
Северо-Кавказский федеральный округ,038,2018,19.6927
Северо-Кавказский федеральный округ,038,2019,18.4979
Северо-Кавказский федеральный округ,038,2020,25.200369
Северо-Кавказский федеральный округ,038,2021,33.555103
Северо-Кавказский федеральный округ,038,2022,27.0124
Северо-Кавказский федеральный округ,038,2023,31.774302
Северо-Кавказский федеральный округ,038,2024,41.6839
Южный федеральный округ,040,2016,211.252
Южный федеральный округ,040,2017,244.798
Южный федеральный округ,040,2018,90.3254
Южный федеральный округ,040,2019,1494.482
Южный федеральный округ,040,2020,98.306755
Южный федеральный округ,040,2021,78.7442
Южный федеральный округ,040,2022,119.7202
Южный федеральный округ,040,2023,131.8184
Южный федеральный округ,040,2024,2428.1775
Сибирский федеральный округ,041,2016,165.1501
Сибирский федеральный округ,041,2017,268.3775
Сибирский федеральный округ,041,2018,157.77771
Сибирский федеральный округ,041,2019,174.7785
Сибирский федеральный округ,041,2020,139.99033
Сибирский федеральный округ,041,2021,168.529
Сибирский федеральный округ,041,2022,620.1294
Сибирский федеральный округ,041,2023,244.9134
Сибирский федеральный округ,041,2024,292.2277
Дальневосточный федеральный округ,042,2016,13.199901
Дальневосточный федеральный округ,042,2017,13.3652
Дальневосточный федеральный округ,042,2018,85.1148
Дальневосточный федеральный округ,042,2019,89.9369
Дальневосточный федеральный округ,042,2020,155.74466
Дальневосточный федеральный округ,042,2021,8515.799
Дальневосточный федеральный округ,042,2022,128.0862
Дальневосточный федеральный округ,042,2023,118.0225
Дальневосточный федеральный округ,042,2024,213.2919
Алтайский край,1,2016,2.274
Алтайский край,1,2017,6.4316
Алтайский край,1,2018,6.6116
Алтайский край,1,2019,5.3501
Алтайский край,1,2020,20.8112
Алтайский край,1,2021,5.1572003
Алтайский край,1,2022,7.5358
Алтайский край,1,2023,6.9962
Алтайский край,1,2024,10.196
Амурская область,10,2016,6.2445
Амурская область,10,2017,4.9082003
Амурская область,10,2018,7.1272
Амурская область,10,2019,5.2146
Амурская область,10,2020,3.0421999
Амурская область,10,2021,8.0626
Амурская область,10,2022,5.225
Амурская область,10,2023,3.8794
Амурская область,10,2024,3.8341
Архангельская область,11,2016,39.4367
Архангельская область,11,2017,7.0048
Архангельская область,11,2018,10.644099
Архангельская область,11,2019,6.2985
Архангельская область,11,2020,2.93065
Архангельская область,11,2021,5.805
Архангельская область,11,2022,6.4906
Архангельская область,11,2023,6.5071
Архангельская область,11,2024,8.680201
Архангельская область (кроме Ненецкого автономного округа),11001,2016,37.346
Архангельская область (кроме Ненецкого автономного округа),11001,2017,3.9802
Архангельская область (кроме Ненецкого автономного округа),11001,2018,7.4612
