sector,okved2,year,trainingcosts_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019,30.4382
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021,12.786
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022,25.3658
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023,13.5922
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024,11.4693
Выращивание однолетних культур,01.1,2019,2.2207
Выращивание однолетних культур,01.1,2021,3.0578000000000003
Выращивание однолетних культур,01.1,2022,4.340199999999999
Выращивание однолетних культур,01.1,2023,7.607
Выращивание однолетних культур,01.1,2024,5.3984
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021,2.2838000000000003
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2022,3.8652
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023,6.863899999999999
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024,5.279
Выращивание зерновых культур,01.11.1,2021,1.6832
Выращивание зерновых культур,01.11.1,2022,3.2748000000000004
Выращивание зерновых культур,01.11.1,2023,6.5149
Выращивание зерновых культур,01.11.1,2024,4.902
Выращивание семян масличных культур,01.11.3,2021,0.4305
Выращивание семян масличных культур,01.11.3,2023,0.328
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021,0.774
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2022,0.475
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023,0.7431
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024,0.1194
Выращивание овощей,01.13.1,2021,0.654
Выращивание многолетних культур,01.2,2019,0.7917000000000001
Выращивание многолетних культур,01.2,2021,0.303
Выращивание рассады,01.30,2019,0.0
Животноводство,01.4,2019,15.5769
Животноводство,01.4,2021,4.4386
Животноводство,01.4,2022,16.518900000000002
Животноводство,01.4,2023,5.0441
Животноводство,01.4,2024,3.9965
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021,3.947
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2022,14.002
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023,4.0442
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024,1.1205
Разведение молочного крупного рогатого скота,01.41.1,2021,1.4394
Разведение молочного крупного рогатого скота,01.41.1,2022,0.196
Разведение молочного крупного рогатого скота,01.41.1,2023,0.2102
Разведение молочного крупного рогатого скота,01.41.1,2024,0.318
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021,1.1445999999999998
Разведение племенного молочного крупного рогатого скота,01.41.12,2021,0.2948
Разведение племенного молочного крупного рогатого скота,01.41.12,2022,0.111
Разведение племенного молочного крупного рогатого скота,01.41.12,2023,0.1792
Разведение племенного молочного крупного рогатого скота,01.41.12,2024,0.285
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021,2.488
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2022,13.7911
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023,3.794
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024,0.7905
Производство сырого коровьего молока,01.41.21,2021,2.488
Производство сырого коровьего молока,01.41.21,2022,13.7911
Производство сырого коровьего молока,01.41.21,2023,3.794
Производство сырого коровьего молока,01.41.21,2024,0.7905
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023,0.0559
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023,0.0549
Разведение свиней,01.46,2021,0.2996
Разведение свиней,01.46,2022,2.2209
Разведение свиней,01.46,2023,0.111
Выращивание и разведение свиней,01.46.1,2021,0.2996
Выращивание и разведение свиней,01.46.1,2022,2.2209
Выращивание и разведение свиней,01.46.1,2023,0.111
Выращивание свиней на мясо,01.46.11,2021,0.2996
Выращивание свиней на мясо,01.46.11,2022,2.2209
Выращивание свиней на мясо,01.46.11,2023,0.111
Разведение сельскохозяйственной птицы,01.47,2021,0.182
Разведение сельскохозяйственной птицы,01.47,2022,0.295
Разведение сельскохозяйственной птицы,01.47,2023,0.408
Разведение сельскохозяйственной птицы,01.47,2024,2.776
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024,0.316
Производство яиц сельскохозяйственной птицы,01.47.2,2021,0.11
Производство яиц сельскохозяйственной птицы,01.47.2,2022,0.295
Производство яиц сельскохозяйственной птицы,01.47.2,2024,2.211
Смешанное сельское хозяйство,01.5,2019,0.38
Смешанное сельское хозяйство,01.5,2021,4.356
Смешанное сельское хозяйство,01.5,2022,4.0523
Смешанное сельское хозяйство,01.50,2021,4.356
Смешанное сельское хозяйство,01.50,2022,4.0523
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2019,11.4689
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2021,0.6205
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2022,0.3923
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2023,0.8971
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024,0.5604
Предоставление услуг в области растениеводства,01.61,2021,0.6205
Предоставление услуг в области растениеводства,01.61,2022,0.3923
Предоставление услуг в области растениеводства,01.61,2023,0.8971
Предоставление услуг в области растениеводства,01.61,2024,0.5604
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2019,0.0
" Лесное хозяйство,лесозаготовки и предоставление услуг в этих областях",02,2016,2.3231
