region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Северо-Кавказский федеральный округ,038,2020,0.34661899847800015,0.21213734947669188,0.10216342600293846,0.33412934425133883
Северо-Кавказский федеральный округ,038,2021,0.35793156771052975,0.23009442921907655,0.16985515624282618,0.3581258595413285
Северо-Кавказский федеральный округ,038,2022,0.33810813987561067,0.1994543091604598,0.2999225614513003,0.29748100393426424
Северо-Кавказский федеральный округ,038,2023,0.3483182944567179,0.18925962710727418,0.1980041849596783,0.31706146586610723
Северо-Кавказский федеральный округ,038,2024,0.3413823675246112,0.16530057891993893,0.2820506382231723,0.4054870177887119
Южный федеральный округ,040,2020,1.0,0.44975428992559957,0.5189850388151882,0.2131008911964118
Дальневосточный федеральный округ,042,2020,0.888643517664422,0.3207780537104799,0.0703743271302797,0.5326699036793408
Дальневосточный федеральный округ,042,2022,0.9822053109516088,0.3448315345429613,0.16342980323529502,0.2808589092065367
Дальневосточный федеральный округ,042,2023,0.9981183509382894,0.31290482996035046,0.25472468218218713,0.2485834504404124
Дальневосточный федеральный округ,042,2024,0.955155228291857,0.32247840612838136,0.221281362056826,0.38012272722673374
Алтайский край,1,2020,0.09913062966977217,0.369807127801399,0.009636042589217882,0.5534663228000795
Алтайский край,1,2021,0.1160899568705855,0.30206908607735805,0.03293174116694639,0.12926956279634702
Алтайский край,1,2022,0.10434581446737037,0.32008860652285615,0.05892611713412382,0.16756342586835574
Алтайский край,1,2023,0.10271795747435404,0.26238738515297666,0.0454768310807723,0.17075545987200882
Алтайский край,1,2024,0.10355247714159967,0.2707519624011961,0.01690176761482736,0.19962815400024062
Амурская область,10,2020,0.0662691201226824,0.32014904710893716,0.012058216505536502,0.13979819032679852
Амурская область,10,2021,0.07253524356392764,0.35595696946469807,0.009016604316721742,0.27448066172587
Амурская область,10,2022,0.06729573836264575,0.3159291604278264,0.0028798924113295457,0.18251734187845295
Амурская область,10,2023,0.07869480080913638,0.3459875225330681,0.03613906167546109,0.09372593756642204
Амурская область,10,2024,0.08329375475582675,0.3327527816071655,0.030230663679728466,0.07593698865114717
Архангельская область,11,2020,0.11435262256710635,0.291832753694811,0.0491453780964431,0.08561719834298612
Архангельская область,11,2021,0.14180015715699681,0.23473572058889794,0.020675150664271946,0.15329554764356526
