region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r,RDcosts_r,RDsalary_r,RDequip_r
Северо-Кавказский федеральный округ,038,2020,0.32700785448150216,0.21213734947669188,0.10865642824800929,0.33412934425133883,0.08043368346524694,0.6848118834912943,0.3187294034040969
Северо-Кавказский федеральный округ,038,2021,0.3376803767888383,0.23009442921907655,0.18065031018362893,0.3581258595413285,0.07863083117356642,0.6868150655559306,0.3453591531794228
Северо-Кавказский федеральный округ,038,2022,0.31897852653472647,0.1994543091604598,0.318984156593917,0.29748100393426424,0.07968036433045894,0.6764016612067295,0.3853328297331205
Северо-Кавказский федеральный округ,038,2023,0.3286110070339287,0.18925962710727418,0.21058835199260098,0.31706146586610723,0.08122610293899656,0.6522668789094177,0.16131738712836685
Северо-Кавказский федеральный округ,038,2024,0.32206750366317327,0.16530057891993893,0.2999763822869437,0.4054870177887119,0.06816041460761069,0.7374517880024564,0.1390178308290316
Южный федеральный округ,040,2020,0.9434216125411179,0.44975428992559957,0.5519691619405058,0.2131008911964118,0.1540723360129932,0.6012705482309484,0.15466859641858824
Дальневосточный федеральный округ,042,2020,0.8383655004091803,0.3207780537104799,0.07484697142119369,0.5326699036793408,0.1072738167302014,0.8095161170093416,0.08893518975651529
Дальневосточный федеральный округ,042,2022,0.9266337183044169,0.3448315345429613,0.17381659350687162,0.2808589092065367,0.08485032111745743,0.8194250586739931,0.10057386900473483
Дальневосточный федеральный округ,042,2023,0.9416464241490823,0.31290482996035046,0.2709137235837189,0.2485834504404124,0.07997128017283714,0.8054457460951087,0.12918127599078422
Дальневосточный федеральный округ,042,2024,0.9011140857021833,0.32247840612838136,0.23534491138010322,0.38012272722673374,0.07420681905378264,0.7978041775606516,0.22764013188457313
Алтайский край,1,2020,0.09352197849527283,0.369807127801399,0.010248461814113397,0.5534663228000795,0.10300953398452381,0.7358710384741549,0.03318654670363967
Алтайский край,1,2021,0.1095217743106766,0.30206908607735805,0.0350247198159291,0.12926956279634702,0.08968919529152299,0.682656687006744,0.04932378664037211
Алтайский край,1,2022,0.09844209654672287,0.32008860652285615,0.06267116979939143,0.16756342586835574,0.10597541911613931,0.6969356428002144,0.035568069734812524
Алтайский край,1,2023,0.09690634107738505,0.26238738515297666,0.04836711361982565,0.17075545987200882,0.08829179319654178,0.823668433296038,0.14557346655526576
