region,okato,year,VDS_r,ITusage_r,AIusage_r,BDusage_r
Алтайский край,1,2021,0.11050189730147064,0.3349079814978841,0.2950310559006211,0.3599704032556419
Алтайский край,1,2022,0.09932306622325233,0.3317586851687826,0.2826086956521739,0.38697743248242694
Алтайский край,1,2023,0.09777356710108193,0.3317586851687826,0.2204968944099379,0.2101368849426563
Алтайский край,1,2024,0.09856791666457461,0.3386477708886921,0.30124223602484473,0.13540510543840178
Амурская область,10,2021,0.0690437161930687,0.1832496801495916,0.14906832298136646,0.23603403625601183
Амурская область,10,2022,0.06405641771118538,0.17508119279598464,0.2204968944099379,0.25083240843507215
Амурская область,10,2023,0.07490677946297197,0.1743922842239937,0.16149068322981366,0.11801701812800591
Амурская область,10,2024,0.07928436000835797,0.18216710953646295,0.14285714285714285,0.07880133185349611
Архангельская область,11,2021,0.13497452170614999,0.2731030410392678,0.2329192546583851,0.25083240843507215
Архангельская область,11,2022,0.12519119912280124,0.254207263064659,0.2453416149068323,0.25675175730669625
Архангельская область,11,2023,0.11725812680166847,0.23855919692943608,0.20031055900621117,0.11505734369219386
Архангельская область,11,2024,0.11124832039537286,0.24308631040251943,0.15217391304347827,0.03736588975212726
Архангельская область (кроме Ненецкого автономного округа),11001,2021,0.08427398717765013,0.2433815569333727,0.21894409937888198,0.22604513503514614
Архангельская область (кроме Ненецкого автономного округа),11001,2022,0.07405364946849373,0.224977856510186,0.23136645962732919,0.23566407695153532
Архангельская область (кроме Ненецкого автономного округа),11001,2023,0.07064362378504255,0.20992028343666963,0.18944099378881987,0.10469848316685165
Архангельская область (кроме Ненецкого автономного округа),11001,2024,0.06494273605517793,0.21326641078633993,0.12888198757763975,0.03440621531631521
Ненецкий автономный округ (Архангельская область),111,2021,0.05070052463336437,0.02972148410589509,0.013975155279503106,0.024787273399926008
Ненецкий автономный округ (Архангельская область),111,2022,0.051137554879636865,0.029229406554472984,0.013975155279503106,0.021087680355160933
Ненецкий автономный округ (Архангельская область),111,2023,0.0466144993139965,0.02863891349276646,0.010869565217391304,0.010358860525342212
Ненецкий автономный округ (Архангельская область),111,2024,0.04630558820246483,0.02981989961617951,0.023291925465838508,0.0029596744358120607
Астраханская область,12,2021,0.08298520762211242,0.14043893317586853,0.14285714285714285,0.1328153903070662
Астраханская область,12,2022,0.08046675363693866,0.14476921562838305,0.2251552795031056,0.18386977432482426
Астраханская область,12,2023,0.07276007453150989,0.14526129317980513,0.1956521739130435,0.09914909359970403
Астраханская область,12,2024,0.06908803310428786,0.1450644621592363,0.17391304347826086,0.06992230854605994
Белгородская область,14,2021,0.16971834624554538,0.2845192402322606,0.3695652173913043,0.2944876063633
Белгородская область,14,2022,0.13508913290173755,0.28914476921562837,0.3944099378881988,0.4210136884942656
Белгородская область,14,2023,0.12548525829509366,0.2782206475740577,0.27639751552795033,0.19126896041435443
Белгородская область,14,2024,0.11701880655087325,0.29130991044188564,0.30124223602484473,0.13318534961154274
Брянская область,15,2021,0.060771741605646024,0.20765672670012794,0.22826086956521738,0.17684054753977063
Брянская область,15,2022,0.058001166041815766,0.2108060230292294,0.13509316770186336,0.1709211986681465
Брянская область,15,2023,0.059737812078167724,0.2022438736344848,0.12732919254658384,0.07399186089530152
Брянская область,15,2024,0.055938614626956866,0.20332644424761342,0.15683229813664595,0.03625601183869774
Владимирская область,17,2021,0.09157357916745683,0.27054423777187286,0.4161490683229814,0.2870884202737699
Владимирская область,17,2022,0.08229276482844505,0.2712331463438638,0.5791925465838509,0.4239733629300777
Владимирская область,17,2023,0.08271457521532477,0.2613915953154217,0.3105590062111801,0.2005179430262671
Владимирская область,17,2024,0.07488770643349886,0.2588327920480268,0.35093167701863354,0.12245652978172401
Волгоградская область,18,2021,0.13480673731466414,0.40163369747072136,0.35248447204968947,0.44728079911209767
Волгоградская область,18,2022,0.1282350057122972,0.40084637338844603,0.6599378881987578,0.5930447650758417
Волгоградская область,18,2023,0.1293156469437279,0.40271626808385,0.31832298136645965,0.28042915279319275
Волгоградская область,18,2024,0.1172576493221137,0.41432929829741166,0.32919254658385094,0.1701812800591935
Вологодская область,19,2021,0.12867893221948043,0.2334415903946462,0.2857142857142857,0.2389937106918239
Вологодская область,19,2022,0.10793497747910415,0.21661253813601022,0.4363354037267081,0.29929707732149463
Вологодская область,19,2023,0.10146148782618962,0.2060820785355772,0.18633540372670807,0.13540510543840178
Вологодская область,19,2024,0.09347006026299741,0.21434898139946856,0.2453416149068323,0.10025897151313355
Воронежская область,20,2021,0.1632942387388762,0.38756027950004923,0.4363354037267081,0.36256011838697744
Воронежская область,20,2022,0.14647992236966223,0.4065544729849424,0.7872670807453416,0.536440991490936
Воронежская область,20,2023,0.14301313570870658,0.39149689991142606,0.5217391304347826,0.24602293747687753
Воронежская область,20,2024,0.13267290320263284,0.4104910933963193,0.5807453416149069,0.21568627450980393
Нижегородская область,22,2021,0.2468725236766801,0.5280976281862021,0.4984472049689441,0.5615982241953386
Нижегородская область,22,2022,0.2438822975691002,0.5024111800019683,0.6490683229813664,0.6448390677025527
Нижегородская область,22,2023,0.25639824734053757,0.5068398779647673,0.5108695652173914,0.33592304846466886
Нижегородская область,22,2024,0.23792459381472925,0.5342978053341206,0.5916149068322981,0.23307436182019978
Ивановская область,24,2021,0.03896318206045148,0.1720303119771676,0.2204968944099379,0.17425083240843509
Ивановская область,24,2022,0.03845799541046467,0.17380179116228717,0.3027950310559006,0.23381428042915278
Ивановская область,24,2023,0.04076534268826603,0.17262080503887411,0.17546583850931677,0.11061783203847576
Ивановская область,24,2024,0.03883858067760436,0.17773841157366402,0.21894409937888198,0.0732519422863485
Иркутская область,25,2021,0.24810263744756486,0.42574549749040447,0.3198757763975155,0.6674065852756197
Иркутская область,25,2022,0.24809140485304512,0.43135518157661645,0.16149068322981366,0.7602663706992231
Иркутская область,25,2023,0.2380949745302611,0.4186595807499262,0.16770186335403728,0.3255641879393267
Иркутская область,25,2024,0.23080810659555973,0.43558704851884655,0.16304347826086957,0.15353311135775063
Республика Ингушетия,26,2021,0.008975192182688458,0.034642259620116134,0.031055900621118012,0.05179430262671106
Республика Ингушетия,26,2022,0.008823795225088586,0.03848046452120854,0.059006211180124224,0.07547169811320754
Республика Ингушетия,26,2023,0.008813165627780433,0.040153528196043696,0.062111801242236024,0.041065482796892344
Республика Ингушетия,26,2024,0.008388448954889074,0.03966145064462159,0.06055900621118013,0.02293747687754347
Калининградская область,27,2021,0.08653117890768054,0.17852573565593938,0.16459627329192547,0.2389937106918239
Калининградская область,27,2022,0.0780212524813475,0.1790178132073615,0.2888198757763975,0.2785793562708102
Калининградская область,27,2023,0.07549158756416036,0.1928944001574648,0.2251552795031056,0.14021457639659637
Калининградская область,27,2024,0.07480863418162942,0.20155496506249385,0.1972049689440994,0.09433962264150944
Тверская область,28,2021,0.07118468955653803,0.2668044483810649,0.29037267080745344,0.25157232704402516
Тверская область,28,2022,0.0657813469968856,0.2718236394055703,0.2484472049689441,0.3340732519422864
Тверская область,28,2023,0.06964404713617194,0.26188367286684383,0.2251552795031056,0.17980022197558268
Тверская область,28,2024,0.06377716093035903,0.26021060919200867,0.28726708074534163,0.11061783203847576
Калужская область,29,2021,0.0844358097499914,0.23501623855919693,0.37267080745341613,0.24195338512763595
Калужская область,29,2022,0.07285330771554074,0.2390512744808582,0.44875776397515527,0.3610802811690714
Калужская область,29,2023,0.07479010035335908,0.23304792835350852,0.26242236024844723,0.18091009988901222
Калужская область,29,2024,0.0705265115862304,0.23501623855919693,0.22826086956521738,0.10395856455789863
Краснодарский край,3,2023,0.4466642008648138,0.9018797362464325,1.0,0.803181650018498
Краснодарский край,3,2024,0.4158844733273572,0.925401043204409,0.6521739130434783,0.2833888272290048
Камчатский край,30,2021,0.04411780552582681,0.09664403109930125,0.06366459627329192,0.10654827968923418
Камчатский край,30,2022,0.03781305600239873,0.09398681232162188,0.12577639751552794,0.11801701812800591
Камчатский край,30,2023,0.040373295326022574,0.0973329396712922,0.08385093167701864,0.060673325934147246
Камчатский край,30,2024,0.035915298875963585,0.0996949119181183,0.062111801242236024,0.01812800591934887
Кемеровская область - Кузбасс,32,2021,0.22852461708490543,0.36689302234032084,0.4254658385093168,0.5482796892341842
Кемеровская область - Кузбасс,32,2022,0.22898419389856625,0.3694518256077158,0.484472049689441,0.6330003699593045
Кемеровская область - Кузбасс,32,2023,0.17665478230766254,0.3695502411180002,0.31521739130434784,0.30632630410654826
Кемеровская область - Кузбасс,32,2024,0.14047662728052557,0.3827379194961126,0.39751552795031053,0.16426193118756938
Кировская область,33,2021,0.06180708447672616,0.23117803365810452,0.22826086956521738,0.16278209396966334
Кировская область,33,2022,0.05814519701953781,0.22940655447298494,0.31211180124223603,0.21864594894561598
Кировская область,33,2023,0.05658033744909689,0.2191713414034052,0.2546583850931677,0.11135775064742878
Кировская область,33,2024,0.055200820655110505,0.22842239937014072,0.20186335403726707,0.06215316315205328
Костромская область,34,2021,0.03252330665534764,0.1654364727881114,0.21583850931677018,0.19422863485016648
Костромская область,34,2022,0.030424709953185428,0.1673063674835154,0.2562111801242236,0.23085460599334073
Костромская область,34,2023,0.031225878992766364,0.1592362956401929,0.2080745341614907,0.10543840177580466
Костромская область,34,2024,0.030959901527566374,0.16474756421612047,0.17701863354037267,0.06622271550129485
Самарская область,36,2021,0.27524472203436573,0.48755043794902075,0.6009316770186336,0.5904550499445061
Самарская область,36,2022,0.25416898539971855,0.47534691467375256,0.5900621118012422,0.7088420273769885
Самарская область,36,2023,0.2532341375995453,0.47554374569432145,0.5295031055900621,0.3607103218645949
Самарская область,36,2024,0.25616936208046576,0.49129022733982874,0.6211180124223602,0.25379208287088423
Курганская область,37,2021,0.03425550578645278,0.13866745399074895,0.14440993788819875,0.14761376248612654
Курганская область,37,2022,0.035534091317964846,0.12449562050979235,0.15217391304347827,0.1601923788383278
Курганская область,37,2023,0.03515539073361629,0.11563822458419447,0.12732919254658384,0.07177210506844248
Курганская область,37,2024,0.03559208945326093,0.1181970278515894,0.12111801242236025,0.027007029226785054
Курская область,38,2021,0.0862421914751206,0.24830233244759375,0.2422360248447205,0.2005179430262671
Курская область,38,2022,0.07008760360378107,0.23609880917232556,0.16614906832298137,0.2397336293007769
Курская область,38,2023,0.06993533391833849,0.2084440507824033,0.15372670807453417,0.11912689604143545
Курская область,38,2024,0.06427132291627642,0.20785355772069677,0.1956521739130435,0.06104328523862375
Красноярский край,4,2021,0.39085998008613637,0.5209132959354394,0.3944099378881988,0.5427302996670367
Красноярский край,4,2022,0.3495320190672542,0.5206180494045861,0.4363354037267081,0.41287458379578246
Красноярский край,4,2023,0.3467530502598471,0.5235705147131188,0.26242236024844723,0.2097669256381798
Красноярский край,4,2024,0.33424191945545084,0.5440409408522783,0.3059006211180124,0.09359970403255642
Город Санкт-Петербург город федерального значения,40,2024,1.0,1.0,0.8090062111801242,0.416204217536071
Ленинградская область,41,2021,0.18320536646954927,0.3112882590296231,0.34782608695652173,0.45763965963743986
Ленинградская область,41,2022,0.17409633132636915,0.31591378801299086,0.4767080745341615,0.5024047354790973
Ленинградская область,41,2023,0.17888402440285128,0.31975199291408324,0.31521739130434784,0.2648908620051794
Ленинградская область,41,2024,0.18570821091546996,0.32870780434996555,0.2562111801242236,0.14761376248612654
Липецкая область,42,2021,0.10663611523622994,0.2283239838598563,0.2639751552795031,0.2249352571217166
Липецкая область,42,2022,0.08224221603754796,0.2340320834563527,0.2732919254658385,0.23381428042915278
Липецкая область,42,2023,0.08834159629160293,0.2244857789587639,0.21739130434782608,0.11024787273399926
Липецкая область,42,2024,0.08069510044026015,0.22232063773250665,0.2484472049689441,0.08065112837587865
Магаданская область,44,2021,0.03995633702128613,0.05698258045467966,0.05124223602484472,0.07658157602663707
Магаданская область,44,2022,0.0331742448058585,0.057769904536955026,0.07453416149068323,0.08250092489826119
Магаданская область,44,2023,0.03780948733902864,0.059049306170652495,0.06521739130434782,0.041065482796892344
Магаданская область,44,2024,0.04073404757003358,0.06397008168487353,0.04813664596273292,0.015908250092489827
Мурманская область,47,2021,0.13801559370233718,0.17557327034740675,0.20031055900621117,0.17980022197558268
Мурманская область,47,2022,0.12111503466773473,0.1677000295246531,0.21583850931677018,0.22641509433962265
Мурманская область,47,2023,0.1051110400539276,0.1673063674835154,0.18012422360248448,0.10432852386237514
Мурманская область,47,2024,0.08658090625073624,0.17006200177147918,0.16770186335403728,0.06696263411024787
Новгородская область,49,2021,0.043302824848763175,0.14339139848440113,0.29037267080745344,0.17647058823529413
Новгородская область,49,2022,0.03984078162719491,0.14299773644326347,0.2484472049689441,0.2693303736588975
Новгородская область,49,2023,0.03825972707655908,0.13463241806908768,0.08695652173913043,0.11098779134295228
Новгородская область,49,2024,0.03702133711011833,0.13817537643932684,0.10559006211180125,0.05401405845357011
Приморский край,5,2021,0.17156611437494373,0.28717645900994,0.2375776397515528,0.35405105438401774
Приморский край,5,2022,0.167813834264591,0.2911130794213168,0.35403726708074534,0.3854975952645209
Приморский край,5,2023,0.17679837953316233,0.2876685365613621,0.21583850931677018,0.2049574546799852
Приморский край,5,2024,0.16495567852164666,0.31443755535872453,0.2220496894409938,0.12023677395486497
Новосибирская область,50,2021,0.21158043441653268,0.5202243873634484,0.532608695652174,0.5697373288938217
Новосибирская область,50,2022,0.20867114414467652,0.5106780828658597,0.672360248447205,0.6433592304846467
Новосибирская область,50,2023,0.21403789890971986,0.515894104910934,0.48757763975155277,0.32852386237513875
Новосибирская область,50,2024,0.20822682802200412,0.5259324869599449,0.4953416149068323,0.21864594894561598
Омская область,52,2021,0.1017021409238009,0.30351343371715384,0.17546583850931677,0.14761376248612654
Омская область,52,2022,0.09926341804385558,0.2934750516681429,0.26242236024844723,0.22641509433962265
Омская область,52,2023,0.11401490112653404,0.29662434799724435,0.20341614906832298,0.11653718091009989
Омская область,52,2024,0.10911639375223772,0.30853262474165927,0.20341614906832298,0.06437291897891231
Оренбургская область,53,2021,0.1766499381457474,0.3046944198405669,0.32298136645962733,0.32149463559008506
Оренбургская область,53,2022,0.16520600825328458,0.317586851687826,0.422360248447205,0.38697743248242694
Оренбургская область,53,2023,0.1654505608852735,0.3105993504576321,0.31832298136645965,0.18386977432482426
Оренбургская область,53,2024,0.15971575238369642,0.31492963291014664,0.2686335403726708,0.11764705882352941
Орловская область,54,2021,0.042686773502202076,0.17212872748745203,0.18944099378881987,0.12097669256381798
Орловская область,54,2022,0.03883692584300156,0.16740478299379982,0.16770186335403728,0.16426193118756938
Орловская область,54,2023,0.03713690470479835,0.16523964176754258,0.15527950310559005,0.08139104698483167
Орловская область,54,2024,0.03406974718739849,0.16592855033953352,0.12111801242236025,0.03477617462079171
Пензенская область,56,2021,0.06806268772080115,0.21592362956401928,0.15217391304347827,0.21235664076951535
Пензенская область,56,2022,0.06238073924457606,0.22153331365023127,0.2453416149068323,0.24195338512763595
Пензенская область,56,2023,0.06170841532610498,0.21552996752288162,0.19409937888198758,0.12023677395486497
Пензенская область,56,2024,0.06203161267921416,0.22281271528392874,0.2251552795031056,0.07621161672216056
Пермский край,57,2021,0.2217877243447756,0.36079126070268674,0.46273291925465837,0.4679985201627821
Пермский край,57,2022,0.21107507780542734,0.35705147131187875,0.3385093167701863,0.6281908990011099
Пермский край,57,2023,0.20676811002268056,0.3473083357937211,0.2795031055900621,0.2630410654827969
Пермский край,57,2024,0.20114473817865391,0.3609880917232556,0.2841614906832298,0.13947465778764337
Псковская область,58,2021,0.02866445242185566,0.13463241806908768,0.17701863354037267,0.16944136145024047
Псковская область,58,2022,0.027076930280427833,0.13394350949709674,0.18944099378881987,0.21605623381428044
Псковская область,58,2023,0.027213467230506577,0.13236886133254602,0.10403726708074534,0.10321864594894561
Псковская область,58,2024,0.02711862150952185,0.13266410786339927,0.11490683229813664,0.05253422123566408
Ростовская область,60,2021,0.259065928097666,0.5771085523078437,0.610248447204969,0.7462079171291158
Ростовская область,60,2022,0.24687674569772097,0.5782895384312567,0.6211180124223602,0.9604143544210136
Ростовская область,60,2023,0.255783379442399,0.5862611947642948,0.41770186335403725,0.4665186829448761
Ростовская область,60,2024,0.23901599404592472,0.6240527507135124,0.515527950310559,0.27044025157232704
Рязанская область,61,2021,0.06911865947563506,0.20637732506643047,0.2220496894409938,0.14872364039955605
Рязанская область,61,2022,0.06560377463017801,0.21208542466292687,0.29347826086956524,0.22678505364409915
Рязанская область,61,2023,0.06574444893841007,0.21385690384804645,0.2096273291925466,0.11579726230114687
Рязанская область,61,2024,0.06308919410262284,0.21356165731719318,0.1956521739130435,0.05586385497595264
Саратовская область,63,2021,0.12799991688877937,0.3477019978348588,0.4083850931677019,0.39844617092119866
Саратовская область,63,2022,0.12518212795108,0.3435685464029131,0.4720496894409938,0.4872364039955605
Саратовская область,63,2023,0.1272023341756944,0.33353016435390215,0.36180124223602483,0.23455419903810582
Саратовская область,63,2024,0.11858515783745328,0.3445527015057573,0.3804347826086957,0.13910469848316684
Сахалинская область,64,2021,0.15429730941725686,0.14476921562838305,0.09627329192546584,0.20347761746207918
Сахалинская область,64,2022,0.17574505858934714,0.14526129317980513,0.16614906832298137,0.23381428042915278
