region,okato,year,VDS_r,AIusage_r,BDusage_r
Северо-Кавказский федеральный округ,038,2021,0.34070231742953583,0.3985084546695725,0.4439545826513912
Северо-Кавказский федеральный округ,038,2022,0.32183310216038646,0.5560378757542491,0.5115433190989177
Северо-Кавказский федеральный округ,038,2023,0.33155178483860803,0.44848021410820116,0.26896885181223235
Северо-Кавказский федеральный округ,038,2024,0.3249497229014453,0.43631480786491683,0.17687642464123943
Южный федеральный округ,040,2024,0.9711375659434308,0.3092464376620478,0.12751595070102953
Дальневосточный федеральный округ,042,2021,0.9551888101543711,0.28418055622449295,0.42171069405689804
Дальневосточный федеральный округ,042,2022,0.9349262703295405,0.37071386573362114,0.4439552590577559
Дальневосточный федеральный округ,042,2023,0.9500733266104091,0.2779118117661221,0.23762229408251118
Дальневосточный федеральный округ,042,2024,0.9091782595916577,0.2567209910726101,0.10262735303543313
Алтайский край,1,2021,0.11050189730147064,0.3393378899142634,0.3567968813499978
Алтайский край,1,2022,0.09932306622325233,0.32813559113622287,0.38720690242809447
Алтайский край,1,2023,0.09777356710108193,0.25601787879859145,0.2102614919494815
Алтайский край,1,2024,0.09856791666457461,0.34265554205383725,0.13272922888571484
Амурская область,10,2021,0.0690437161930687,0.3133518474201789,0.4275738738944626
Амурская область,10,2022,0.06405641771118538,0.4851243785441551,0.47558035233755513
Амурская область,10,2023,0.07490677946297197,0.35670592638510396,0.22464518995245183
Амурская область,10,2024,0.07928436000835797,0.3020800967408739,0.14359633090796234
Архангельская область,11,2021,0.13497452170614999,0.3285254166083182,0.3048855664174813
Архангельская область,11,2022,0.12519119912280124,0.37176918031208445,0.3352781278572664
Архангельская область,11,2023,0.11725812680166847,0.3234430308315806,0.160102433115652
Архангельская область,11,2024,0.11124832039537286,0.24114031591533638,0.05102635885950556
Архангельская область (кроме Ненецкого автономного округа),11001,2021,0.08427398717765013,0.34652589940266804,0.3083097452486858
Архангельская область (кроме Ненецкого автономного округа),11001,2022,0.07405364946849373,0.3961418682768281,0.3477229575026526
Архангельская область (кроме Ненецкого автономного округа),11001,2023,0.07064362378504255,0.3476239405930493,0.1655639345243439
Архангельская область (кроме Ненецкого автономного округа),11001,2024,0.06494273605517793,0.2327876221513948,0.053554281338059284
Ненецкий автономный округ (Архангельская область),111,2021,0.05070052463336437,0.1811241121367052,0.27684585035930676
Ненецкий автономный округ (Архангельская область),111,2022,0.051137554879636865,0.18417333961375415,0.23949065119277885
Ненецкий автономный округ (Архангельская область),111,2023,0.0466144993139965,0.14619945515730998,0.12007019083132267
Ненецкий автономный округ (Архангельская область),111,2024,0.04630558820246483,0.3008772379828657,0.03294712449968401
Астраханская область,12,2021,0.08298520762211242,0.3918362011684356,0.3139356483621345
Астраханская область,12,2022,0.08046675363693866,0.5990954657048359,0.4216128845625352
