sector,okved2,year,VDS_s,ITcosts_s,skvozcosts_s,trainingcosts_s,RDcosts_s,RDsalary_s
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2020,0.23541242717682806,0.007206508771970102,0.007255059530598563,0.0016606413047062995,0.000553190884182337,0.000647825734814431
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2021,0.26155406519607494,0.008494321076371096,0.007275994562553502,0.0017789087686670819,0.00037218381737853345,0.0005401001847581134
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2022,0.2341055864701766,0.007019388625899487,0.0024328524594771856,0.0028588953905707612,0.00033082046382143217,0.0004936189550753788
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2023,0.2109827725904135,0.006396943896577852,0.005204254649544386,0.002370169667864752,0.00028105875656690477,0.0003717841640938037
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2024,0.19686316680719054,0.0068338223436687,0.0007940121706875302,0.0021919372905638093,0.00027737258809368916,0.00036707537410466903
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2020,0.5193258998902581,0.050260501536899045,0.0793028482778038,0.0066159509981426,0.0011099069298598284,0.0016483369728801864
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2021,0.836607578384676,0.06814535355430852,0.15146881329429285,1.0,0.00024806468019481854,0.0001916573515066097
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2022,0.827333182918284,0.05841089270896498,0.04097441492694499,0.0070644242025417504,0.0002041763651387927,0.00017424033148226344
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2023,0.7837073805438721,0.057229560492052044,0.07306925960817483,0.009632099725739593,0.000651219458171103,0.0004038460356545346
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2024,0.7592317003198528,0.05710597459403379,0.062218157552001,0.00487468614799749,0.00018419861095754047,0.00019583454526996284
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2020,0.8509007679634564,0.2138391197205642,0.14480150566689343,0.18182898861880337,0.1983435786791457,0.12501817690000513
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2021,1.0,0.26046366889244194,0.12515851978530104,0.10503394114715842,0.18352976839695134,0.12082980110457876
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2022,0.8881856764716992,0.2862457708835566,0.8312999939908711,0.15311277476444696,0.1656822128067212,0.12550428126492516
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2023,0.895402025785202,0.2345810064923328,0.9017984488166096,0.04371140516998463,0.1778952284453848,0.12452182519137593
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2024,0.8533911833521169,0.24383283500563704,0.24373015030095568,0.11935138842962803,0.22133039339152571,0.1549162827387899
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2024,0.11748282471004054,0.06697717322542568,0.07473149708008361,0.018509718355204652,0.0005247664048264548,0.0008763861937402521
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИЯ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2024,0.026972887601680925,0.005912561835835773,0.0010419851619569236,0.0009456215379622634,0.0024790770443320256,0.0011646484247843833
СТРОИТЕЛЬСТВО,F,2022,0.30611321902145555,0.033405076455329794,0.0037029570745043426,0.0016677436124248538,5.146172068858639e-05,5.9364752834108654e-05
