region,okato,year,factoriescap_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Северо-Кавказский федеральный округ,038,2020,0.11259027282200942,0.3866923769713978,0.10216342600293846,0.33412934425133883
Северо-Кавказский федеральный округ,038,2021,0.12437056489944455,0.39208974235593047,0.16985515624282618,0.3581258595413285
Северо-Кавказский федеральный округ,038,2022,0.11600676607042378,0.344201462052911,0.2999225614513003,0.29748100393426424
Северо-Кавказский федеральный округ,038,2023,0.11360473332398364,0.34358549373112873,0.1980041849596783,0.31706146586610723
Северо-Кавказский федеральный округ,038,2024,0.10694419506636534,0.3124317959817043,0.2820506382231723,0.4054870177887119
Южный федеральный округ,040,2020,0.6431064880341649,0.4140849099947074,0.5189850388151882,0.2131008911964118
Южный федеральный округ,040,2021,0.6716267284508356,0.31692251807196486,0.7268812378776486,0.19253855096010608
Южный федеральный округ,040,2022,0.649873138588636,0.2971343734910101,0.19368470394826762,0.2726327655463557
Южный федеральный округ,040,2023,0.6248657843420128,0.3191112517880235,0.18695023304706582,0.2574814011808422
Дальневосточный федеральный округ,042,2020,0.6530823647501752,0.2584409027839275,0.0703743271302797,0.5326699036793408
Дальневосточный федеральный округ,042,2022,0.6760008476616478,0.29666000058065084,0.16342980323529502,0.2808589092065367
Дальневосточный федеральный округ,042,2023,0.6956106678446082,0.2658428929991011,0.25472468218218713,0.2485834504404124
Дальневосточный федеральный округ,042,2024,0.6891026509308665,0.2646596026224985,0.221281362056826,0.38012272722673374
Алтайский край,1,2020,0.0780425493068165,0.2781305379776059,0.009636042589217882,0.5534663228000795
Алтайский край,1,2021,0.08669538263728382,0.23949802949646026,0.03293174116694639,0.12926956279634702
Алтайский край,1,2022,0.07991871648366018,0.24745357330217657,0.05892611713412382,0.16756342586835574
Алтайский край,1,2023,0.07550077402906918,0.21136589032793587,0.0454768310807723,0.17075545987200882
Алтайский край,1,2024,0.0785292004146226,0.21139655752492081,0.01690176761482736,0.19962815400024062
Амурская область,10,2020,0.035947694137186584,0.3494534729085272,0.012058216505536502,0.13979819032679852
Амурская область,10,2021,0.03278196525565521,0.4663463365959268,0.009016604316721742,0.27448066172587
Амурская область,10,2022,0.02688056508551811,0.4683126213427233,0.0028798924113295457,0.18251734187845295
Амурская область,10,2023,0.04002574439443056,0.40277642292949123,0.03613906167546109,0.09372593756642204
Амурская область,10,2024,0.04876407921690101,0.3365356580332114,0.030230663679728466,0.07593698865114717
Архангельская область,11,2020,0.09908786688212377,0.19941446784779304,0.0491453780964431,0.08561719834298612
Архангельская область,11,2021,0.14764704711472978,0.13348366124201272,0.020675150664271946,0.15329554764356526
Архангельская область,11,2022,0.12144978141268431,0.1566376553564755,0.009461605073062483,0.1500320458471875
Архангельская область,11,2023,0.11955890615801983,0.15559915204396324,0.04879951436459563,0.13623760874538332
Архангельская область,11,2024,0.10330730012754068,0.1539809234499027,0.021714099873760363,0.17735886489822766
Архангельская область (кроме Ненецкого автономного округа),11001,2020,0.055503924218351285,0.234790846271921,0.07417219790184881,0.12521955176512692
Архангельская область (кроме Ненецкого автономного округа),11001,2021,0.07631929475073194,0.2147799515389019,0.02461131946428612,0.13966459323181982
Архангельская область (кроме Ненецкого автономного округа),11001,2024,0.04013494473284464,0.3376545709835806,0.025488510679678847,0.1968673419040012
Ненецкий автономный округ (Архангельская область),111,2020,0.043584025409243374,0.1543625409232064,0.0006677615043613721,0.008906402568368183
Ненецкий автономный округ (Архангельская область),111,2021,0.07132782696595553,0.046498181659232266,0.0012212418152655923,0.2206644096263148
Астраханская область,12,2021,0.07480621784496828,0.12426644253475727,0.030737815588459092,0.07825889238008561
Астраханская область,12,2022,0.07665308376832689,0.11306440557610213,0.024030596839128417,0.1594859371167536
Астраханская область,12,2023,0.0665968715469058,0.12834497129465772,0.030413045929238495,0.21234069994176064
Белгородская область,14,2020,0.16572279459011446,0.09632423223041706,0.8375029591414055,0.3520294267345373
Белгородская область,14,2021,0.21404913062062925,0.10098068902766906,0.03230674796155058,0.0881006091840786
Белгородская область,14,2022,0.16794437611069907,0.1408381743882272,0.021277387958365448,0.08181407191605056
Белгородская область,14,2024,0.1452823100087146,0.20224295457855235,0.5960313714250476,0.06654144138779161
Брянская область,15,2020,0.04821148312331475,0.28417078147823344,0.01967091590372111,0.3503240701516004
Брянская область,15,2021,0.0536072509472901,0.380103152436473,0.018329710819853063,0.1814836914299773
Брянская область,15,2022,0.051563892416518604,0.3091300350972457,0.022125233544799394,0.08573226035411159
Брянская область,15,2023,0.05465960586600588,0.2948481090999307,0.015934479474753283,0.08768495158223426
Брянская область,15,2024,0.05282158709810108,0.3610262304845233,0.01523856896570309,0.06820657268910385
Владимирская область,17,2020,0.09897218871381908,0.20714629208317625,0.7039709257116974,0.3542045586942947
Владимирская область,17,2021,0.12045426052882185,0.17092273048935028,0.5405609320332649,0.1224636404226833
Владимирская область,17,2022,0.09947116368455113,0.17151267709304596,0.5178584913289025,0.10388613720993495
Владимирская область,17,2023,0.10429209838253381,0.16497304536240395,0.536253788270002,0.10517976438927741
Волгоградская область,18,2020,0.14973314254073608,0.20515488283008076,1.0,0.160386478383705
Волгоградская область,18,2021,0.11291379305387027,0.24111236768597144,0.06883645581243758,0.21141579018156745
Волгоградская область,18,2022,0.11402793471940031,0.249378837001417,0.03690460032090593,0.15353564369561437
Волгоградская область,18,2023,0.1078996745772765,0.22465048839718993,0.009005442977995918,0.9433774433962061
Волгоградская область,18,2024,0.09816434249761861,0.23931581632434695,0.15953852968378723,0.19489423187112706
Вологодская область,19,2020,0.13089754276555532,0.15760822602305835,0.10151390616632049,0.0919680794454515
Вологодская область,19,2022,0.15955202338722754,0.12316411630168099,0.025564924008347336,0.2763292517427999
Вологодская область,19,2023,0.14020623207294183,0.14222601718652347,0.04690129226172863,0.16093208568607156
Воронежская область,20,2020,0.1276986028609348,0.14050652990990387,0.3465008419004876,0.7436805148013893
Воронежская область,20,2021,0.13414595782271818,0.2010575242523831,0.2723882052940166,0.7124483327711362
Воронежская область,20,2022,0.12401657666898731,0.22033873852968203,0.2284355691694896,0.25443411654610115
Воронежская область,20,2023,0.1180003519532063,0.214142620047438,0.1484428997483215,0.2692113083506708
Воронежская область,20,2024,0.11629407414707077,0.24307095514577964,0.049513800836164516,0.21087150047090342
Нижегородская область,22,2021,0.24733174961430734,0.3744755791162753,0.4843219507827396,0.26599862276920117
Нижегородская область,22,2022,0.23168034419023562,0.3548298398030074,0.1303412008628081,0.2816501697547302
Нижегородская область,22,2024,0.23770277931031034,0.44023400205643953,0.2782043786125697,0.39940836725850404
Ивановская область,24,2020,0.04255500273325111,0.4977937546313747,0.06289503220109936,0.33884059880494344
Ивановская область,24,2021,0.03933015209144092,0.19893084073067874,0.14575392479236518,0.19188369744232775
Ивановская область,24,2022,0.03830514246887159,0.30895171077826855,0.521089400410969,0.0736532407667424
Ивановская область,24,2023,0.04061687392303659,0.18022179367490557,0.08246265728655341,0.09583468370967262
Ивановская область,24,2024,0.03849894301911929,0.1656001394359288,0.018961460164361513,0.11834306617857632
Иркутская область,25,2020,0.20492006886010647,0.22177715545498589,0.3374024883067601,0.27053990753756846
Иркутская область,25,2021,0.2474223909928944,0.16642780804014123,0.10935827393079126,0.17314648387038964
Иркутская область,25,2022,0.2397841357260603,0.17559908113264655,0.1694680436872812,0.28954408724604974
Иркутская область,25,2023,0.22411312705064104,0.18001252630841305,0.34636234849631536,0.2805436097061812
Иркутская область,25,2024,0.2202618782272096,0.17282813792676371,0.5029358805849246,0.19321391493986395
Калининградская область,27,2020,0.11190456110474119,0.11775664330376286,0.08706729612862224,0.22877021747824358
Калининградская область,27,2021,0.12296028949137056,0.13601434374344548,0.5374243734160734,0.18716736869005587
Калининградская область,27,2022,0.07847836879931806,0.20602581241312173,0.06324774016431367,0.16646176388965983
Калининградская область,27,2024,0.0653830426029053,0.8308489690296782,0.0015608777248028018,0.052159780845396235
Тверская область,28,2020,0.07750536570979642,0.616208333748034,0.022376850670660493,0.09585151985063069
Тверская область,28,2021,0.07623372630526747,0.4161127426870057,0.07080174398438606,0.1551469601191513
Тверская область,28,2022,0.06983867791500636,0.29912150247041136,0.032238768216370645,0.16407705755618815
Тверская область,28,2023,0.0746756045510944,0.2740321754462081,0.0773623374040832,0.26130885459500813
Тверская область,28,2024,0.0726852056841331,0.3040629622070657,0.05359127171881891,0.35086943590013425
Калужская область,29,2020,0.15702930718196267,0.12097353534198944,0.028474886596294016,0.20744415752758472
Калужская область,29,2022,0.11653169782462276,0.16898664857079948,0.021025176919965603,0.13370969162304341
Калужская область,29,2023,0.108893897720969,0.15261432389988527,0.02582358832023329,0.18949421758140542
Калужская область,29,2024,0.10929521082823372,0.1563308670416634,0.11498452885998137,0.15895668979369357
Краснодарский край,3,2022,0.21740148190950068,0.387643517370542,0.34828090304069764,0.1371842257930411
Краснодарский край,3,2023,0.20683135367098804,0.39245819992968595,0.4026891019033886,0.1381449770772946
Камчатский край,30,2020,0.030913790670101866,0.3166770339887841,0.027172469908108714,0.518109175380374
Камчатский край,30,2021,0.031960224691756835,0.2972044540618307,0.2772034424148056,0.2479216440481566
Камчатский край,30,2022,0.02725409361282157,0.3482537004365584,0.09318628707645726,0.3357043216794587
Камчатский край,30,2023,0.03183177798005658,0.3091218149541561,0.029153408257473267,0.13073851186820837
Камчатский край,30,2024,0.026796650481787924,0.3399047479473683,0.02833869094129985,0.15790168625455478
Кемеровская область - Кузбасс,32,2021,0.38184885217650755,0.08522881743594347,0.07978082406259494,0.24695455365364608
Кемеровская область - Кузбасс,32,2022,0.370841844895805,0.09086631890188847,0.147648685386091,0.20486066911382564
Кемеровская область - Кузбасс,32,2023,0.2814299684582037,0.10835854987754333,0.01932418711673651,0.2767489584451258
Кемеровская область - Кузбасс,32,2024,0.2213952223162907,0.14079305676810092,0.14449417798011044,0.1551174500054144
Кировская область,33,2020,0.05329677152782236,0.22670644874875903,0.09215767937994093,0.2568306625548468
Кировская область,33,2021,0.06121344274696203,0.271861186143761,0.011331099265166516,0.5974873272355709
Кировская область,33,2022,0.05424956630975957,0.27074692280941104,0.014130255074897345,0.13021219564916028
Кировская область,33,2023,0.05243940866501647,0.31699415572731493,0.019860020866053398,0.22239707795015082
Кировская область,33,2024,0.05536455294000786,0.46229910950028796,0.02356574866818451,0.3199374247766671
Костромская область,34,2021,0.03405146676957791,0.91587097742202,0.007723528925203837,0.1033518285103735
