sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
Производство пищевых продуктов,10,2017.0,0.11017334127796019,0.0005364049633326958,0.7556076278767865,0.00326832646127765
Производство пищевых продуктов,10,2018.0,0.11203675298947408,0.0001274537805842106,0.932372365357145,0.0007872790408029362
Производство текстильных изделий,13,2017.0,0.004088769531835603,0.0034396544115862728,0.34578192196880597,0.019187360686095573
Производство текстильных изделий,13,2018.0,0.004434400004241023,0.011520049754205411,0.2505164395611252,0.0691562254909631
Производство текстильных изделий,13,2022.0,0.005170858396547183,0.014016788463947437,0.40719072478176643,0.6626013704728883
Производство текстильных изделий,13,2023.0,0.005647236125597717,0.002821577588317648,0.4569961662876047,0.503353285055989
Производство одежды,14,2024.0,0.005777581102900589,0.004649477756160058,0.8423588250123901,0.3210525983049701
"Производство одежды, кроме одежды из меха",14.1,2024.0,0.005491553989161445,0.004891645402260517,0.8423588250123901,0.3210525983049701
Деятельность полиграфическая и копирование носителей информации,18,2017.0,0.005154073297551382,0.0169892658501502,0.8110628190143634,0.0075381408115957
Производство кокса и нефтепродуктов,19,2017.0,0.1651917627163503,0.0005688365756892908,0.2635136616859114,0.16552486776778927
Производство кокса и нефтепродуктов,19,2018.0,0.20021580889642607,0.0006603120422342453,0.18892333050093618,0.11103257628601403
Производство химических веществ и химических продуктов,20,2017.0,0.055231566773015245,0.011523295695547808,0.48867621791463683,0.10065117082968317
Производство химических веществ и химических продуктов,20,2018.0,0.0628878808641996,0.01141450882596009,0.4289640343969618,0.06693573877847338
Производство химических веществ и химических продуктов,20,2019.0,0.06110226025077843,0.018504245518997212,0.5081147688960151,0.09252898198741794
Производство химических веществ и химических продуктов,20,2020.0,0.06227029021749591,0.04506301644280418,0.4488735242382558,0.03180933295247232
Производство химических веществ и химических продуктов,20,2021.0,0.08357964141151422,0.020075715450653866,0.5240779627784332,0.015360623640457462
Производство химических веществ и химических продуктов,20,2022.0,0.0799926058609624,0.016470941927646376,0.6087930010060562,0.017968350247194297
Производство химических веществ и химических продуктов,20,2023.0,0.06836209309402698,0.014285956056199898,0.5359974589812234,0.031102358281737706
Производство химических веществ и химических продуктов,20,2024.0,0.06422668234621609,0.026542682737816323,0.4586245599488366,0.012080111954893731
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2017.0,0.041109600877902004,0.008997603889103653,0.47549035920017396,0.09620953125154195
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018.0,0.048010747392442876,0.007177836333885069,0.49230038585975905,0.019848436647057186
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019.0,0.046326054435635304,0.01587091713844524,0.508606408567927,0.0845286493343989
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020.0,0.04541830778512045,0.04834995329968035,0.45687510023867783,0.02390972540474619
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.0667152709103046,0.01721481598273016,0.44644061380039995,0.007976679106622395
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.06219387869606336,0.01073976463800022,0.5297338035088189,0.028321489869677717
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.04904799725874751,0.008769356289405979,0.38042984448327444,0.057085383630657016
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.046106105098658846,0.016446113443256707,0.41170928667316137,0.023129039965554158
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2017.0,0.002344759788461398,0.010180787192200237,0.6244224494372802,0.0312415630990208
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018.0,0.0024708536980332144,0.016675032147725928,0.3838316311684639,0.024394328374855438
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021.0,0.0032078006873507018,0.00712171004014169,0.5824541090312252,0.02846240449489732
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023.0,0.003819153567513941,0.00528842189561158,0.6374891223424511,0.03156607544152458
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2017.0,0.005665690571375261,0.010836921505700887,0.41334827645992595,0.0014096988753553913
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018.0,0.005888039317260876,0.012133167755282082,0.47467152476632757,0.08646086057168642
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.006404036410186564,0.004621037739111778,0.8075071543264846,0.015781456951462703
Производство прочих химических продуктов,20.5,2017.0,0.004820177828155597,0.03761098302963868,0.5232164612251646,0.15246333791879804
Производство прочих химических продуктов,20.5,2018.0,0.0051754404430194275,0.04482423092370129,0.3545668904110269,0.14616334413313584
Производство прочих химических продуктов,20.5,2019.0,0.004819344326133218,0.06263653405869789,0.48956969894375824,0.12474889476405861
Производство прочих химических продуктов,20.5,2020.0,0.005039893769443355,0.11035201304499645,0.3862533381371812,0.064210774672675
Производство прочих химических продуктов,20.5,2021.0,0.005578261883030973,0.08649366118688043,0.6802846269538873,0.032885719897971344
Производство прочих химических продуктов,20.5,2022.0,0.005968304911668839,0.10102736364175248,0.6794565664185365,0.007221202336681223
Производство прочих химических продуктов,20.5,2023.0,0.006592916129611154,0.07573498204088126,0.6398500846147387,0.010261837202237646
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.014012526891164338,0.1434126120837079,0.2301346991276516,0.03590935148392178
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.013575092346812213,0.14999948196772428,0.21084902115578452,0.035406853432571585
Производство фармацевтических субстанций,21.1,2018.0,0.0004570291758430125,0.1247465971993783,0.26859638004980196,0.35974239607558994
Производство фармацевтических субстанций,21.1,2023.0,0.0005456595725703425,0.21273375341415865,0.5017102429812288,0.019742062095993145
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.013466867318593997,0.14060381153242935,0.2134858137238418,0.03690048398609943
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024.0,0.01309320746287955,0.1521931207230928,0.19472151825507047,0.03451055784859897
Производство резиновых и пластмассовых изделий,22,2017.0,0.020534974136802622,0.0038777715264717203,0.5249345208764763,0.2457233604090399
Производство резиновых и пластмассовых изделий,22,2018.0,0.02234738645979862,0.00362276813007952,0.3712063547601268,0.6168237914705134
Производство резиновых и пластмассовых изделий,22,2019.0,0.022697018190626157,0.003868026829433267,0.40269649538320446,0.4044018703640844
Производство резиновых и пластмассовых изделий,22,2020.0,0.02702257664669504,0.002472651332217863,0.49621805098527605,0.14336405785696327
Производство резиновых и пластмассовых изделий,22,2021.0,0.02873919226447822,0.0022349567903222284,0.48015381932058576,0.14430463060646578
Производство резиновых и пластмассовых изделий,22,2022.0,0.026988412796258947,0.0019273002491065083,0.43306883327070855,0.07533835806484318
Производство резиновых и пластмассовых изделий,22,2023.0,0.026734253218935456,0.002888778943500767,0.4823534888427866,0.14122595233701854
Производство резиновых и пластмассовых изделий,22,2024.0,0.02566757181644488,0.0031005415034174966,0.5829331854422642,0.0923473652331103
Производство резиновых изделий,22.1,2017.0,0.004221159689604475,0.015790587937498803,0.4138452883265184,0.29355720279234965
Производство резиновых изделий,22.1,2018.0,0.004565573963364753,0.016830268801200646,0.34767245061216184,0.6498931498963387
Производство резиновых изделий,22.1,2019.0,0.004285237892833883,0.019517469515978603,0.3789224946630985,0.42449540423492926
Производство резиновых изделий,22.1,2020.0,0.0045891009718522025,0.013897932107160555,0.47824582573999197,0.1496134796982481
Производство резиновых изделий,22.1,2021.0,0.005010587817594832,0.012475638216120797,0.4677206714582037,0.14827656144522525
Производство резиновых изделий,22.1,2022.0,0.004673903251642465,0.010719679214131375,0.41222850622385837,0.07821343592947033
