sector,okved2,year,factoriescap_s,RDcosts_s,RDsalary_s,RDequip_s
Производство пищевых продуктов,10,2017.0,0.11017334127796019,0.0005364049633326958,0.7556076278767865,0.0019630065447803586
Производство пищевых продуктов,10,2018.0,0.11203675298947408,0.0001274537805842106,0.932372365357145,0.00047285175699995034
Производство текстильных изделий,13,2017.0,0.004088769531835603,0.0034396544115862728,0.34578192196880597,0.01152422043823096
Производство текстильных изделий,13,2018.0,0.004434400004241023,0.011520049754205411,0.2505164395611252,0.041536280068545546
Производство текстильных изделий,13,2022.0,0.005170858396547183,0.014016788463947437,0.40719072478176643,0.3979684533442386
Производство текстильных изделий,13,2023.0,0.005647236125597717,0.002821577588317648,0.4569961662876047,0.30232163298501663
Производство одежды,14,2024.0,0.005777581102900589,0.004649477756160058,0.8423588250123901,0.19282906991030135
"Производство одежды, кроме одежды из меха",14.1,2024.0,0.005491553989161445,0.004891645402260517,0.8423588250123901,0.19282906991030135
Деятельность полиграфическая и копирование носителей информации,18,2017.0,0.005154073297551382,0.0169892658501502,0.8110628190143634,0.004527521936365468
Производство кокса и нефтепродуктов,19,2017.0,0.1651917627163503,0.0005688365756892908,0.2635136616859114,0.09941675123391865
Производство кокса и нефтепродуктов,19,2018.0,0.20021580889642607,0.0006603120422342453,0.18892333050093618,0.06668785279426041
Производство химических веществ и химических продуктов,20,2017.0,0.055231566773015245,0.011523295695547808,0.48867621791463683,0.06045262290023399
Производство химических веществ и химических продуктов,20,2018.0,0.0628878808641996,0.01141450882596009,0.4289640343969618,0.04020262200199145
Производство химических веществ и химических продуктов,20,2019.0,0.06110226025077843,0.018504245518997212,0.5081147688960151,0.05557431284026651
Производство химических веществ и химических продуктов,20,2020.0,0.06227029021749591,0.04506301644280418,0.4488735242382558,0.019105168810581722
Производство химических веществ и химических продуктов,20,2021.0,0.08357964141151422,0.020075715450653866,0.5240779627784332,0.009225824009740606
Производство химических веществ и химических продуктов,20,2022.0,0.0799926058609624,0.016470941927646376,0.6087930010060562,0.010792064242064636
Производство химических веществ и химических продуктов,20,2023.0,0.06836209309402698,0.014285956056199898,0.5359974589812234,0.018680549078713363
Производство химических веществ и химических продуктов,20,2024.0,0.06422668234621609,0.026542682737816323,0.4586245599488366,0.007255498834062574
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2017.0,0.041109600877902004,0.008997603889103653,0.47549035920017396,0.05778490666541262
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018.0,0.048010747392442876,0.007177836333885069,0.49230038585975905,0.011921272707439501
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019.0,0.046326054435635304,0.01587091713844524,0.508606408567927,0.050769191459534825
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020.0,0.04541830778512045,0.04834995329968035,0.45687510023867783,0.01436054445891254
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.0667152709103046,0.01721481598273016,0.44644061380039995,0.004790914701278463
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.06219387869606336,0.01073976463800022,0.5297338035088189,0.017010317246697184
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.04904799725874751,0.008769356289405979,0.38042984448327444,0.034286348994179525
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.046106105098658846,0.016446113443256707,0.41170928667316137,0.01389165291924988
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2017.0,0.002344759788461398,0.010180787192200237,0.6244224494372802,0.018764157607613147
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018.0,0.0024708536980332144,0.016675032147725928,0.3838316311684639,0.014651604367772618
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021.0,0.0032078006873507018,0.00712171004014169,0.5824541090312252,0.01709495271222936
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023.0,0.003819153567513941,0.00528842189561158,0.6374891223424511,0.01895906465247056
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2017.0,0.005665690571375261,0.010836921505700887,0.41334827645992595,0.0008466865691900236
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018.0,0.005888039317260876,0.012133167755282082,0.47467152476632757,0.05192970689446198
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.006404036410186564,0.004621037739111778,0.8075071543264846,0.009478582892169364
Производство прочих химических продуктов,20.5,2017.0,0.004820177828155597,0.03761098302963868,0.5232164612251646,0.0915717978970385
Производство прочих химических продуктов,20.5,2018.0,0.0051754404430194275,0.04482423092370129,0.3545668904110269,0.08778792588184942
Производство прочих химических продуктов,20.5,2019.0,0.004819344326133218,0.06263653405869789,0.48956969894375824,0.07492608213324992
Производство прочих химических продуктов,20.5,2020.0,0.005039893769443355,0.11035201304499645,0.3862533381371812,0.03856596714595154
Производство прочих химических продуктов,20.5,2021.0,0.005578261883030973,0.08649366118688043,0.6802846269538873,0.019751663169013937
Производство прочих химических продуктов,20.5,2022.0,0.005968304911668839,0.10102736364175248,0.6794565664185365,0.004337163871490085
Производство прочих химических продуктов,20.5,2023.0,0.006592916129611154,0.07573498204088126,0.6398500846147387,0.006163415383415639
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.014012526891164338,0.1434126120837079,0.2301346991276516,0.021567702252791712
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.013575092346812213,0.14999948196772428,0.21084902115578452,0.021265894286168267
Производство фармацевтических субстанций,21.1,2018.0,0.0004570291758430125,0.1247465971993783,0.26859638004980196,0.2160667504602014
Производство фармацевтических субстанций,21.1,2023.0,0.0005456595725703425,0.21273375341415865,0.5017102429812288,0.011857382535386382
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.013466867318593997,0.14060381153242935,0.2134858137238418,0.02216299149686517
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024.0,0.01309320746287955,0.1521931207230928,0.19472151825507047,0.02072756553650347
