sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s
Добыча угля,05,2021.0,0.0929461744215247,0.0289395815225919,0.028210331518909,0.0080037238070665
Добыча угля,05,2022.0,0.1027666205985764,0.0237599743598604,0.1557604047788698,0.0156275048620426
Добыча и обогащение угля и антрацита,05.1,2022.0,0.0970642839631023,0.0226280236924156,0.1729467574885556,0.0173732714648342
Добыча нефти и природного газа,06,2021.0,0.7029330320247307,0.0546830890959164,0.207747242310694,0.0164770676018078
Добыча нефти и природного газа,06,2022.0,0.710610060995402,0.0490349334371947,0.0091049425549766,0.0148792341445633
Добыча нефти и природного газа,06,2023.0,0.6444511805612199,0.0558296351961254,0.0006337016799164,0.0277020957571635
Добыча нефти и природного газа,06,2024.0,0.6375284558981734,0.0590038877784888,0.0042132568017978,0.0112253865033797
Добыча нефти и нефтяного (попутного) газа,06.1,2021.0,0.5830252345305068,0.0544530947858012,0.251531476452336,0.0078814494858544
Добыча нефти и нефтяного (попутного) газа,06.1,2022.0,0.5664938978953121,0.0441375777426548,0.0126885039896894,0.0140978753323757
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,0.5225057649832335,0.0521235098198389,0.000830044803474,0.0304370754920086
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,0.5170809936634365,0.058216440723753,0.0052461523732571,0.0084405823691531
Добыча металлических руд,07,2021.0,0.0983450030742452,0.0675800344258864,0.3151795903431258,0.0394126388662801
Добыча металлических руд,07,2022.0,0.0626329415616188,0.1076554931371083,0.2167058862799623,0.0182030774965562
Добыча металлических руд,07,2023.0,0.0675121605223906,0.0923010784957869,0.7486752612532511,0.010685719393293
Добыча металлических руд,07,2024.0,0.066940786279928,0.0756735911489675,0.5484326187559337,0.0204195307457479
Добыча руд цветных металлов,07.2,2021.0,0.0533559639352837,0.0841456935296079,0.4665669042776595,0.0319270546683653
Добыча руд цветных металлов,07.2,2022.0,0.0408282540467356,0.1227597049435168,0.2915365883217229,0.0206156269497473
Добыча руд цветных металлов,07.2,2023.0,0.0483415753552965,0.0984014684601408,0.6372137487490449,0.0116399702710638
Добыча руд цветных металлов,07.2,2024.0,0.0471076907687036,0.0739719423315277,0.3990097305593179,0.0261809819079805
Добыча прочих полезных ископаемых,08,2024.0,0.02473030623588,0.2019213560157924,0.000765652539494,0.0019574289650434
"Добыча камня, песка и глины",08.1,2021.0,0.0127779201301691,0.028311717513016,0.0050739603075792,0.012477758005542
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.0976198461773598,0.1380336333350893,0.0026601786797491,0.0028332359974798
