sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s
Добыча угля,05,2021.0,0.034036943671159024,0.028939581522591913,0.021168518427510188,0.0007324174057707028
Добыча угля,05,2022.0,0.037633196829874815,0.0237599743598604,0.11687976784774298,0.0014300664097904967
Добыча и обогащение угля и антрацита,05.1,2022.0,0.035544997804324914,0.022628023692415684,0.12977609357127506,0.0015898207787716965
Добыча нефти и природного газа,06,2021.0,0.2574144892410116,0.054683089095916404,0.15588974288269636,0.0015078095394758133
Добыча нефти и природного газа,06,2022.0,0.26022582175967507,0.04903493343719475,0.006832182887579857,0.0013615924705440501
Добыча нефти и природного газа,06,2023.0,0.23599840088194488,0.055829635196125424,0.000475518186656686,0.0025350071539149903
Добыча нефти и природного газа,06,2024.0,0.2334632950438235,0.05900388777848887,0.0031615510859526598,0.0010272304067164228
Добыча нефти и нефтяного (попутного) газа,06.1,2021.0,0.2135041833629627,0.0544530947858012,0.18874463388745166,0.0007212281339650636
Добыча нефти и нефтяного (попутного) газа,06.1,2022.0,0.2074503981763958,0.044137577742654824,0.009521222050979446,0.0012900906536406197
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,0.19134191806469425,0.05212350981983896,0.0006228504867523913,0.0027852840013571885
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,0.1893553636207914,0.05821644072375303,0.0039366170905287805,0.0007723941494021786
Добыча металлических руд,07,2021.0,0.03601399789513932,0.06758003442588649,0.23650501808819574,0.0036066340379626964
Добыча металлических руд,07,2022.0,0.02293621999140741,0.10765549313710834,0.16261214597894658,0.0016657559803974842
Добыча металлических руд,07,2023.0,0.024722992840969456,0.09230107849578698,0.5617922658384045,0.0009778456960145775
Добыча металлических руд,07,2024.0,0.024513755257745736,0.07567359114896757,0.4115338378282069,0.0018685826868052905
Добыча руд цветных металлов,07.2,2021.0,0.01953898533520573,0.08414569352960795,0.3501032982986362,0.00292163137032012
Добыча руд цветных металлов,07.2,2022.0,0.014951330615052055,0.12275970494351687,0.21876374044187463,0.0018865273681157504
Добыча руд цветных металлов,07.2,2023.0,0.017702713291686274,0.09840146846014083,0.4781535790749426,0.0010651687932626652
Добыча руд цветных металлов,07.2,2024.0,0.017250864031273388,0.07397194233152778,0.2994096268751489,0.0023958106641114667
Добыча прочих полезных ископаемых,08,2021.0,0.011494562231533403,0.357471625042051,0.0001227554408725222,1.0
Добыча прочих полезных ископаемых,08,2024.0,0.009056252670537331,0.20192135601579247,0.0005745317058924487,0.00017912350289896344
"Добыча камня, песка и глины",08.1,2021.0,0.00467928185761259,0.028311717513016085,0.003807407303932334,0.0011418343971570989
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.0357484450135317,0.13803363333508936,0.0019961495796316695,0.00025926823678976423
Предоставление услуг в области добычи полезных ископаемых,09,2022.0,0.034406060649971995,0.10964843267584917,0.04361069066871318,0.0009370481423198353
Предоставление услуг в области добычи полезных ископаемых,09,2023.0,0.03402499187821016,0.10764832755111142,0.017201013360870605,0.0005009818291351739
Предоставление услуг в области добычи полезных ископаемых,09,2024.0,0.032681314823783406,0.10238202085489374,0.09433223440261558,0.0001811286622498377
Производство пищевых продуктов,10,2021.0,0.13561001580868504,0.058320491375791754,0.02228520903775312,0.0020744444072884004
Производство пищевых продуктов,10,2022.0,0.13181918346877095,0.038633213386214275,0.030122710422287445,0.0021771524748186617
Производство пищевых продуктов,10,2023.0,0.1271083072329171,0.03648310567260539,0.04283962506530899,0.002386684521955363
Производство пищевых продуктов,10,2024.0,0.12202707599950986,0.03449855395514739,0.020272542078337966,0.0015360587645257874
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2021.0,0.03407268628874446,0.016017834891275794,0.07656609331912115,0.002959506068067036
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2022.0,0.03245062627303656,0.02266681217517156,0.056272539072982346,0.0010067791861926956
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2023.0,0.03269743691994858,0.021485691276729415,0.06105515931414371,0.0011295614688031014
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2024.0,0.030836576785754945,0.021656522736046933,0.044188618256668505,0.0013175222209410432
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.2,2022.0,0.007536580615431645,0.015764003294608496,0.032783217011013464,0.011642929225723908
Производство молочной продукции,10.5,2021.0,0.019221176143303282,0.2122038307559045,0.020983166184735398,0.0006349419887470514
Производство молочной продукции,10.5,2022.0,0.019825937094591895,0.06541723130466123,0.05356214872384603,0.0010705979615171235
Производство молочной продукции,10.5,2023.0,0.01921212704692986,0.07792619764218721,0.025014332598450307,0.0019640632333446403
Производство молочной продукции,10.5,2024.0,0.01869443625019503,0.06841063964263736,0.02126183161469207,0.0020752421212578897
Производство хлебобулочных и мучных кондитерских изделий,10.7,2021.0,0.011066714683403929,0.1242518683133167,0.021126933327028544,0.002718220694064484
Производство хлебобулочных и мучных кондитерских изделий,10.7,2022.0,0.011442498868560918,0.1301592237297324,0.01591990107073125,0.0002141175350356503
Производство хлебобулочных и мучных кондитерских изделий,10.7,2023.0,0.010926417329676646,0.08234581953822279,0.03396251636213197,0.004678262318042368
Производство хлебобулочных и мучных кондитерских изделий,10.7,2024.0,0.010831923351500433,0.07380916982574037,0.03201027220615586,0.0011812992996762493
Производство прочих пищевых продуктов,10.8,2021.0,0.024842738834044375,0.04816622340633403,0.009468713057929994,0.0007137619317013163
Производство прочих пищевых продуктов,10.8,2022.0,0.023831080018411607,0.033683234957157034,0.011997568743415966,0.008562602447868708
Производство прочих пищевых продуктов,10.8,2023.0,0.022917606983240853,0.03645172446469329,0.03422195660456059,0.0016371339848593805
Производство прочих пищевых продуктов,10.8,2024.0,0.022769916050749586,0.033068583695156556,0.001922836342679408,0.0020433913765007224
Производство готовых кормов для животных,10.9,2021.0,0.0105949788211891,0.012170227254381957,0.030459535382633938,0.050470697121556676
Производство готовых кормов для животных,10.9,2022.0,0.010474293617832456,0.016184007792859646,0.018624353734443093,0.0005864151149797874
Производство напитков,11,2021.0,0.015374343183751032,0.07571514791831375,0.00466859082785756,0.0015520702965021525
Производство напитков,11,2022.0,0.0160185190486299,0.05702650966363811,7.568216877674841e-05,0.0009941212559483501
Производство напитков,11,2023.0,0.015696277447931898,0.059767000853937706,0.0003046126720131945,0.000721314951734936
Производство текстильных изделий,13,2021.0,0.005279697494555245,0.06569188532755445,0.04253853622321296,0.00195750731882751
Производство текстильных изделий,13,2022.0,0.005170858396547183,0.03958737173922076,0.033032532123073235,0.0007045572461644767
Производство текстильных изделий,13,2023.0,0.005647236125597717,0.037812660496831185,0.004530886881125718,0.001936758133079858
Производство прочих текстильных изделий,13.9,2021.0,0.003679552428116213,0.07016439145672501,0.05692841924009366,0.0022956111179330734
Производство прочих текстильных изделий,13.9,2022.0,0.003435902418493134,0.0356447663042506,0.055185781125195864,0.0011012108297918626
Производство одежды,14,2023.0,0.005104975116536055,0.04727312422544632,0.0055935888221413975,3.3725652491657926e-05
"Производство одежды, кроме одежды из меха",14.1,2023.0,0.004768624276979367,0.04728821690607336,0.005986216638300506,3.609293934583742e-05
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2021.0,0.017767812399369684,0.04172805118400314,0.002989333153046228,0.0016350119946337265
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2022.0,0.012861065526862038,0.05812451623587913,0.01679860530808358,0.0011086897992383506
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2023.0,0.010935900034851218,0.07542833247487049,0.013550080860955814,0.0007435580980572076
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2024.0,0.010971416605174282,0.05506467757441156,0.016146058373618627,0.001369668835146565
Распиловка и строгание древесины,16.1,2022.0,0.005099109675772105,0.01900304215776095,0.007055417764376611,0.0012689933383146026
Распиловка и строгание древесины,16.1,2023.0,0.004292254997482866,0.05805954161763532,0.0035924238425663136,0.00021970918465477886
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2021.0,0.010800272602958108,0.05908433775078377,0.0034219058757456572,0.0015559364828918213
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2022.0,0.007761955851089934,0.08382482822286222,0.018249629679628607,0.0010848162628827047
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2024.0,0.006809238182534674,0.07165854866635846,0.0007423920468959545,0.0016958398927499506
Производство бумаги и бумажных изделий,17,2021.0,0.020691005944294235,0.06588230656546906,0.03717560015042103,0.0040014515970026145
Производство бумаги и бумажных изделий,17,2024.0,0.01637801724932799,0.06820741840576677,0.00991310982533316,0.0012682156147082616
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2021.0,0.009327600541395063,0.06547192653813828,0.05901318928578652,0.008184980409714417
Производство изделий из бумаги и картона,17.2,2024.0,0.009452678475763712,0.06904985422014337,0.016139834085768853,0.000811505885524132
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.004957823393678177,0.19783315518416375,0.014775306397487168,0.0013245316748579595
Деятельность полиграфическая и копирование носителей информации,18,2022.0,0.005082862910465706,0.057946659446268124,0.00031296419730933526,0.0029908827799390416
Деятельность полиграфическая и копирование носителей информации,18,2023.0,0.0050315970407804455,0.15124658488790213,0.005945481345726921,0.0017281991594547733
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2021.0,0.004947137129069116,0.1981534458479184,0.014766594544324446,0.0013191958590725303
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2022.0,0.0050578689189167214,0.05621653635456676,0.0003241901420573091,0.0029483319489117753
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2023.0,0.00502485932920904,0.14687671348791656,0.006130580459761659,0.0017820027313927404
Производство кокса и нефтепродуктов,19,2021.0,0.1978091093339837,0.07496485396421024,0.006836860296952818,0.0004018043961133848
Производство кокса и нефтепродуктов,19,2022.0,0.184449915587286,0.0676487243060573,0.9936130467850969,0.00034928913693726277
Производство кокса и нефтепродуктов,19,2023.0,0.16889353862434597,0.09761237286466712,0.6890645786443064,0.0004866056218714597
Производство кокса и нефтепродуктов,19,2024.0,0.15619482149407943,0.09102923156700028,0.06880709428606131,0.0007025338267895169
Производство нефтепродуктов,19.2,2021.0,0.1927327208023622,0.07664272026935723,0.006849805404879225,0.0003989788478694976
Производство нефтепродуктов,19.2,2022.0,0.180817938457849,0.06856679408720462,1.0,0.00035153437051517353
Производство нефтепродуктов,19.2,2023.0,0.16598609130884787,0.09906721344913265,0.6908379476313544,0.00046842641958590696
Производство нефтепродуктов,19.2,2024.0,0.15350954413272996,0.09221080031246676,0.06911360592853695,0.0006615465964485492
Производство химических веществ и химических продуктов,20,2021.0,0.08357964141151422,0.06402369412257673,0.05244460078879428,0.010741006175528612
Производство химических веществ и химических продуктов,20,2022.0,0.0799926058609624,0.053948725633877134,0.02665665978008953,0.00406427251339916
Производство химических веществ и химических продуктов,20,2023.0,0.06836209309402698,0.084505888098242,0.0068263312176477225,0.0022086283177876007
Производство химических веществ и химических продуктов,20,2024.0,0.06422668234621609,0.11917697402923219,0.0051595095287011086,0.001317669845380821
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.0667152709103046,0.06388637917218583,0.061546915391764254,0.013326806455899788
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.06219387869606336,0.056323809773428005,0.02802740296492359,0.004497570177081654
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.04904799725874751,0.09468916507013003,0.007227010412340986,0.0023858471986341633
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.046106105098658846,0.13535832241119342,0.005627163238659613,0.0012372002633796984
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023.0,0.007114952120869406,0.07352158253569564,0.010574516588780485,0.0002758185006139979
