sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s
Добыча угля,05,2021.0,0.034036943671159,0.0088361508885336,0.0012502868633092,0.0001742200085221
Добыча угля,05,2022.0,0.0376331968298748,0.0080211640795389,0.0062666122342304,0.0003087947134759
Добыча и обогащение угля и антрацита,05.1,2022.0,0.0355449978043249,0.0072151512112133,0.006258874106455,0.0003087947134759
Добыча нефти и природного газа,06,2021.0,0.2574144892410116,0.1262717936767484,0.131576997541981,0.0051254156049699
Добыча нефти и природного газа,06,2022.0,0.260225821759675,0.1144659453735495,0.0052274737945621,0.0041956542398823
Добыча нефти и природного газа,06,2023.0,0.2359984008819448,0.1181936572022,0.0003756794022707,0.0080658401498203
Добыча нефти и природного газа,06,2024.0,0.2334632950438235,0.1235718531956885,0.0026114147042804,0.0034171471169599
Добыча нефти и нефтяного (попутного) газа,06.1,2021.0,0.2135041833629627,0.1042915872317887,0.131576997541981,0.0020248748544276
Добыча нефти и нефтяного (попутного) газа,06.1,2022.0,0.2074503981763958,0.0821378042655109,0.0052274737945621,0.0028525913991965
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,0.1913419180646942,0.0894672515160261,0.000372480880797,0.0067082591381754
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,0.1893553636207914,0.0988879973428863,0.002602093135426,0.0020561690029879
Добыча металлических руд,07,2021.0,0.0360139978951393,0.0218328315609671,0.0345148909651709,0.0021197682933575
Добыча металлических руд,07,2022.0,0.0229362199914074,0.0221502361558213,0.024076171246921,0.0009932669673118
Добыча металлических руд,07,2023.0,0.0247229928409694,0.02047048533096,0.0768705479865282,0.0005388584760155
Добыча металлических руд,07,2024.0,0.0245137552577457,0.0166408118701126,0.0457758210543971,0.0008370725144542
Добыча руд цветных металлов,07.2,2021.0,0.0195389853352057,0.0147487163026912,0.0345148909651709,0.001159994396882
Добыча руд цветных металлов,07.2,2022.0,0.014951330615052,0.0164647826370274,0.024076171246921,0.0008361715022657
Добыча руд цветных металлов,07.2,2023.0,0.0177027132916862,0.0156265007067266,0.0499442192542082,0.0004480808883971
Добыча руд цветных металлов,07.2,2024.0,0.0172508640312733,0.0114471716542174,0.0229097334842315,0.0007382899209459
Добыча прочих полезных ископаемых,08,2024.0,0.0090562526705373,0.0164040508057476,6.299719141014664e-05,7.910062770740556e-05
"Добыча камня, песка и глины",08.1,2021.0,0.0046792818576125,0.0011884084821688,3.0244831076092683e-05,3.6529616697119554e-05
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.0357484450135317,0.0442651964511333,0.0005906246374271,0.000308949830105
Предоставление услуг в области добычи полезных ископаемых,09,2022.0,0.0344060606499719,0.0338421307843976,0.0098652193441263,0.0008536814687068
Предоставление услуг в области добычи полезных ископаемых,09,2023.0,0.0340249918782101,0.0328568282661002,0.003777772080638,0.0004431225613497
Предоставление услуг в области добычи полезных ископаемых,09,2024.0,0.0326813148237834,0.0300153587755505,0.018926039493049,0.0001463547994838
Производство пищевых продуктов,10,2021.0,0.135610015808685,0.0709468735163477,0.0105683224498464,0.0039619711887331
Производство пищевых продуктов,10,2022.0,0.1318191834687709,0.0456835421944647,0.0091983493348532,0.0026774715620131
Производство пищевых продуктов,10,2023.0,0.1271083072329171,0.0415993032696448,0.011912085438775,0.0026727437587476
Производство пищевых продуктов,10,2024.0,0.1220270759995098,0.037763950274218,0.0051173097938522,0.0015615701487594
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2021.0,0.0340726862887444,0.0048958771091885,0.0025056654123115,0.0003900551293992
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2022.0,0.0324506262730365,0.0065983272262945,0.0024819123633928,0.0001788316273045
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2023.0,0.0326974369199485,0.0063020720270888,0.0025719458040563,0.0001916326399385
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2024.0,0.0308365767857549,0.0059906673782634,0.001769463913938,0.0002124757671688
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.2,2022.0,0.0075365806154316,0.0010657643443615,0.0002335440659072,0.0003340409381314
Производство молочной продукции,10.5,2021.0,0.0192211761433032,0.0365892492804275,0.0051319285450746,0.0006254085258645
Производство молочной продукции,10.5,2022.0,0.0198259370945918,0.011634459277272,0.0041654341815013,0.0003353118227925
Производство молочной продукции,10.5,2023.0,0.0192121270469298,0.0134301003038329,0.0022455579023528,0.0007100860367177
Производство молочной продукции,10.5,2024.0,0.018694436250195,0.0114724545255154,0.0016304710833873,0.000640916377262
Производство хлебобулочных и мучных кондитерских изделий,10.7,2021.0,0.0110667146834039,0.0123350797520456,0.0017419452672549,0.0009026157903494
Производство хлебобулочных и мучных кондитерских изделий,10.7,2022.0,0.0114424988685609,0.0133602981083691,0.0014217151617071,7.700955862774884e-05
Производство хлебобулочных и мучных кондитерских изделий,10.7,2023.0,0.0109264173296766,0.0080712288440341,0.0018322958727666,0.0010164838464768
Производство хлебобулочных и мучных кондитерских изделий,10.7,2024.0,0.0108319233515004,0.0071719329301041,0.0015345522079663,0.000228072234008
Производство прочих пищевых продуктов,10.8,2021.0,0.0248427388340443,0.0107340197530353,0.0006793747906209,0.0002062490809399
Производство прочих пищевых продуктов,10.8,2022.0,0.0238310800184116,0.0072007517781997,0.0005774669972965,0.0016598157128726
Производство прочих пищевых продуктов,10.8,2023.0,0.0229176069832408,0.0074938960903036,0.0017142280010221,0.0003302692509672
Производство прочих пищевых продуктов,10.8,2024.0,0.0227699160507495,0.0067545643718476,8.681519568518911e-05,0.0003715567468125
Производство готовых кормов для животных,10.9,2021.0,0.0105949788211891,0.0011566956477833,0.0002355040920128,0.0015715733494528
Производство готовых кормов для животных,10.9,2022.0,0.0104742936178324,0.0015206565731863,0.0001893077687911,2.4005599153116208e-05
Производство напитков,11,2021.0,0.015374343183751,0.0104423841769509,0.0003258678843555,0.0004363021016491
Производство напитков,11,2022.0,0.0160185190486299,0.0081944436650279,4.14542559396778e-06,0.000219298208734
Производство напитков,11,2023.0,0.0156962774479318,0.0084154714434002,1.7134936466021836e-05,0.0001634103784203
Производство текстильных изделий,13,2021.0,0.0052796974945552,0.0031112942526102,0.0008846667604593,0.0001639535149406
Производство текстильных изделий,13,2022.0,0.0051708583965471,0.0018362830896706,0.0004054502592606,3.482829154441608e-05
Производство текстильных изделий,13,2023.0,0.0056472361255977,0.0019155500471124,5.80139991778168e-05,9.98723208332456e-05
Производство прочих текстильных изделий,13.9,2021.0,0.0036795524281162,0.0023159654644919,0.0008812868406202,0.0001431220831966
Производство прочих текстильных изделий,13.9,2022.0,0.0034359024184931,0.0010986438110331,0.0004052660181231,3.256894103588749e-05
Производство одежды,14,2023.0,0.005104975116536,0.0021648522208633,8.094217606806506e-05,1.96546297372878e-06
"Производство одежды, кроме одежды из меха",14.1,2023.0,0.0047686242769793,0.0020228625049638,8.094217606806506e-05,1.96546297372878e-06
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2021.0,0.0177678123993696,0.0066509300955438,0.0001328962674789,0.0002927383204727
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2022.0,0.012861065526862,0.0067058930539197,0.0007529843169451,0.0002001441613425
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2023.0,0.0109359000348512,0.0073996190039067,0.000670204481641,0.0001481155029156
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2024.0,0.0109714166051742,0.0054194614033126,0.0005848961026947,0.0001998241399096
Распиловка и строгание древесины,16.1,2022.0,0.0050991096757721,0.0008692362024122,4.09936530959036e-05,2.9694320969232825e-05
Распиловка и строгание древесины,16.1,2023.0,0.0042922549974828,0.0022355245234491,5.368130809997984e-05,1.3222205459629971e-05
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2021.0,0.0108002726029581,0.0057243662190188,0.0001309337333788,0.0002397703762619
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2022.0,0.0077619558510899,0.0058366568515074,0.0007119906638492,0.0001704498403733
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2024.0,0.0068092381825346,0.0043771038876554,2.172082150868653e-05,0.0001998241399096
Производство бумаги и бумажных изделий,17,2021.0,0.0206910059442942,0.0122284305611422,0.0030386787709333,0.0013172388776449
Производство бумаги и бумажных изделий,17,2024.0,0.0163780172493279,0.0100210506458198,0.0006640170888799,0.0003421232615921
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2021.0,0.009327600541395,0.0054782945616699,0.0021609790065294,0.0012070889517415
Производство изделий из бумаги и картона,17.2,2024.0,0.0094526784757637,0.0058551492885188,0.0006316741728403,0.0001279104118356
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.0049578233936781,0.0087985367139641,0.0008689664876584,0.0003137249433987
Деятельность полиграфическая и копирование носителей информации,18,2022.0,0.0050828629104657,0.0026421478828145,5.527234125290373e-06,0.0002127319713186
Деятельность полиграфическая и копирование носителей информации,18,2023.0,0.0050315970407804,0.0068267146618944,0.000271303160712,0.0003176009487093
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2021.0,0.0049471371290691,0.0087937861158081,0.0008679852206084,0.0003122924094106
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2022.0,0.0050578689189167,0.0025506564945809,5.527234125290373e-06,0.0002024438573958
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2023.0,0.005024859329209,0.0066205973384243,0.000271303160712,0.0003176009487093
Производство кокса и нефтепродуктов,19,2021.0,0.1978091093339837,0.1330222555316685,0.0060790693077207,0.0014388490754533
Производство кокса и нефтепродуктов,19,2024.0,0.1561948214940794,0.1275462893615459,0.0586620354616557,0.0024121889252819
Производство нефтепродуктов,19.2,2021.0,0.1927327208023622,0.1325093988604641,0.00606709784971,0.0014232225171995
Производство нефтепродуктов,19.2,2024.0,0.1535095441327299,0.1269806348551916,0.0586620354616557,0.0022613833176226
Производство химических веществ и химических продуктов,20,2021.0,0.0835796414115142,0.048002245445574,0.016827454261252,0.0138797859975676
Производство химических веществ и химических продуктов,20,2022.0,0.0799926058609624,0.038712512245441,0.0068978407954523,0.0042355559836847
Производство химических веществ и химических продуктов,20,2023.0,0.0683620930940269,0.051823010968514,0.0023646457107916,0.0030812116343015
Производство химических веществ и химических продуктов,20,2024.0,0.064226682346216,0.0686638520741062,0.0023680597949636,0.0024356283572812
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.0667152709103046,0.0382343621437859,0.0157295472678488,0.013716906883118
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.0621938786960633,0.0314238929053626,0.0058870662789036,0.0038046453925001
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.0490479972587475,0.041662169999184,0.0020125962018569,0.0026758438298926
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.0461061050986588,0.055983973534602,0.0021057621504001,0.0018645755033223
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023.0,0.0071149521208694,0.0046925309872416,0.0003316834130208,3.484229817064656e-05
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.0064040364101865,0.006350641512827,0.0002049859973413,4.4761561616895656e-05
Производство прочих химических продуктов,20.5,2024.0,0.0066362177595517,0.0045843738649532,5.731164722213622e-05,0.0001533776827355
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.0140125268911643,0.0131542687850257,0.0003785189060279,0.0007180282939161
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.0135750923468122,0.0146108162582419,0.0055839670045412,0.0008790532528727
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2023.0,0.0134668673185939,0.0127050734281439,0.0003785189060279,0.0006900651161535
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.2,2024.0,0.0130932074628795,0.0142937846606841,0.0055839670045412,0.0008512450208889
Производство резиновых и пластмассовых изделий,22,2021.0,0.0287391922644782,0.0125852101959388,0.0001782744170602,0.0011984459966799
