sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s
Добыча угля,05,2021.0,0.024547550334657026,0.008836150888533649,0.0012502868633092476,0.0001742200085221447
Добыча угля,05,2022.0,0.03212305276394929,0.00802116407953892,0.006266612234230467,0.00030879471347590454
Добыча и обогащение угля и антрацита,05.1,2022.0,0.0303406018129284,0.007215151211213325,0.006258874106455059,0.00030879471347590454
Добыча нефти и природного газа,06,2021.0,0.18564813552481316,0.12627179367674843,0.13157699754198104,0.005125415604969966
Добыча нефти и природного газа,06,2022.0,0.2221243079804526,0.11446594537354955,0.005227473794562126,0.004195654239882377
Добыча нефти и природного газа,06,2023.0,0.22743021727430074,0.11819365720220006,0.0003756794022707511,0.008065840149820343
Добыча нефти и природного газа,06,2024.0,0.2696096029318816,0.12357185319568852,0.0026114147042804,0.0034171471169599206
Добыча нефти и нефтяного (попутного) газа,06.1,2021.0,0.15397988545614041,0.10429158723178876,0.13157699754198104,0.002024874854427687
Добыча нефти и нефтяного (попутного) газа,06.1,2022.0,0.17707610960205583,0.08213780426551091,0.005227473794562126,0.002852591399196519
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,0.18439503757868106,0.08946725151602612,0.0003724808807970938,0.006708259138175445
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,0.21867259429042427,0.09888799734288632,0.0026020931354260456,0.0020561690029879784
Добыча металлических руд,07,2021.0,0.02597340803052958,0.021832831560967148,0.03451489096517095,0.0021197682933575567
Добыча металлических руд,07,2022.0,0.019577964856938242,0.02215023615582131,0.024076171246921095,0.0009932669673118788
Добыча металлических руд,07,2023.0,0.023825397174218037,0.02047048533096006,0.07687054798652829,0.0005388584760155686
Добыча металлических руд,07,2024.0,0.028309134505145866,0.01664081187011266,0.045775821054397134,0.0008370725144542686
Добыча руд цветных металлов,07.2,2021.0,0.014091577394197793,0.01474871630269123,0.03451489096517095,0.0011599943968820612
Добыча руд цветных металлов,07.2,2022.0,0.01276219993772358,0.016464782637027442,0.024076171246921095,0.0008361715022657509
Добыча руд цветных металлов,07.2,2023.0,0.017059996657718377,0.015626500706726647,0.04994421925420826,0.00044808088839712253
Добыча руд цветных металлов,07.2,2024.0,0.019921755155689273,0.011447171654217417,0.02290973348423159,0.0007382899209459629
Добыча прочих полезных ископаемых,08,2021.0,0.008289914267258463,0.03685991515246522,3.0244831076092683e-05,0.9922716462630453
Добыча прочих полезных ископаемых,08,2024.0,0.010458400692477327,0.016404050805747653,6.299719141014664e-05,7.910062770740556e-05
"Добыча камня, песка и глины",08.1,2021.0,0.00337471272507709,0.0011884084821688005,3.0244831076092683e-05,3.6529616697119554e-05
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.025781890460951206,0.0442651964511333,0.000590624637427187,0.0003089498301050504
Предоставление услуг в области добычи полезных ископаемых,09,2022.0,0.02936842454960705,0.03384213078439761,0.009865219344126394,0.0008536814687068474
Предоставление услуг в области добычи полезных ископаемых,09,2023.0,0.0327896768228046,0.03285682826610021,0.0037777720806380552,0.00044312256134976133
Предоставление услуг в области добычи полезных ископаемых,09,2024.0,0.037741248838615536,0.030015358775550536,0.018926039493049097,0.00014635479948389054
Производство пищевых продуктов,10,2021.0,0.09780236795373749,0.0709468735163477,0.010568322449846493,0.003961971188733177
Производство пищевых продуктов,10,2022.0,0.11251859907119476,0.04568354219446475,0.009198349334853237,0.0026774715620131555
Производство пищевых продуктов,10,2023.0,0.12249349920727598,0.041599303269644824,0.011912085438775054,0.0026727437587476892
Производство пищевых продуктов,10,2024.0,0.14092010266963284,0.03776395027421804,0.005117309793852299,0.0015615701487594487
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2021.0,0.02457332802235859,0.004895877109188565,0.00250566541231155,0.00039005512939924327
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2022.0,0.027699299230525144,0.006598327226294546,0.0024819123633928876,0.00017883162730451696
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2023.0,0.0315103202192315,0.006302072027088869,0.0025719458040563224,0.00019163263993855604
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2024.0,0.0356108964427375,0.0059906673782634265,0.0017694639139380465,0.00021247576716880852
