sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s
Добыча нефти и природного газа,06,2020.0,0.42048121537474215,0.02666666666666667,0.01390885066530669
Добыча прочих полезных ископаемых,08,2024.0,0.024168798326531116,0.013333333333333334,0.004172655199592007
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2024.0,0.010702506474269877,0.013333333333333334,0.004172655199592007
Предоставление услуг в области добычи полезных ископаемых,09,2019.0,0.11385186749146203,0.05333333333333334,0.0007489381127472833
Предоставление услуг в области добычи полезных ископаемых,09,2020.0,0.11086033424644434,0.05333333333333334,0.0007846018324019158
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.09540336267670316,0.05333333333333334,0.003994336601318844
Предоставление услуг в области добычи полезных ископаемых,09,2022.0,0.09182088566994819,0.09333333333333334,0.0038445489787693873
Предоставление услуг в области добычи полезных ископаемых,09,2023.0,0.09080391158272849,0.08,0.0034807790382921353
Предоставление услуг в области добычи полезных ископаемых,09,2024.0,0.0872179847180686,0.05333333333333334,0.002539256839409837
Производство пищевых продуктов,10,2018.0,0.2989971444780063,0.04,0.0028174338527159706
Производство пищевых продуктов,10,2019.0,0.3189195314791132,0.06666666666666667,0.005813186303705103
Производство пищевых продуктов,10,2020.0,0.34444078837994835,0.06666666666666667,0.006597788136107019
Производство пищевых продуктов,10,2021.0,0.3619080918314684,0.09333333333333334,0.0076997970734351655
Производство пищевых продуктов,10,2022.0,0.3517913398319198,0.13333333333333333,0.009269000738238995
Производство пищевых продуктов,10,2023.0,0.3392192284048604,0.10666666666666667,0.00555640752219175
Производство пищевых продуктов,10,2024.0,0.32565873518560434,0.13333333333333333,0.008837469730417944
Производство прочих пищевых продуктов,10.8,2024.0,0.06076702240574285,0.08,0.007303929785268744
Производство напитков,11,2020.0,0.04014174212027376,0.013333333333333334,7.132743930926508e-05
Производство текстильных изделий,13,2018.0,0.011834267803761607,0.08,0.0023538054972057475
Производство текстильных изделий,13,2019.0,0.01188958416138605,0.05333333333333334,0.0019615045810047896
Производство текстильных изделий,13,2020.0,0.015110453956024613,0.06666666666666667,0.002881628548094309
Производство текстильных изделий,13,2021.0,0.014090148388431199,0.06666666666666667,0.009040752932449348
Производство текстильных изделий,13,2022.0,0.01379968495885439,0.06666666666666667,0.009375991897202894
Производство текстильных изделий,13,2023.0,0.015071014026132958,0.05333333333333334,0.0082204873803928
Производство текстильных изделий,13,2024.0,0.014423447878030292,0.05333333333333334,0.00565626593722472
