sector,okved2,year,factoriescap_s,researchorg_s,researchersavg_s,researchers_s
Добыча нефти и природного газа,06,2020.0,0.15755785944343395,0.003134796238244514,0.003642289786178911,0.0034231107518957853
Предоставление услуг в области добычи полезных ископаемых,09,2019.0,0.042661255437071714,0.006269592476489028,0.00019612329617886445,0.0003090308317683695
Предоставление услуг в области добычи полезных ископаемых,09,2020.0,0.04154030268744939,0.006269592476489028,0.00020546250075881037,0.0002852592293246488
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.0357484450135317,0.006269592476489028,0.0010459909129539437,0.0009191686278238682
Предоставление услуг в области добычи полезных ископаемых,09,2022.0,0.034406060649971995,0.0109717868338558,0.0010067662537181707,0.000586366193611778
Предоставление услуг в области добычи полезных ископаемых,09,2023.0,0.03402499187821016,0.009404388714733543,0.0009115063670027223,0.0007923867481240244
Предоставление услуг в области добычи полезных ископаемых,09,2024.0,0.032681314823783406,0.006269592476489028,0.00066495136609215,0.0005942900610930183
Производство пищевых продуктов,10,2018.0,0.11203675298947408,0.004702194357366771,0.0007377971618157281,0.0006259855310179793
Производство пищевых продуктов,10,2019.0,0.11950183950493379,0.007836990595611285,0.0015222903465311858,0.001592697363729289
Производство пищевых продуктов,10,2020.0,0.12906486981537912,0.007836990595611285,0.0017277528472899963,0.0015372302913606072
Производство пищевых продуктов,10,2021.0,0.13561001580868504,0.0109717868338558,0.0020163342688103254,0.0017907940507602951
Производство пищевых продуктов,10,2022.0,0.13181918346877095,0.01567398119122257,0.002427259270327946,0.002210759027266028
Производство пищевых продуктов,10,2023.0,0.1271083072329171,0.012539184952978056,0.0014550480735555753,0.0014738393515106854
Производство пищевых продуктов,10,2024.0,0.12202707599950986,0.01567398119122257,0.0023142548949106004,0.0022266067622285085
Производство прочих пищевых продуктов,10.8,2024.0,0.022769916050749586,0.009404388714733543,0.0019126690979729257,0.0017907940507602951
Производство напитков,11,2020.0,0.015041449490589014,0.001567398119122257,1.8678409159891853e-05,1.584773496248049e-05
Производство текстильных изделий,13,2018.0,0.004434400004241023,0.009404388714733543,0.0006163875022764311,0.0004675081813931744
Производство текстильных изделий,13,2019.0,0.004455127510205225,0.006269592476489028,0.000513656251897026,0.00047543204887441463
Производство текстильных изделий,13,2020.0,0.005662014600124315,0.007836990595611285,0.0007546077300596308,0.0006656048684241805
Производство текстильных изделий,13,2021.0,0.005279697494555245,0.007836990595611285,0.0023674883610162924,0.0021235964849723853
Производство текстильных изделий,13,2022.0,0.005170858396547183,0.007836990595611285,0.0024552768840677835,0.002083977147566184
Производство текстильных изделий,13,2023.0,0.005647236125597717,0.006269592476489028,0.002152686655677536,0.001822489520685256
Производство текстильных изделий,13,2024.0,0.005404587625706575,0.006269592476489028,0.0014811978463794239,0.001529306423879367
Производство текстильных тканей,13.2,2020.0,0.0013503001950036589,0.001567398119122257,4.669602289972963e-05,3.961933740620122e-05
Производство одежды,14,2021.0,0.003930290621937425,0.003134796238244514,0.0009619380717344304,0.0008320060855302256
Производство одежды,14,2024.0,0.005777581102900589,0.006269592476489028,0.0015549775625609966,0.0016323167011354901
"Производство одежды, кроме одежды из меха",14.1,2021.0,0.0035887906324172675,0.003134796238244514,0.0009619380717344304,0.0008320060855302256
"Производство одежды, кроме одежды из меха",14.1,2024.0,0.005491553989161445,0.006269592476489028,0.0015549775625609966,0.0016323167011354901
Производство бумаги и бумажных изделий,17,2021.0,0.020691005944294235,0.001567398119122257,2.614977282384859e-05,1.584773496248049e-05
Деятельность полиграфическая и копирование носителей информации,18,2020.0,0.005637287569032818,0.001567398119122257,0.00010273125037940519,8.716254229364268e-05
Деятельность полиграфическая и копирование носителей информации,18,2021.0,0.004957823393678177,0.001567398119122257,0.00013074886411924296,0.00011093414473736342
Производство кокса и нефтепродуктов,19,2018.0,0.20021580889642607,0.007836990595611285,0.0007191187526558363,0.0006339093984992195
Производство кокса и нефтепродуктов,19,2019.0,0.190986011246741,0.007836990595611285,0.0007004403434959445,0.0006022139285742585
Производство кокса и нефтепродуктов,19,2020.0,0.14949399418863357,0.003134796238244514,0.0006537443205962148,0.000554670723686817
Производство кокса и нефтепродуктов,19,2021.0,0.1978091093339837,0.003134796238244514,0.0006257267068563771,0.0005308991212430963
Производство кокса и нефтепродуктов,19,2022.0,0.184449915587286,0.004702194357366771,0.0006939029002899823,0.0006576810009429402
Производство кокса и нефтепродуктов,19,2023.0,0.16889353862434597,0.004702194357366771,0.0006761584115880851,0.0006497571334617
Производство химических веществ и химических продуктов,20,2018.0,0.0628878808641996,0.06896551724137931,0.012962815956964946,0.013850920357207946
Производство химических веществ и химических продуктов,20,2019.0,0.06110226025077843,0.07993730407523511,0.0214334745109759,0.02181440717585439
Производство химических веществ и химических продуктов,20,2020.0,0.06227029021749591,0.08150470219435736,0.04225056151967537,0.03989667276804463
Производство химических веществ и химических продуктов,20,2021.0,0.08357964141151422,0.08150470219435736,0.03256487244981345,0.03028502151330021
Производство химических веществ и химических продуктов,20,2022.0,0.0799926058609624,0.07836990595611286,0.027616027942900103,0.02375575470875825
Производство химических веществ и химических продуктов,20,2023.0,0.06836209309402698,0.07210031347962383,0.01902582757026584,0.016838218397635517
Производство химических веществ и химических продуктов,20,2024.0,0.06422668234621609,0.08150470219435736,0.029068274255081693,0.029500558632657426
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2018.0,0.048010747392442876,0.032915360501567396,0.007518059686856471,0.009041132796095117
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2019.0,0.046326054435635304,0.03918495297805643,0.013737969937100457,0.014191646658901276
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2020.0,0.04541830778512045,0.04075235109717868,0.030631657101764645,0.029532254102582388
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.0667152709103046,0.045454545454545456,0.020041933028563958,0.019373855991632397
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.06219387869606336,0.03761755485893417,0.011360208451046225,0.010998328063961458
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.04904799725874751,0.032915360501567396,0.007264033322281941,0.008193278975602411
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.046106105098658846,0.03918495297805643,0.0133681374357346,0.014112407984088873
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2018.0,0.0024708536980332144,0.007836990595611285,0.0009619380717344304,0.0008557776879739463
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2019.0,0.0026188816995554717,0.0109717868338558,0.0010553301175338897,0.000942940230267589
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2020.0,0.003202925447551264,0.009404388714733543,0.0010515944357019113,0.0009191686278238682
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2021.0,0.0032078006873507018,0.007836990595611285,0.0009236473329566521,0.0007844628806427842
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2022.0,0.0032433829452092207,0.007836990595611285,0.0009199116511246737,0.0007765390131615439
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.3,2023.0,0.003819153567513941,0.007836990595611285,0.0008423962531111226,0.0007527674107178231
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2018.0,0.005888039317260876,0.009404388714733543,0.0012794710274525918,0.001038026640042472
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2019.0,0.006008571647732614,0.007836990595611285,0.0010833477312737275,0.0010301027725612318
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2020.0,0.006900708530151605,0.006269592476489028,0.0009339204579945926,0.0008716254229364268
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021.0,0.006407249257042613,0.006269592476489028,0.0008685460259349712,0.0007686151456803036
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2022.0,0.006645557561901954,0.006269592476489028,0.0009787486399783331,0.0008637015554551865
