sector,okved2,year,factoriescap_s,ITusage_s,AIusage_s,BDusage_s
Добыча угля,05,2021.0,0.034036943671159,0.0093942869626959,0.0190995907230559,0.0148725212464589
Добыча угля,05,2023.0,0.027889337020676,0.0099950843847288,0.0040927694406548,0.0053116147308781
Добыча угля,05,2024.0,0.0200551177242912,0.0110874433338795,0.0054570259208731,0.0028328611898017
Добыча и обогащение угля и антрацита,05.1,2021.0,0.0321250391406274,0.0078649844338849,0.0190995907230559,0.0131019830028328
Добыча и обогащение угля и антрацита,05.1,2023.0,0.0257613490575849,0.0088481074881205,0.0027285129604365,0.0047804532577903
Добыча и обогащение угля и антрацита,05.1,2024.0,0.0182152287799605,0.0098858484898137,0.0054570259208731,0.0023016997167138
Добыча и обогащение бурого угля (лигнита),05.2,2023.0,0.002127987963091,0.0011469768966082,0.0013642564802182,0.0005311614730878
Добыча нефти и природного газа,06,2021.0,0.2574144892410116,0.0199355508220001,0.0272851296043656,0.0145184135977337
Добыча нефти и природного газа,06,2023.0,0.2359984008819448,0.0208094379813206,0.0300136425648021,0.0106232294617563
Добыча нефти и природного газа,06,2024.0,0.2334632950438235,0.0224479764050467,0.0272851296043656,0.005842776203966
Добыча нефти и нефтяного (попутного) газа,06.1,2021.0,0.2135041833629627,0.015839204762685,0.024556616643929,0.0120396600566572
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,0.1913419180646942,0.0161669124474302,0.0272851296043656,0.0090297450424929
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,0.1893553636207914,0.0179693047135288,0.0218281036834924,0.0053116147308781
Добыча природного газа и газового конденсата,06.2,2021.0,0.0439103058780489,0.004096346059315,0.0027285129604365,0.0024787535410764
Добыча природного газа и газового конденсата,06.2,2023.0,0.0446564828172506,0.0046425255338904,0.0027285129604365,0.0015934844192634
Добыча природного газа и газового конденсата,06.2,2024.0,0.044107931423032,0.0044786716915178,0.0054570259208731,0.0005311614730878
Добыча металлических руд,07,2021.0,0.0360139978951393,0.0179146867660713,0.015006821282401,0.0221317280453257
Добыча металлических руд,07,2023.0,0.0247229928409694,0.0197170790321699,0.0204638472032742,0.0109773371104815
Добыча металлических руд,07,2024.0,0.0245137552577457,0.0216833251406412,0.0259208731241473,0.0056657223796034
Добыча и обогащение железных руд,07.1,2021.0,0.0164749966813829,0.0012015948440657,0.0027285129604365,0.0021246458923512
Добыча и обогащение железных руд,07.1,2023.0,0.0070202795492831,0.0013108307389808,0.0040927694406548,0.0015934844192634
Добыча и обогащение железных руд,07.1,2024.0,0.0072628912264723,0.0014746845813534,0.0040927694406548,0.0010623229461756
Добыча руд цветных металлов,07.2,2021.0,0.0195389853352057,0.0167130919220055,0.0122783083219645,0.0200070821529745
Добыча руд цветных металлов,07.2,2023.0,0.0177027132916862,0.0184062482931891,0.0163710777626193,0.0093838526912181
Добыча руд цветных металлов,07.2,2024.0,0.0172508640312733,0.0202086405592877,0.0218281036834924,0.0046033994334277
Добыча прочих полезных ископаемых,08,2021.0,0.0114945622315334,0.0226664481948768,0.0313778990450204,0.0246104815864022
Добыча прочих полезных ископаемых,08,2023.0,0.0111099516422346,0.0234310994592823,0.0177353342428376,0.012570821529745
Добыча прочих полезных ископаемых,08,2024.0,0.0090562526705373,0.025342727620296,0.0259208731241473,0.0079674220963172
"Добыча камня, песка и глины",08.1,2021.0,0.0046792818576125,0.019007045715222,0.0259208731241473,0.0210694050991501
"Добыча камня, песка и глины",08.1,2023.0,0.0054057123377867,0.0193893713474247,0.0122783083219645,0.0097379603399433
"Добыча камня, песка и глины",08.1,2024.0,0.0050459331863182,0.020645584138948,0.015006821282401,0.005842776203966
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2021.0,0.0068152803739208,0.0036594024796548,0.0054570259208731,0.0035410764872521
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2021.0,0.0068152803739208,0.0036594024796548,0.0054570259208731,0.0001770538243626
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2021.0,0.0068152803739208,0.0002730897372876,0.0054570259208731,0.0035410764872521
