sector,okved2,year,factoriescap_s,ITusage_s,AIusage_s,BDusage_s
Добыча угля,05,2021.0,0.034036943671159024,0.009394286962695942,0.019099590723055934,0.014872521246458924
Добыча угля,05,2023.0,0.027889337020676076,0.009995084384728821,0.004092769440654843,0.005311614730878187
Добыча угля,05,2024.0,0.02005511772429121,0.011087443333879513,0.005457025920873124,0.0028328611898017
Добыча и обогащение угля и антрацита,05.1,2021.0,0.03212503914062743,0.007864984433884975,0.019099590723055934,0.013101983002832862
Добыча и обогащение угля и антрацита,05.1,2023.0,0.025761349057584995,0.008848107488120597,0.002728512960436562,0.0047804532577903685
Добыча и обогащение угля и антрацита,05.1,2024.0,0.018215228779960523,0.009885848489813753,0.005457025920873124,0.002301699716713881
Добыча и обогащение бурого угля (лигнита),05.2,2023.0,0.0021279879630910783,0.0011469768966082255,0.001364256480218281,0.0005311614730878187
Добыча нефти и природного газа,06,2021.0,0.2574144892410116,0.01993555082200011,0.027285129604365622,0.01451841359773371
Добыча нефти и природного газа,06,2023.0,0.23599840088194488,0.020809437981320664,0.030013642564802184,0.010623229461756374
Добыча нефти и природного газа,06,2024.0,0.2334632950438235,0.0224479764050467,0.027285129604365622,0.005842776203966006
Добыча нефти и нефтяного (попутного) газа,06.1,2021.0,0.2135041833629627,0.01583920476268502,0.02455661664392906,0.012039660056657223
Добыча нефти и нефтяного (попутного) газа,06.1,2023.0,0.19134191806469425,0.016166912447430227,0.027285129604365622,0.009029745042492918
Добыча нефти и нефтяного (попутного) газа,06.1,2024.0,0.1893553636207914,0.017969304713528866,0.021828103683492497,0.005311614730878187
Добыча природного газа и газового конденсата,06.2,2021.0,0.043910305878048915,0.004096346059315091,0.002728512960436562,0.002478753541076487
Добыча природного газа и газового конденсата,06.2,2023.0,0.04465648281725062,0.004642525533890436,0.002728512960436562,0.001593484419263456
Добыча природного газа и газового конденсата,06.2,2024.0,0.04410793142303208,0.004478671691517833,0.005457025920873124,0.0005311614730878187
Добыча металлических руд,07,2021.0,0.03601399789513932,0.01791468676607133,0.015006821282401092,0.022131728045325778
Добыча металлических руд,07,2023.0,0.024722992840969456,0.01971707903216997,0.020463847203274217,0.010977337110481586
Добыча металлических руд,07,2024.0,0.024513755257745736,0.021683325140641214,0.02592087312414734,0.0056657223796034
Добыча и обогащение железных руд,07.1,2021.0,0.016474996681382904,0.00120159484406576,0.002728512960436562,0.002124645892351275
Добыча и обогащение железных руд,07.1,2023.0,0.007020279549283181,0.001310830738980829,0.004092769440654843,0.001593484419263456
Добыча и обогащение железных руд,07.1,2024.0,0.007262891226472349,0.0014746845813534328,0.004092769440654843,0.0010623229461756375
Добыча руд цветных металлов,07.2,2021.0,0.01953898533520573,0.016713091922005572,0.01227830832196453,0.020007082152974504
Добыча руд цветных металлов,07.2,2023.0,0.017702713291686274,0.018406248293189143,0.01637107776261937,0.009383852691218131
Добыча руд цветных металлов,07.2,2024.0,0.017250864031273388,0.020208640559287783,0.021828103683492497,0.004603399433427762
Добыча прочих полезных ископаемых,08,2021.0,0.011494562231533403,0.022666448194876836,0.03137789904502047,0.024610481586402267
Добыча прочих полезных ископаемых,08,2023.0,0.011109951642234607,0.02343109945928232,0.017735334242837655,0.012570821529745042
Добыча прочих полезных ископаемых,08,2024.0,0.009056252670537331,0.02534272762029603,0.02592087312414734,0.00796742209631728
"Добыча камня, песка и глины",08.1,2021.0,0.00467928185761259,0.01900704571522202,0.02592087312414734,0.021069405099150142
"Добыча камня, песка и глины",08.1,2023.0,0.005405712337786741,0.019389371347424765,0.01227830832196453,0.009737960339943343
"Добыча камня, песка и глины",08.1,2024.0,0.005045933186318233,0.02064558413894806,0.015006821282401092,0.005842776203966006
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2021.0,0.0068152803739208135,0.0036594024796548145,0.005457025920873124,0.0035410764872521247
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2021.0,0.0068152803739208135,0.0036594024796548145,0.005457025920873124,0.00017705382436260624
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2021.0,0.0068152803739208135,0.0002730897372876727,0.005457025920873124,0.0035410764872521247
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2021.0,0.0068152803739208135,0.0002730897372876727,0.005457025920873124,0.00017705382436260624
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2023.0,0.005704239304447864,0.004041728111857557,0.005457025920873124,0.0028328611898017
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2023.0,0.005704239304447864,0.00021847178983013817,0.005457025920873124,0.0028328611898017
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2024.0,0.004010319484219098,0.004697143481347971,0.010914051841746248,0.002124645892351275
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2024.0,0.004010319484219098,0.0002730897372876727,0.010914051841746248,0.002124645892351275
Предоставление услуг в области добычи полезных ископаемых,09,2021.0,0.0357484450135317,0.059151237096509914,0.03274215552523874,0.06604107648725212
Предоставление услуг в области добычи полезных ископаемых,09,2023.0,0.03402499187821016,0.05898738325413731,0.023192360163710776,0.03594192634560907
Предоставление услуг в области добычи полезных ископаемых,09,2024.0,0.032681314823783406,0.06412147031514556,0.017735334242837655,0.02018413597733711
Производство пищевых продуктов,10,2021.0,0.13561001580868504,0.14298978644382543,0.12414733969986358,0.17422096317280453
Производство пищевых продуктов,10,2023.0,0.1271083072329171,0.1566988912556666,0.18144611186903137,0.10428470254957507
Производство пищевых продуктов,10,2024.0,0.12202707599950986,0.16412693210989132,0.17598908594815826,0.06320821529745042
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2021.0,0.03407268628874446,0.024414222513517943,0.027285129604365622,0.03346317280453258
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2023.0,0.03269743691994858,0.026762794254191927,0.040927694406548434,0.019475920679886686
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2024.0,0.030836576785754945,0.027800535255885085,0.036834924965893585,0.0113314447592068
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.2,2021.0,0.009328664404290764,0.007482658801682232,0.0068212824010914054,0.008852691218130312
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.2,2023.0,0.00804404333237194,0.007482658801682232,0.008185538881309686,0.0047804532577903685
"Переработка и консервирование рыбы, ракообразных и моллюсков",10.2,2024.0,0.006798032710390545,0.00791960238134251,0.004092769440654843,0.0035410764872521247
Переработка и консервирование фруктов и овощей,10.3,2021.0,0.004227870540270863,0.0060079742203288005,0.004092769440654843,0.007436260623229462
Переработка и консервирование фруктов и овощей,10.3,2023.0,0.004416302565549718,0.0075372767491397675,0.004092769440654843,0.005311614730878187
Переработка и консервирование фруктов и овощей,10.3,2024.0,0.004351838475939252,0.007701130591512371,0.009549795361527967,0.004072237960339943
Производство растительных и животных масел и жиров,10.4,2021.0,0.016920088335553155,0.0060079742203288005,0.002728512960436562,0.0047804532577903685
Производство растительных и животных масел и жиров,10.4,2023.0,0.015207965663798246,0.008247310066087716,0.004092769440654843,0.00424929178470255
Производство растительных и животных масел и жиров,10.4,2024.0,0.014484113962723791,0.00912119722540827,0.004092769440654843,0.002124645892351275
Производство молочной продукции,10.5,2021.0,0.019221176143303282,0.02594352504232891,0.03274215552523874,0.03594192634560907
Производство молочной продукции,10.5,2023.0,0.01921212704692986,0.028565186520290567,0.05184174624829468,0.02071529745042493
Производство молочной продукции,10.5,2024.0,0.01869443625019503,0.030312960838931674,0.05184174624829468,0.014341359773371105
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2021.0,0.005335113636435811,0.008629635698290459,0.0068212824010914054,0.008144475920679886
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2023.0,0.004709244480290982,0.009448904910153476,0.015006821282401092,0.004957507082152974
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2024.0,0.004455434553363771,0.009558140805068546,0.009549795361527967,0.003718130311614731
Производство хлебобулочных и мучных кондитерских изделий,10.7,2021.0,0.011066714683403929,0.030203724944016602,0.0286493860845839,0.03665014164305949
Производство хлебобулочных и мучных кондитерских изделий,10.7,2023.0,0.010926417329676646,0.029657545469441257,0.023192360163710776,0.01929886685552408
Производство хлебобулочных и мучных кондитерских изделий,10.7,2024.0,0.010831923351500433,0.029712163416898793,0.013642564802182811,0.008144475920679886
Производство прочих пищевых продуктов,10.8,2021.0,0.024842738834044375,0.026762794254191927,0.015006821282401092,0.030807365439093484
Производство прочих пищевых продуктов,10.8,2023.0,0.022917606983240853,0.030586050576219347,0.02592087312414734,0.02160056657223796
Производство прочих пищевых продуктов,10.8,2024.0,0.022769916050749586,0.03282538642197826,0.03274215552523874,0.012570821529745042
Производство готовых кормов для животных,10.9,2023.0,0.008977174794199476,0.00841116390846032,0.008185538881309686,0.003895184135977337
Производство готовых кормов для животных,10.9,2024.0,0.0088048038588925,0.009175815172865804,0.013642564802182811,0.0033640226628895184
Производство напитков,11,2021.0,0.015374343183751032,0.036539406849090614,0.11186903137789904,0.041961756373937675
Производство напитков,11,2023.0,0.015696277447931898,0.03424545305587416,0.054570259208731244,0.026203966005665724
Производство напитков,11,2024.0,0.015397895425209862,0.034190835108416626,0.06275579809004093,0.01929886685552408
Производство текстильных изделий,13,2021.0,0.005279697494555245,0.013763722759298706,0.010914051841746248,0.015403682719546742
Производство текстильных изделий,13,2023.0,0.005647236125597717,0.015456879130482276,0.009549795361527967,0.009383852691218131
Производство текстильных изделий,13,2024.0,0.005404587625706575,0.016876945764378176,0.010914051841746248,0.005311614730878187
Подготовка и прядение текстильных волокон,13.1,2021.0,0.00013854035470141655,0.0007100333169479491,0.002728512960436562,0.0012393767705382436
Производство текстильных тканей,13.2,2021.0,0.0013298603767281422,0.004915615271178109,0.002728512960436562,0.004603399433427762
Производство текстильных тканей,13.2,2023.0,0.0014626419161870505,0.0035501665847397453,0.001364256480218281,0.0026558073654390935
Производство текстильных тканей,13.2,2024.0,0.0013564868593024075,0.003987110164400022,0.004092769440654843,0.00141643059490085
Производство прочих текстильных изделий,13.9,2021.0,0.003679552428116213,0.007755748538969906,0.005457025920873124,0.009383852691218131
Производство прочих текстильных изделий,13.9,2023.0,0.003863132880610542,0.011032825386421979,0.008185538881309686,0.006373937677053824
Производство прочих текстильных изделий,13.9,2024.0,0.003750491359333748,0.012070566388115135,0.0068212824010914054,0.0035410764872521247
Производство одежды,14,2021.0,0.003930290621937425,0.014036812496586379,0.020463847203274217,0.015403682719546742
Производство одежды,14,2023.0,0.005104975116536055,0.015566115025397346,0.008185538881309686,0.010977337110481586
Производство одежды,14,2024.0,0.005777581102900589,0.016658473974548036,0.009549795361527967,0.004426345609065156
"Производство одежды, кроме одежды из меха",14.1,2021.0,0.0035887906324172675,0.012944453547435687,0.019099590723055934,0.01363314447592068
"Производство одежды, кроме одежды из меха",14.1,2023.0,0.004768624276979367,0.014582991971161724,0.008185538881309686,0.010269121813031162
"Производство одежды, кроме одежды из меха",14.1,2024.0,0.005491553989161445,0.015566115025397346,0.005457025920873124,0.003718130311614731
Производство меховых изделий,14.2,2021.0,3.583788888952403e-05,0.00010923589491506909,0.001364256480218281,0.00017705382436260624
Производство меховых изделий,14.2,2024.0,2.88367371638271e-05,5.461794745753454e-05,0.001364256480218281,0.00017705382436260624
Производство вязаных и трикотажных изделий одежды,14.3,2024.0,0.00025719037657531625,0.0010377410016931565,0.002728512960436562,0.0005311614730878187
Производство кожи и изделий из кожи,15,2021.0,0.0014377392500624026,0.004587907586432902,0.002728512960436562,0.0047804532577903685
Производство кожи и изделий из кожи,15,2023.0,0.0016642147581372392,0.0044240537440602985,0.004092769440654843,0.002124645892351275
Производство кожи и изделий из кожи,15,2024.0,0.0013869796264202783,0.004478671691517833,0.0068212824010914054,0.0008852691218130312
"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",15.1,2021.0,0.00038052946709678486,0.0011469768966082255,0.001364256480218281,0.00141643059490085
"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",15.1,2023.0,0.00035960604510385034,0.0010923589491506909,0.001364256480218281,0.0005311614730878187
"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",15.1,2024.0,0.00028948791885268383,0.0010923589491506909,0.004092769440654843,0.00017705382436260624
Производство обуви,15.2,2021.0,0.0010572097829656178,0.0034409306898246766,0.001364256480218281,0.0033640226628895184
Производство обуви,15.2,2023.0,0.0013046087130333891,0.0033316947949096074,0.002728512960436562,0.001593484419263456
Производство обуви,15.2,2024.0,0.0010974917075675945,0.003386312742367142,0.002728512960436562,0.000708215297450425
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2021.0,0.017767812399369684,0.023758807144027526,0.03956343792633015,0.030453257790368272
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2023.0,0.010935900034851218,0.025178873777923425,0.030013642564802184,0.015580736543909348
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2024.0,0.010971416605174282,0.026216614779616582,0.020463847203274217,0.008675637393767706
Распиловка и строгание древесины,16.1,2021.0,0.006967539796411574,0.010049702332186357,0.013642564802182811,0.011154390934844192
Распиловка и строгание древесины,16.1,2023.0,0.004292254997482866,0.010595881806761702,0.008185538881309686,0.0056657223796034
Распиловка и строгание древесины,16.1,2024.0,0.00416217842263961,0.01152438691353979,0.005457025920873124,0.0035410764872521247
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2021.0,0.010800272602958108,0.01370910481184117,0.02592087312414734,0.01929886685552408
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2023.0,0.006643656920457544,0.014582991971161724,0.021828103683492497,0.009915014164305949
"Производство изделий из дерева, пробки, соломки и материалов для плетения",16.2,2024.0,0.006809238182534674,0.014692227866076792,0.015006821282401092,0.005134560906515581
Производство бумаги и бумажных изделий,17,2021.0,0.020691005944294235,0.017259271396580917,0.023192360163710776,0.024610481586402267
Производство бумаги и бумажных изделий,17,2023.0,0.016655147680947557,0.018187776503359003,0.023192360163710776,0.014341359773371105
Производство бумаги и бумажных изделий,17,2024.0,0.01637801724932799,0.01933475339996723,0.015006821282401092,0.008144475920679886
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2021.0,0.009327600541395063,0.004260199901687694,0.0068212824010914054,0.005134560906515581
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2023.0,0.006832728752578598,0.003987110164400022,0.005457025920873124,0.002478753541076487
