sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s,x,y,clust
Производство машин и оборудования общего назначения,28.1,2023.0,0.0250739918665935,0.1654904571659952,0.0051937129367162,0.0180429920020494,-0.04894594479154996,0.05235262932873787,0
Добыча металлических руд,07,2024.0,0.066940786279928,0.0756735911489675,0.5484326187559337,0.0204195307457479,0.472941840273419,-0.1201767987923326,4
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022.0,0.1806632134405302,0.0819617144099117,0.0242509422815928,0.0285834575352994,-0.04296342326836398,-0.026837346501320872,2
"Производство автотранспортных средств, прицепов и полуприцепов",29,2022.0,0.0707594581853314,0.1365161216593138,0.0011088767953211,0.1851198722391613,-0.05130041739132893,0.07230937961692037,0
Производство кабелей и кабельной арматуры,27.3,2021.0,0.0184958802562856,0.0573429283224632,0.0104458888228131,0.03131683653359,-0.06037756937141215,-0.04712835504422508,2
Добыча руд цветных металлов,07.2,2022.0,0.0408282540467356,0.1227597049435168,0.2915365883217229,0.0206156269497473,0.2269218653511708,-0.033854820136618696,1
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,0.1698355514256611,0.056323809773428,0.0373508581605323,0.0491486264753386,-0.03332372969657346,-0.04747559586942223,2
Производство прочих машин и оборудования общего назначения,28.2,2023.0,0.0213352703808739,0.0845663609237896,0.0237693672077962,0.0335498349641741,-0.042840388178426364,-0.022905883517982797,2
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2021.0,0.0301998536020696,0.1114498240494839,0.0368551626636282,0.0213326794725664,-0.02613296471276899,-0.0030065433101670036,2
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2022.0,0.2465766929656796,0.2629314882541559,0.0627192229869731,0.0321313758689655,0.023759209403636156,0.13915948454684257,0
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2021.0,0.279466900073332,0.2665992629589045,0.1366985904710256,0.198062977636764,0.10355186830757629,0.17701050722057987,3
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,0.1821823153840562,0.0638863791721858,0.0820208033506731,0.1456329099538714,0.015563594365752206,-0.020596508019130155,2
Производство прочих пищевых продуктов,10.8,2024.0,0.0621788080993225,0.0330685836951565,0.002562477429365,0.0223298082191856,-0.07233354174955697,-0.07133168421275182,2
Производство пищевых продуктов,10,2022.0,0.3599644238672664,0.0386332133862142,0.0401431800799284,0.0237915251017057,-0.03431773231113295,-0.07175886954770236,2
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.1339375166078999,0.09468916507013,0.0096311114224126,0.0260721029747202,-0.05546904199308307,-0.013121878307429988,2
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2023.0,0.2435730839612414,0.3161486587668915,0.0454773928914437,0.2157679464849768,0.022047795836690184,0.2436595546941545,3
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2020.0,0.7027302649533976,0.0760605959276922,0.0998511815071012,0.0152954312806654,0.030199172271218017,-0.048411154240732446,2
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2023.0,0.0892883246057579,0.0214856912767294,0.0813654621644857,0.0123436416832436,0.0032139196676058412,-0.09787897926483934,2
Производство металлургическое,24,2023.0,0.3726036908674976,0.11625701073079,0.083343225857347,0.0219689876664281,0.020520897862778636,-0.0058274683924632725,2
Производство прочих готовых изделий,32,2021.0,0.0145642758966056,0.0815805866928892,0.0062486202177558,0.0136806892805344,-0.06134488722334257,-0.028441687982287467,2
Производство строительных металлических конструкций и изделий,25.1,2022.0,0.0372932815960006,0.0338999347531696,0.0051475718356652,0.0209903663762135,-0.06970149988426029,-0.07133918407183287,2
Производство текстильных изделий,13,2023.0,0.0154211552893952,0.0378126604968311,0.0060381089696444,0.0211645395864799,-0.0681972095602769,-0.06773248717611197,2
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2024.0,0.0414486393563612,0.0349619172477445,0.0185884569490678,0.0222679274851065,-0.05622358171655423,-0.07215932511795586,2
Производство кокса и нефтепродуктов,19,2024.0,0.4265280473648731,0.0910292315670002,0.0916961169157706,0.0076771615071435,0.024235537187113784,-0.03505229462952138,2
"Производство компьютеров, электронных и оптических изделий",26,2023.0,0.0855330537869794,0.2801204552439688,0.1703994005477164,0.0257486184456167,0.13248692793004732,0.13615775787051976,3
Переработка и консервирование мяса и мясной пищевой продукции,10.1,2022.0,0.0886143479509029,0.0226668121751715,0.0749918794787523,0.0110018992960855,-0.002938242229117538,-0.09610159935076563,2
Производство прочих транспортных средств и оборудования,30,2023.0,0.1068612825888852,0.201519343891834,0.0150345797148462,0.0391161378343324,-0.032745876480592136,0.09074046603874818,0
Производство резиновых и пластмассовых изделий,22,2021.0,0.0784793723771194,0.0488163826931216,0.0028241658470061,0.0386558459500184,-0.06897195681674674,-0.051907647428186036,2
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,0.1884844607389819,0.1861541327081682,0.1295277523050799,0.3002828060322566,0.08757847449335288,0.1306288935279441,3
Производство резиновых и пластмассовых изделий,22,2023.0,0.0730043974195574,0.0418068185116855,0.0032304320611857,0.0698463796035394,-0.06851145236844106,-0.04988639029281208,2
Производство текстильных изделий,13,2021.0,0.0144175014349961,0.0656918853275544,0.056689192174471,0.021391282903388,-0.013800577781699977,-0.049510896294630485,2
Добыча нефти и природного газа,06,2023.0,0.6444511805612199,0.0558296351961254,0.0006337016799164,0.0277020957571635,-0.07043406000664033,-0.04797787944393877,2
Ремонт и монтаж машин и оборудования,33,2022.0,0.0515900085536881,0.1460629394835058,0.0099921057481936,0.0173241550593854,-0.0473121952267041,0.03298843827199292,0
Производство хлебобулочных и мучных кондитерских изделий,10.7,2024.0,0.0295792080180877,0.0738091698257403,0.0426586486927978,0.0129090232613202,-0.02667790890964942,-0.041923039196169826,2
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2024.0,0.0586172692279457,0.1432872412442691,0.0090444892691757,0.0231840075503153,-0.04846680802850097,0.03215397944792282,0
Производство прочей неметаллической минеральной продукции,23,2023.0,0.0947746232128271,0.0592728286177187,0.0021030693909482,0.0214771586811157,-0.06867270677062849,-0.04669855705489536,2
"Производство автотранспортных средств, прицепов и полуприцепов",29,2024.0,0.0894063671275236,0.1269902496736822,0.0023697546324784,0.0213249041708131,-0.0577009151225478,0.017296174251847415,0
